LibraryID	SourceTreatment	SourceWarmed	SourceClipped	BiologicalSampleID	Block	MainPlot	Warming	Clipping	Treatment	TechnicalLibraryIndex	TechnicalLibraryCount
a_C126	WU	yes	no	2UW	Block 2	Block 2 / Warmed	Warmed	Unclipped	Warmed + Unclipped	2	3
a_C127	WU	yes	no	6UW	Block 6	Block 6 / Warmed	Warmed	Unclipped	Warmed + Unclipped	2	3
a_C128	WU	yes	no	4UW	Block 4	Block 4 / Warmed	Warmed	Unclipped	Warmed + Unclipped	2	3
a_C130	WC	yes	yes	4CW	Block 4	Block 4 / Warmed	Warmed	Clipped	Warmed + Clipped	2	2
a_C131	UU	no	no	6UC	Block 6	Block 6 / Ambient	Ambient	Unclipped	Ambient + Unclipped	3	3
a_C132	WC	yes	yes	5CW	Block 5	Block 5 / Warmed	Warmed	Clipped	Warmed + Clipped	3	3
a_C134	UC	no	yes	6CC	Block 6	Block 6 / Ambient	Ambient	Clipped	Ambient + Clipped	2	2
a_C136	WC	yes	yes	1CW	Block 1	Block 1 / Warmed	Warmed	Clipped	Warmed + Clipped	3	3
a_C137	WC	yes	yes	6CW	Block 6	Block 6 / Warmed	Warmed	Clipped	Warmed + Clipped	1	2
a_C139	UC	no	yes	2CC	Block 2	Block 2 / Ambient	Ambient	Clipped	Ambient + Clipped	1	2
a_C140	UU	no	no	3UC	Block 3	Block 3 / Ambient	Ambient	Unclipped	Ambient + Unclipped	2	2
a_C141	UU	no	no	1UC	Block 1	Block 1 / Ambient	Ambient	Unclipped	Ambient + Unclipped	1	2
a_C143	WU	yes	no	3UW	Block 3	Block 3 / Warmed	Warmed	Unclipped	Warmed + Unclipped	2	2
a_C144	WU	yes	no	4UW	Block 4	Block 4 / Warmed	Warmed	Unclipped	Warmed + Unclipped	3	3
a_C145	WC	yes	yes	6CW	Block 6	Block 6 / Warmed	Warmed	Clipped	Warmed + Clipped	2	2
a_C146	UU	no	no	5UC	Block 5	Block 5 / Ambient	Ambient	Unclipped	Ambient + Unclipped	1	2
a_C147	WU	yes	no	2UW	Block 2	Block 2 / Warmed	Warmed	Unclipped	Warmed + Unclipped	3	3
a_C149	UU	no	no	1UC	Block 1	Block 1 / Ambient	Ambient	Unclipped	Ambient + Unclipped	2	2
a_C150	UC	no	yes	4CC	Block 4	Block 4 / Ambient	Ambient	Clipped	Ambient + Clipped	2	2
a_C151	WC	yes	yes	3CW	Block 3	Block 3 / Warmed	Warmed	Clipped	Warmed + Clipped	3	3
a_C153	WU	yes	no	1UW	Block 1	Block 1 / Warmed	Warmed	Unclipped	Warmed + Unclipped	1	1
a_C154	UC	no	yes	2CC	Block 2	Block 2 / Ambient	Ambient	Clipped	Ambient + Clipped	2	2
a_C156	UC	no	yes	1CC	Block 1	Block 1 / Ambient	Ambient	Clipped	Ambient + Clipped	3	3
a_C157	UC	no	yes	5CC	Block 5	Block 5 / Ambient	Ambient	Clipped	Ambient + Clipped	1	2
a_C158	WU	yes	no	6UW	Block 6	Block 6 / Warmed	Warmed	Unclipped	Warmed + Unclipped	3	3
a_C159	UU	no	no	4UC	Block 4	Block 4 / Ambient	Ambient	Unclipped	Ambient + Unclipped	2	2
a_C160	WC	yes	yes	2CW	Block 2	Block 2 / Warmed	Warmed	Clipped	Warmed + Clipped	1	1
a_C161	UC	no	yes	5CC	Block 5	Block 5 / Ambient	Ambient	Clipped	Ambient + Clipped	2	2
a_C162	UU	no	no	5UC	Block 5	Block 5 / Ambient	Ambient	Unclipped	Ambient + Unclipped	2	2
