FeatureID	Kingdom	Phylum	Class	Order	Family	Genus	Species	TaxonomyStatus
OTU_R10199								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R102								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10203								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10206								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10207								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10209								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R1021								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10211								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10212								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10214								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10216								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10217								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R1022								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10220								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10221								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10224								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10225								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10229								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R1023								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10231								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10233								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10234								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R1024								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10241								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10243								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10244								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10246								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10247								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10249								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R1025								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10250								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10251								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10255								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10258								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R1026								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10260								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10261								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10266								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10269								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R1027								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10270								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10274								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10278								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10279								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R1028								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10280								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10282								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10285								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10286								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10288								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10292								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10294								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10295								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10297								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10298								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R103								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R1030								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10300								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10301								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10304								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10306								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10307								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10308								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10309								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R1031								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10310								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10311								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10312								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10313								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10314								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10316								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10317								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10318								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R1032								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10321								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10324								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10325								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R1033								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10332								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10337								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10339								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R1034								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10341								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10342								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10343								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10344								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10346								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10347								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10349								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R1035								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10350								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10351								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10354								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10356								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10357								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10359								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R1036								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10360								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10363								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10364								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10365								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10366								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10369								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R1037								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10371								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10372								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10378								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R1038								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10382								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10385								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10386								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10388								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10389								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R1039								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10391								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10392								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10393								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10394								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10395								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10398								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10399								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R104								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R1040								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10402								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10405								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10406								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10407								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10408								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R1041								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10416								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10417								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10418								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R1042								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10422								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10426								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R1043								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10430								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10433								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10434								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10437								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10439								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R1044								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10441								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10444								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10445								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10450								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10453								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10455								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10457								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10458								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10459								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10464								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10466								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10468								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10469								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R1047								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10476								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10478								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R1048								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10481								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10487								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R1049								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10490								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10491								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10492								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10493								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10499								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R105								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10502								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10508								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10509								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R1051								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10511								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10512								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10513								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10514								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10516								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10521								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10526								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10528								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10530								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10531								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10532								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10533								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10534								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10536								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10537								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10538								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R1054								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10545								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10546								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10547								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10548								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R1055								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10551								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10556								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10557								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10559								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R1056								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10561								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10565								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10566								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10569								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R1057								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10570								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10573								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10575								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10581								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10582								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10588								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10589								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10593								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R106								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R1060								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10601								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10603								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10606								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10608								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10609								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R1061								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10612								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10613								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10614								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10616								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10617								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R1062								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10620								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10621								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10623								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10629								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R1063								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10634								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10639								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10642								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10647								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R1065								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10651								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10653								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10655								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10656								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R1067								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10672								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10674								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10676								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10678								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R1068								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10681								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10682								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10685								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10689								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R1069								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10690								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10691								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10695								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10696								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10697								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10699								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R107								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10700								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10701								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10702								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10703								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10704								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10706								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10709								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R1071								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10710								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10711								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10713								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10716								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10717								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10719								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R1072								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10720								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10724								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10729								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R1073								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10731								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10732								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10734								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10739								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R1074								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10740								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10741								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10743								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10744								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10746								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10747								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10749								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R1075								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10751								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10754								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10756								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10757								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10759								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R1076								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10760								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10761								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10762								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R1077								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10771								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10773								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10774								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10775								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10780								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10783								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10784								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10785								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10786								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10787								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10789								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R1079								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10792								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10795								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10798								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R108								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R1080								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10802								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10803								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10806								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10808								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R1081								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10810								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10811								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10815								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10816								Not distributed with phyloseq::soilrep; not used in this analysis
OTU_R10817								Not distributed with phyloseq::soilrep; not used in this analysis
