SampleID	CountTable	Metadata	Environment	LibraryReads	Group	Type	Saline	CompleteEnvironment
S216	TRUE	TRUE	TRUE	13572	Tibetan Plateau	QTP	Saline soil	TRUE
S217	TRUE	TRUE	TRUE	28229	Tibetan Plateau	QTP	Saline soil	TRUE
S218	TRUE	TRUE	TRUE	24813	Tibetan Plateau	QTP	Saline soil	TRUE
S219	TRUE	TRUE	TRUE	14303	Tibetan Plateau	QTP	Saline soil	TRUE
S220	TRUE	TRUE	TRUE	10597	Tibetan Plateau	QTP	Saline soil	TRUE
S221	TRUE	TRUE	TRUE	15539	Tibetan Plateau	QTP	Saline soil	TRUE
S222	TRUE	TRUE	TRUE	17704	Tibetan Plateau	QTP	Saline soil	TRUE
S223	TRUE	TRUE	TRUE	19783	Tibetan Plateau	QTP	Saline soil	TRUE
S224	TRUE	TRUE	TRUE	17417	Tibetan Plateau	QTP	Saline soil	TRUE
S225	TRUE	TRUE	TRUE	33970	Tibetan Plateau	QTP	Saline soil	TRUE
