Variable1	Variable2	PearsonR	AbsR	Diagonal	UniquePair	HighCollinearity
NO3	TOC	0.395314739189814	0.395314739189814	FALSE	FALSE	FALSE
pH	TOC	-0.5461812269172392	0.5461812269172392	FALSE	FALSE	FALSE
Conductivity	TOC	-0.05578200826969409	0.05578200826969409	FALSE	FALSE	FALSE
TN	TOC	0.9880195363639568	0.9880195363639568	FALSE	FALSE	FALSE
Latitude	NH4	-0.17924872722395818	0.17924872722395818	FALSE	TRUE	FALSE
Longitude	NH4	-0.2798272103521126	0.2798272103521126	FALSE	TRUE	FALSE
Altitude	NH4	0.26828630214130367	0.26828630214130367	FALSE	TRUE	FALSE
Temperature	NH4	0.04902234733154788	0.04902234733154788	FALSE	TRUE	FALSE
Precipitation	NH4	0.022756358154938445	0.022756358154938445	FALSE	TRUE	FALSE
TOC	NH4	0.042802105953327146	0.042802105953327146	FALSE	TRUE	FALSE
NH4	NH4	1	1	TRUE	FALSE	FALSE
NO3	NH4	-0.12504384551958916	0.12504384551958916	FALSE	FALSE	FALSE
pH	NH4	-0.14227686711827003	0.14227686711827003	FALSE	FALSE	FALSE
Conductivity	NH4	0.10764919618553334	0.10764919618553334	FALSE	FALSE	FALSE
TN	NH4	0.06785862882092665	0.06785862882092665	FALSE	FALSE	FALSE
Latitude	NO3	0.2449052551221527	0.2449052551221527	FALSE	TRUE	FALSE
Longitude	NO3	0.13675305328643533	0.13675305328643533	FALSE	TRUE	FALSE
Altitude	NO3	0.013784268614375044	0.013784268614375044	FALSE	TRUE	FALSE
Temperature	NO3	-0.26794087977756187	0.26794087977756187	FALSE	TRUE	FALSE
Precipitation	NO3	-0.1621340195934285	0.1621340195934285	FALSE	TRUE	FALSE
TOC	NO3	0.395314739189814	0.395314739189814	FALSE	TRUE	FALSE
NH4	NO3	-0.12504384551958916	0.12504384551958916	FALSE	TRUE	FALSE
NO3	NO3	1	1	TRUE	FALSE	FALSE
pH	NO3	-0.19503556503656122	0.19503556503656122	FALSE	FALSE	FALSE
Conductivity	NO3	-0.18218854454133737	0.18218854454133737	FALSE	FALSE	FALSE
TN	NO3	0.3935369002617981	0.3935369002617981	FALSE	FALSE	FALSE
Latitude	pH	-0.10572213424441144	0.10572213424441144	FALSE	TRUE	FALSE
Longitude	pH	-0.3462681854594421	0.3462681854594421	FALSE	TRUE	FALSE
Altitude	pH	0.3161867504586602	0.3161867504586602	FALSE	TRUE	FALSE
Temperature	pH	-0.005732305501093674	0.005732305501093674	FALSE	TRUE	FALSE
Precipitation	pH	-0.3374362684841812	0.3374362684841812	FALSE	TRUE	FALSE
TOC	pH	-0.5461812269172392	0.5461812269172392	FALSE	TRUE	FALSE
NH4	pH	-0.14227686711827003	0.14227686711827003	FALSE	TRUE	FALSE
NO3	pH	-0.19503556503656122	0.19503556503656122	FALSE	TRUE	FALSE
pH	pH	1	1	TRUE	FALSE	FALSE
Conductivity	pH	-0.014056081498272342	0.014056081498272342	FALSE	FALSE	FALSE
TN	pH	-0.5431583246287004	0.5431583246287004	FALSE	FALSE	FALSE
Latitude	Conductivity	-0.5506013825280752	0.5506013825280752	FALSE	TRUE	FALSE
Longitude	Conductivity	-0.03065965508940718	0.03065965508940718	FALSE	TRUE	FALSE
Altitude	Conductivity	-0.26494430097518706	0.26494430097518706	FALSE	TRUE	FALSE
Temperature	Conductivity	0.6328546395971294	0.6328546395971294	FALSE	TRUE	FALSE
Precipitation	Conductivity	0.504066351627684	0.504066351627684	FALSE	TRUE	FALSE
TOC	Conductivity	-0.05578200826969409	0.05578200826969409	FALSE	TRUE	FALSE
NH4	Conductivity	0.10764919618553334	0.10764919618553334	FALSE	TRUE	FALSE
NO3	Conductivity	-0.18218854454133737	0.18218854454133737	FALSE	TRUE	FALSE
pH	Conductivity	-0.014056081498272342	0.014056081498272342	FALSE	TRUE	FALSE
Conductivity	Conductivity	1	1	TRUE	FALSE	FALSE
TN	Conductivity	-0.12016952228181911	0.12016952228181911	FALSE	FALSE	FALSE
Latitude	TN	0.30352133249731744	0.30352133249731744	FALSE	TRUE	FALSE
Longitude	TN	0.09092753389474321	0.09092753389474321	FALSE	TRUE	FALSE
Altitude	TN	0.031332570389041914	0.031332570389041914	FALSE	TRUE	FALSE
Temperature	TN	-0.33515976330875535	0.33515976330875535	FALSE	TRUE	FALSE
Precipitation	TN	-0.09729686454761731	0.09729686454761731	FALSE	TRUE	FALSE
TOC	TN	0.9880195363639568	0.9880195363639568	FALSE	TRUE	TRUE
NH4	TN	0.06785862882092665	0.06785862882092665	FALSE	TRUE	FALSE
NO3	TN	0.3935369002617981	0.3935369002617981	FALSE	TRUE	FALSE
pH	TN	-0.5431583246287004	0.5431583246287004	FALSE	TRUE	FALSE
Conductivity	TN	-0.12016952228181911	0.12016952228181911	FALSE	TRUE	FALSE
TN	TN	1	1	TRUE	FALSE	FALSE
