Metric	SampleA	SampleB	HabitatA	HabitatB	PairType	Distance
Bray-Curtis	M31Fcsw	M11Tong	Human-associated	Human-associated	Within habitat	0.9889
Bray-Curtis	M11Fcsw	M11Tong	Human-associated	Human-associated	Within habitat	0.9899
Bray-Curtis	M31Plmr	M11Tong	Human-associated	Human-associated	Within habitat	0.6992
Bray-Curtis	M11Plmr	M11Tong	Human-associated	Human-associated	Within habitat	0.9271
Bray-Curtis	F21Plmr	M11Tong	Human-associated	Human-associated	Within habitat	0.71024
Bray-Curtis	M31Tong	M11Tong	Human-associated	Human-associated	Within habitat	0.59812
Bray-Curtis	CL3	LMEpi24M	Soil	Freshwater	Between habitats	0.98614
Bray-Curtis	CC1	LMEpi24M	Soil	Freshwater	Between habitats	0.97762
Bray-Curtis	SV1	LMEpi24M	Soil	Freshwater	Between habitats	0.98828
Bray-Curtis	M31Fcsw	LMEpi24M	Human-associated	Freshwater	Between habitats	0.99812
Bray-Curtis	M11Fcsw	LMEpi24M	Human-associated	Freshwater	Between habitats	0.99854
Bray-Curtis	M31Plmr	LMEpi24M	Human-associated	Freshwater	Between habitats	0.99344
Bray-Curtis	M11Plmr	LMEpi24M	Human-associated	Freshwater	Between habitats	0.97466
Bray-Curtis	F21Plmr	LMEpi24M	Human-associated	Freshwater	Between habitats	0.98788
Bray-Curtis	M31Tong	LMEpi24M	Human-associated	Freshwater	Between habitats	0.99284
Bray-Curtis	M11Tong	LMEpi24M	Human-associated	Freshwater	Between habitats	0.74724
Bray-Curtis	CL3	SLEpi20M	Soil	Freshwater	Between habitats	0.98698
Bray-Curtis	CC1	SLEpi20M	Soil	Freshwater	Between habitats	0.97848
Bray-Curtis	SV1	SLEpi20M	Soil	Freshwater	Between habitats	0.98032
Bray-Curtis	M31Fcsw	SLEpi20M	Human-associated	Freshwater	Between habitats	0.99908
Bray-Curtis	M11Fcsw	SLEpi20M	Human-associated	Freshwater	Between habitats	0.99912
Bray-Curtis	M31Plmr	SLEpi20M	Human-associated	Freshwater	Between habitats	0.99402
Bray-Curtis	M11Plmr	SLEpi20M	Human-associated	Freshwater	Between habitats	0.97862
Bray-Curtis	F21Plmr	SLEpi20M	Human-associated	Freshwater	Between habitats	0.98806
Bray-Curtis	M31Tong	SLEpi20M	Human-associated	Freshwater	Between habitats	0.99564
Bray-Curtis	M11Tong	SLEpi20M	Human-associated	Freshwater	Between habitats	0.90444
Bray-Curtis	LMEpi24M	SLEpi20M	Freshwater	Freshwater	Within habitat	0.79168
Bray-Curtis	CL3	AQC1cm	Soil	Freshwater	Between habitats	0.9527
Bray-Curtis	CC1	AQC1cm	Soil	Freshwater	Between habitats	0.93388
Bray-Curtis	SV1	AQC1cm	Soil	Freshwater	Between habitats	0.96536
Bray-Curtis	M31Fcsw	AQC1cm	Human-associated	Freshwater	Between habitats	0.99098
Bray-Curtis	M11Fcsw	AQC1cm	Human-associated	Freshwater	Between habitats	0.99254
Bray-Curtis	M31Plmr	AQC1cm	Human-associated	Freshwater	Between habitats	0.9923
Bray-Curtis	M11Plmr	AQC1cm	Human-associated	Freshwater	Between habitats	0.9676
Bray-Curtis	F21Plmr	AQC1cm	Human-associated	Freshwater	Between habitats	0.98324
Bray-Curtis	M31Tong	AQC1cm	Human-associated	Freshwater	Between habitats	0.99
Bray-Curtis	M11Tong	AQC1cm	Human-associated	Freshwater	Between habitats	0.93998
Bray-Curtis	LMEpi24M	AQC1cm	Freshwater	Freshwater	Within habitat	0.94818
Bray-Curtis	SLEpi20M	AQC1cm	Freshwater	Freshwater	Within habitat	0.94428
Bray-Curtis	CL3	AQC4cm	Soil	Freshwater	Between habitats	0.9601
Bray-Curtis	CC1	AQC4cm	Soil	Freshwater	Between habitats	0.9467
Bray-Curtis	SV1	AQC4cm	Soil	Freshwater	Between habitats	0.97402
Bray-Curtis	M31Fcsw	AQC4cm	Human-associated	Freshwater	Between habitats	0.99884
Bray-Curtis	M11Fcsw	AQC4cm	Human-associated	Freshwater	Between habitats	0.99916
Bray-Curtis	M31Plmr	AQC4cm	Human-associated	Freshwater	Between habitats	0.99598
Bray-Curtis	M11Plmr	AQC4cm	Human-associated	Freshwater	Between habitats	0.97708
Bray-Curtis	F21Plmr	AQC4cm	Human-associated	Freshwater	Between habitats	0.98892
Bray-Curtis	M31Tong	AQC4cm	Human-associated	Freshwater	Between habitats	0.99354
Bray-Curtis	M11Tong	AQC4cm	Human-associated	Freshwater	Between habitats	0.9617
Bray-Curtis	LMEpi24M	AQC4cm	Freshwater	Freshwater	Within habitat	0.97336
Bray-Curtis	SLEpi20M	AQC4cm	Freshwater	Freshwater	Within habitat	0.96094
Bray-Curtis	AQC1cm	AQC4cm	Freshwater	Freshwater	Within habitat	0.1771
Bray-Curtis	CL3	AQC7cm	Soil	Freshwater	Between habitats	0.9499
Bray-Curtis	CC1	AQC7cm	Soil	Freshwater	Between habitats	0.93488
Bray-Curtis	SV1	AQC7cm	Soil	Freshwater	Between habitats	0.96848
Bray-Curtis	M31Fcsw	AQC7cm	Human-associated	Freshwater	Between habitats	0.99884
Bray-Curtis	M11Fcsw	AQC7cm	Human-associated	Freshwater	Between habitats	0.99892
Bray-Curtis	M31Plmr	AQC7cm	Human-associated	Freshwater	Between habitats	0.99554
Bray-Curtis	M11Plmr	AQC7cm	Human-associated	Freshwater	Between habitats	0.97328
Bray-Curtis	F21Plmr	AQC7cm	Human-associated	Freshwater	Between habitats	0.98762
Bray-Curtis	M31Tong	AQC7cm	Human-associated	Freshwater	Between habitats	0.99474
Bray-Curtis	M11Tong	AQC7cm	Human-associated	Freshwater	Between habitats	0.9571
Bray-Curtis	LMEpi24M	AQC7cm	Freshwater	Freshwater	Within habitat	0.9626
Bray-Curtis	SLEpi20M	AQC7cm	Freshwater	Freshwater	Within habitat	0.95118
Bray-Curtis	AQC1cm	AQC7cm	Freshwater	Freshwater	Within habitat	0.22758
Bray-Curtis	AQC4cm	AQC7cm	Freshwater	Freshwater	Within habitat	0.15432
Bray-Curtis	CL3	NP2	Soil	Marine/estuarine	Between habitats	0.99464
Bray-Curtis	CC1	NP2	Soil	Marine/estuarine	Between habitats	0.9932
Bray-Curtis	SV1	NP2	Soil	Marine/estuarine	Between habitats	0.99505999999999994
Bray-Curtis	M31Fcsw	NP2	Human-associated	Marine/estuarine	Between habitats	0.99896
Bray-Curtis	M11Fcsw	NP2	Human-associated	Marine/estuarine	Between habitats	0.99902
Bray-Curtis	M31Plmr	NP2	Human-associated	Marine/estuarine	Between habitats	0.99676
Bray-Curtis	M11Plmr	NP2	Human-associated	Marine/estuarine	Between habitats	0.9911
Bray-Curtis	F21Plmr	NP2	Human-associated	Marine/estuarine	Between habitats	0.99096
Bray-Curtis	M31Tong	NP2	Human-associated	Marine/estuarine	Between habitats	0.9901
Bray-Curtis	M11Tong	NP2	Human-associated	Marine/estuarine	Between habitats	0.97
Bray-Curtis	LMEpi24M	NP2	Freshwater	Marine/estuarine	Between habitats	0.99144
Bray-Curtis	SLEpi20M	NP2	Freshwater	Marine/estuarine	Between habitats	0.97306
Bray-Curtis	AQC1cm	NP2	Freshwater	Marine/estuarine	Between habitats	0.96018
Bray-Curtis	AQC4cm	NP2	Freshwater	Marine/estuarine	Between habitats	0.96316
Bray-Curtis	AQC7cm	NP2	Freshwater	Marine/estuarine	Between habitats	0.96688
Bray-Curtis	CL3	NP3	Soil	Marine/estuarine	Between habitats	0.99444
Bray-Curtis	CC1	NP3	Soil	Marine/estuarine	Between habitats	0.9921
Bray-Curtis	SV1	NP3	Soil	Marine/estuarine	Between habitats	0.99222
Bray-Curtis	M31Fcsw	NP3	Human-associated	Marine/estuarine	Between habitats	0.99884
Bray-Curtis	M11Fcsw	NP3	Human-associated	Marine/estuarine	Between habitats	0.99896
Bray-Curtis	M31Plmr	NP3	Human-associated	Marine/estuarine	Between habitats	0.99434
Bray-Curtis	M11Plmr	NP3	Human-associated	Marine/estuarine	Between habitats	0.98394
Bray-Curtis	F21Plmr	NP3	Human-associated	Marine/estuarine	Between habitats	0.98878
Bray-Curtis	M31Tong	NP3	Human-associated	Marine/estuarine	Between habitats	0.9901
Bray-Curtis	M11Tong	NP3	Human-associated	Marine/estuarine	Between habitats	0.9706
Bray-Curtis	LMEpi24M	NP3	Freshwater	Marine/estuarine	Between habitats	0.992
Bray-Curtis	SLEpi20M	NP3	Freshwater	Marine/estuarine	Between habitats	0.9811
Bray-Curtis	AQC1cm	NP3	Freshwater	Marine/estuarine	Between habitats	0.96246
Bray-Curtis	AQC4cm	NP3	Freshwater	Marine/estuarine	Between habitats	0.96842
Bray-Curtis	AQC7cm	NP3	Freshwater	Marine/estuarine	Between habitats	0.97314
Bray-Curtis	NP2	NP3	Marine/estuarine	Marine/estuarine	Within habitat	0.7216
Bray-Curtis	CL3	NP5	Soil	Marine/estuarine	Between habitats	0.9968
Bray-Curtis	CC1	NP5	Soil	Marine/estuarine	Between habitats	0.99588
Bray-Curtis	SV1	NP5	Soil	Marine/estuarine	Between habitats	0.99638
Bray-Curtis	M31Fcsw	NP5	Human-associated	Marine/estuarine	Between habitats	0.99868
Bray-Curtis	M11Fcsw	NP5	Human-associated	Marine/estuarine	Between habitats	0.99886
Bray-Curtis	M31Plmr	NP5	Human-associated	Marine/estuarine	Between habitats	0.99484
Bray-Curtis	M11Plmr	NP5	Human-associated	Marine/estuarine	Between habitats	0.99184
Bray-Curtis	F21Plmr	NP5	Human-associated	Marine/estuarine	Between habitats	0.99124
Bray-Curtis	M31Tong	NP5	Human-associated	Marine/estuarine	Between habitats	0.9881
Bray-Curtis	M11Tong	NP5	Human-associated	Marine/estuarine	Between habitats	0.97556
Bray-Curtis	LMEpi24M	NP5	Freshwater	Marine/estuarine	Between habitats	0.99282
Bray-Curtis	SLEpi20M	NP5	Freshwater	Marine/estuarine	Between habitats	0.9877
Bray-Curtis	AQC1cm	NP5	Freshwater	Marine/estuarine	Between habitats	0.93302
Bray-Curtis	AQC4cm	NP5	Freshwater	Marine/estuarine	Between habitats	0.93864
Bray-Curtis	AQC7cm	NP5	Freshwater	Marine/estuarine	Between habitats	0.94364
Bray-Curtis	NP2	NP5	Marine/estuarine	Marine/estuarine	Within habitat	0.57058
Bray-Curtis	NP3	NP5	Marine/estuarine	Marine/estuarine	Within habitat	0.68306
Bray-Curtis	CL3	TRRsed1	Soil	Marine/estuarine	Between habitats	0.97824
Bray-Curtis	CC1	TRRsed1	Soil	Marine/estuarine	Between habitats	0.97774
Bray-Curtis	SV1	TRRsed1	Soil	Marine/estuarine	Between habitats	0.97844
Bray-Curtis	M31Fcsw	TRRsed1	Human-associated	Marine/estuarine	Between habitats	0.98458
Bray-Curtis	M11Fcsw	TRRsed1	Human-associated	Marine/estuarine	Between habitats	0.98768
Bray-Curtis	M31Plmr	TRRsed1	Human-associated	Marine/estuarine	Between habitats	0.98186
Bray-Curtis	M11Plmr	TRRsed1	Human-associated	Marine/estuarine	Between habitats	0.97274
Bray-Curtis	F21Plmr	TRRsed1	Human-associated	Marine/estuarine	Between habitats	0.97252
Bray-Curtis	M31Tong	TRRsed1	Human-associated	Marine/estuarine	Between habitats	0.98296
Bray-Curtis	M11Tong	TRRsed1	Human-associated	Marine/estuarine	Between habitats	0.94324
Bray-Curtis	LMEpi24M	TRRsed1	Freshwater	Marine/estuarine	Between habitats	0.97668
Bray-Curtis	SLEpi20M	TRRsed1	Freshwater	Marine/estuarine	Between habitats	0.97638
Bray-Curtis	AQC1cm	TRRsed1	Freshwater	Marine/estuarine	Between habitats	0.9448
Bray-Curtis	AQC4cm	TRRsed1	Freshwater	Marine/estuarine	Between habitats	0.957
Bray-Curtis	AQC7cm	TRRsed1	Freshwater	Marine/estuarine	Between habitats	0.95468
Bray-Curtis	NP2	TRRsed1	Marine/estuarine	Marine/estuarine	Within habitat	0.92496
Bray-Curtis	NP3	TRRsed1	Marine/estuarine	Marine/estuarine	Within habitat	0.9155
Bray-Curtis	NP5	TRRsed1	Marine/estuarine	Marine/estuarine	Within habitat	0.91752
Bray-Curtis	CL3	TRRsed2	Soil	Marine/estuarine	Between habitats	0.9871
Bray-Curtis	CC1	TRRsed2	Soil	Marine/estuarine	Between habitats	0.9844
Bray-Curtis	SV1	TRRsed2	Soil	Marine/estuarine	Between habitats	0.98776
Bray-Curtis	M31Fcsw	TRRsed2	Human-associated	Marine/estuarine	Between habitats	0.9983
Bray-Curtis	M11Fcsw	TRRsed2	Human-associated	Marine/estuarine	Between habitats	0.99834
Bray-Curtis	M31Plmr	TRRsed2	Human-associated	Marine/estuarine	Between habitats	0.98826
Bray-Curtis	M11Plmr	TRRsed2	Human-associated	Marine/estuarine	Between habitats	0.96436
Bray-Curtis	F21Plmr	TRRsed2	Human-associated	Marine/estuarine	Between habitats	0.96416
Bray-Curtis	M31Tong	TRRsed2	Human-associated	Marine/estuarine	Between habitats	0.99566
Bray-Curtis	M11Tong	TRRsed2	Human-associated	Marine/estuarine	Between habitats	0.98848
Bray-Curtis	LMEpi24M	TRRsed2	Freshwater	Marine/estuarine	Between habitats	0.99538
Bray-Curtis	SLEpi20M	TRRsed2	Freshwater	Marine/estuarine	Between habitats	0.99494
Bray-Curtis	AQC1cm	TRRsed2	Freshwater	Marine/estuarine	Between habitats	0.9846
Bray-Curtis	AQC4cm	TRRsed2	Freshwater	Marine/estuarine	Between habitats	0.9848
Bray-Curtis	AQC7cm	TRRsed2	Freshwater	Marine/estuarine	Between habitats	0.98236
Bray-Curtis	NP2	TRRsed2	Marine/estuarine	Marine/estuarine	Within habitat	0.98304
Bray-Curtis	NP3	TRRsed2	Marine/estuarine	Marine/estuarine	Within habitat	0.97094
Bray-Curtis	NP5	TRRsed2	Marine/estuarine	Marine/estuarine	Within habitat	0.982
Bray-Curtis	TRRsed1	TRRsed2	Marine/estuarine	Marine/estuarine	Within habitat	0.5492
Bray-Curtis	CL3	TRRsed3	Soil	Marine/estuarine	Between habitats	0.9815
Bray-Curtis	CC1	TRRsed3	Soil	Marine/estuarine	Between habitats	0.98262
Bray-Curtis	SV1	TRRsed3	Soil	Marine/estuarine	Between habitats	0.9852
Bray-Curtis	M31Fcsw	TRRsed3	Human-associated	Marine/estuarine	Between habitats	0.96016
Bray-Curtis	M11Fcsw	TRRsed3	Human-associated	Marine/estuarine	Between habitats	0.96512
Bray-Curtis	M31Plmr	TRRsed3	Human-associated	Marine/estuarine	Between habitats	0.99074
Bray-Curtis	M11Plmr	TRRsed3	Human-associated	Marine/estuarine	Between habitats	0.98222
Bray-Curtis	F21Plmr	TRRsed3	Human-associated	Marine/estuarine	Between habitats	0.9857
Bray-Curtis	M31Tong	TRRsed3	Human-associated	Marine/estuarine	Between habitats	0.99344
Bray-Curtis	M11Tong	TRRsed3	Human-associated	Marine/estuarine	Between habitats	0.97834
Bray-Curtis	LMEpi24M	TRRsed3	Freshwater	Marine/estuarine	Between habitats	0.99408
Bray-Curtis	SLEpi20M	TRRsed3	Freshwater	Marine/estuarine	Between habitats	0.99408
Bray-Curtis	AQC1cm	TRRsed3	Freshwater	Marine/estuarine	Between habitats	0.97228
Bray-Curtis	AQC4cm	TRRsed3	Freshwater	Marine/estuarine	Between habitats	0.98048
Bray-Curtis	AQC7cm	TRRsed3	Freshwater	Marine/estuarine	Between habitats	0.977
Bray-Curtis	NP2	TRRsed3	Marine/estuarine	Marine/estuarine	Within habitat	0.98646
Bray-Curtis	NP3	TRRsed3	Marine/estuarine	Marine/estuarine	Within habitat	0.98014
Bray-Curtis	NP5	TRRsed3	Marine/estuarine	Marine/estuarine	Within habitat	0.98468
Bray-Curtis	TRRsed1	TRRsed3	Marine/estuarine	Marine/estuarine	Within habitat	0.60174
Bray-Curtis	TRRsed2	TRRsed3	Marine/estuarine	Marine/estuarine	Within habitat	0.43866
Bray-Curtis	CL3	TS28	Soil	Human-associated	Between habitats	0.99434
Bray-Curtis	CC1	TS28	Soil	Human-associated	Between habitats	0.9968
Bray-Curtis	SV1	TS28	Soil	Human-associated	Between habitats	0.99626
Bray-Curtis	M31Fcsw	TS28	Human-associated	Human-associated	Within habitat	0.64538
Bray-Curtis	M11Fcsw	TS28	Human-associated	Human-associated	Within habitat	0.78888
Bray-Curtis	M31Plmr	TS28	Human-associated	Human-associated	Within habitat	0.99498
Bray-Curtis	M11Plmr	TS28	Human-associated	Human-associated	Within habitat	0.9894
Bray-Curtis	F21Plmr	TS28	Human-associated	Human-associated	Within habitat	0.99404
Bray-Curtis	M31Tong	TS28	Human-associated	Human-associated	Within habitat	0.99604
Bray-Curtis	M11Tong	TS28	Human-associated	Human-associated	Within habitat	0.98776
Bray-Curtis	LMEpi24M	TS28	Freshwater	Human-associated	Between habitats	0.99778
Bray-Curtis	SLEpi20M	TS28	Freshwater	Human-associated	Between habitats	0.99834
Bray-Curtis	AQC1cm	TS28	Freshwater	Human-associated	Between habitats	0.9888
Bray-Curtis	AQC4cm	TS28	Freshwater	Human-associated	Between habitats	0.99784
Bray-Curtis	AQC7cm	TS28	Freshwater	Human-associated	Between habitats	0.99788
Bray-Curtis	NP2	TS28	Marine/estuarine	Human-associated	Between habitats	0.99794
Bray-Curtis	NP3	TS28	Marine/estuarine	Human-associated	Between habitats	0.99776
Bray-Curtis	NP5	TS28	Marine/estuarine	Human-associated	Between habitats	0.9975
Bray-Curtis	TRRsed1	TS28	Marine/estuarine	Human-associated	Between habitats	0.9814
Bray-Curtis	TRRsed2	TS28	Marine/estuarine	Human-associated	Between habitats	0.9966
Bray-Curtis	TRRsed3	TS28	Marine/estuarine	Human-associated	Between habitats	0.95094
Bray-Curtis	CL3	TS29	Soil	Human-associated	Between habitats	0.99432
Bray-Curtis	CC1	TS29	Soil	Human-associated	Between habitats	0.9969
Bray-Curtis	SV1	TS29	Soil	Human-associated	Between habitats	0.99626
Bray-Curtis	M31Fcsw	TS29	Human-associated	Human-associated	Within habitat	0.78582
Bray-Curtis	M11Fcsw	TS29	Human-associated	Human-associated	Within habitat	0.88888
Bray-Curtis	M31Plmr	TS29	Human-associated	Human-associated	Within habitat	0.99488
Bray-Curtis	M11Plmr	TS29	Human-associated	Human-associated	Within habitat	0.98942
Bray-Curtis	F21Plmr	TS29	Human-associated	Human-associated	Within habitat	0.99396
Bray-Curtis	M31Tong	TS29	Human-associated	Human-associated	Within habitat	0.99532
Bray-Curtis	M11Tong	TS29	Human-associated	Human-associated	Within habitat	0.9872
Bray-Curtis	LMEpi24M	TS29	Freshwater	Human-associated	Between habitats	0.99666
Bray-Curtis	SLEpi20M	TS29	Freshwater	Human-associated	Between habitats	0.9972
Bray-Curtis	AQC1cm	TS29	Freshwater	Human-associated	Between habitats	0.98758
Bray-Curtis	AQC4cm	TS29	Freshwater	Human-associated	Between habitats	0.99662
Bray-Curtis	AQC7cm	TS29	Freshwater	Human-associated	Between habitats	0.99666
Bray-Curtis	NP2	TS29	Marine/estuarine	Human-associated	Between habitats	0.99712
Bray-Curtis	NP3	TS29	Marine/estuarine	Human-associated	Between habitats	0.99702
Bray-Curtis	NP5	TS29	Marine/estuarine	Human-associated	Between habitats	0.99688
Bray-Curtis	TRRsed1	TS29	Marine/estuarine	Human-associated	Between habitats	0.9828
Bray-Curtis	TRRsed2	TS29	Marine/estuarine	Human-associated	Between habitats	0.99712
Bray-Curtis	TRRsed3	TS29	Marine/estuarine	Human-associated	Between habitats	0.96094
Bray-Curtis	TS28	TS29	Human-associated	Human-associated	Within habitat	0.62076
Bray-Curtis	CL3	Even1	Soil	Mock	Between habitats	0.98832
Bray-Curtis	CC1	Even1	Soil	Mock	Between habitats	0.99188
Bray-Curtis	SV1	Even1	Soil	Mock	Between habitats	0.9921
Bray-Curtis	M31Fcsw	Even1	Human-associated	Mock	Between habitats	0.8908
Bray-Curtis	M11Fcsw	Even1	Human-associated	Mock	Between habitats	0.87974
Bray-Curtis	M31Plmr	Even1	Human-associated	Mock	Between habitats	0.9932
Bray-Curtis	M11Plmr	Even1	Human-associated	Mock	Between habitats	0.98856
Bray-Curtis	F21Plmr	Even1	Human-associated	Mock	Between habitats	0.9884
Bray-Curtis	M31Tong	Even1	Human-associated	Mock	Between habitats	0.99454
Bray-Curtis	M11Tong	Even1	Human-associated	Mock	Between habitats	0.98514
Bray-Curtis	LMEpi24M	Even1	Freshwater	Mock	Between habitats	0.99526
Bray-Curtis	SLEpi20M	Even1	Freshwater	Mock	Between habitats	0.99416
Bray-Curtis	AQC1cm	Even1	Freshwater	Mock	Between habitats	0.98634
Bray-Curtis	AQC4cm	Even1	Freshwater	Mock	Between habitats	0.99272
Bray-Curtis	AQC7cm	Even1	Freshwater	Mock	Between habitats	0.9928
Bray-Curtis	NP2	Even1	Marine/estuarine	Mock	Between habitats	0.994
Bray-Curtis	NP3	Even1	Marine/estuarine	Mock	Between habitats	0.99412
Bray-Curtis	NP5	Even1	Marine/estuarine	Mock	Between habitats	0.9948
Bray-Curtis	TRRsed1	Even1	Marine/estuarine	Mock	Between habitats	0.94268
Bray-Curtis	TRRsed2	Even1	Marine/estuarine	Mock	Between habitats	0.9948
Bray-Curtis	TRRsed3	Even1	Marine/estuarine	Mock	Between habitats	0.9527
Bray-Curtis	TS28	Even1	Human-associated	Mock	Between habitats	0.87738
Bray-Curtis	TS29	Even1	Human-associated	Mock	Between habitats	0.87874
Bray-Curtis	CL3	Even2	Soil	Mock	Between habitats	0.98912
Bray-Curtis	CC1	Even2	Soil	Mock	Between habitats	0.992
Bray-Curtis	SV1	Even2	Soil	Mock	Between habitats	0.99238
Bray-Curtis	M31Fcsw	Even2	Human-associated	Mock	Between habitats	0.89862
Bray-Curtis	M11Fcsw	Even2	Human-associated	Mock	Between habitats	0.88946
Bray-Curtis	M31Plmr	Even2	Human-associated	Mock	Between habitats	0.99322
Bray-Curtis	M11Plmr	Even2	Human-associated	Mock	Between habitats	0.98948
Bray-Curtis	F21Plmr	Even2	Human-associated	Mock	Between habitats	0.98946
Bray-Curtis	M31Tong	Even2	Human-associated	Mock	Between habitats	0.99554
Bray-Curtis	M11Tong	Even2	Human-associated	Mock	Between habitats	0.98956
Bray-Curtis	LMEpi24M	Even2	Freshwater	Mock	Between habitats	0.99698
Bray-Curtis	SLEpi20M	Even2	Freshwater	Mock	Between habitats	0.99758
Bray-Curtis	AQC1cm	Even2	Freshwater	Mock	Between habitats	0.9907
Bray-Curtis	AQC4cm	Even2	Freshwater	Mock	Between habitats	0.99654
Bray-Curtis	AQC7cm	Even2	Freshwater	Mock	Between habitats	0.99656
Bray-Curtis	NP2	Even2	Marine/estuarine	Mock	Between habitats	0.9973
Bray-Curtis	NP3	Even2	Marine/estuarine	Mock	Between habitats	0.99704
Bray-Curtis	NP5	Even2	Marine/estuarine	Mock	Between habitats	0.99684
Bray-Curtis	TRRsed1	Even2	Marine/estuarine	Mock	Between habitats	0.94728
Bray-Curtis	TRRsed2	Even2	Marine/estuarine	Mock	Between habitats	0.99668
Bray-Curtis	TRRsed3	Even2	Marine/estuarine	Mock	Between habitats	0.95654
Bray-Curtis	TS28	Even2	Human-associated	Mock	Between habitats	0.88458
Bray-Curtis	TS29	Even2	Human-associated	Mock	Between habitats	0.88524
Bray-Curtis	Even1	Even2	Mock	Mock	Within habitat	0.07958
Bray-Curtis	CL3	Even3	Soil	Mock	Between habitats	0.99154
Bray-Curtis	CC1	Even3	Soil	Mock	Between habitats	0.99446
Bray-Curtis	SV1	Even3	Soil	Mock	Between habitats	0.99264
Bray-Curtis	M31Fcsw	Even3	Human-associated	Mock	Between habitats	0.89704
Bray-Curtis	M11Fcsw	Even3	Human-associated	Mock	Between habitats	0.88604
Bray-Curtis	M31Plmr	Even3	Human-associated	Mock	Between habitats	0.99338
Bray-Curtis	M11Plmr	Even3	Human-associated	Mock	Between habitats	0.98964
Bray-Curtis	F21Plmr	Even3	Human-associated	Mock	Between habitats	0.98992
Bray-Curtis	M31Tong	Even3	Human-associated	Mock	Between habitats	0.99566
Bray-Curtis	M11Tong	Even3	Human-associated	Mock	Between habitats	0.9898
Bray-Curtis	LMEpi24M	Even3	Freshwater	Mock	Between habitats	0.99722
Bray-Curtis	SLEpi20M	Even3	Freshwater	Mock	Between habitats	0.99736
Bray-Curtis	AQC1cm	Even3	Freshwater	Mock	Between habitats	0.99174
Bray-Curtis	AQC4cm	Even3	Freshwater	Mock	Between habitats	0.99756
Bray-Curtis	AQC7cm	Even3	Freshwater	Mock	Between habitats	0.99728000000000006
