FeatureID	Phylum	Class	Order	Family	Genus	LineageKey	CompleteDepth	EqualSampleMean
OTU_41	Actinobacteria	Actinobacteria	PeM15	Unknown family	Unknown genus	Actinobacteria > Actinobacteria > PeM15 > Unknown family > Unknown genus	3	0.0012158504703719054
OTU_59	Bacteroidetes	Bacteroidia	Bacteroidia Incertae Sedis	Draconibacteriaceae	Unknown genus	Bacteroidetes > Bacteroidia > Bacteroidia Incertae Sedis > Draconibacteriaceae > Unknown genus	4	0.004065472880655992
OTU_792	Proteobacteria	Alphaproteobacteria	Rhizobiales	Unknown family	Unknown genus	Proteobacteria > Alphaproteobacteria > Rhizobiales > Unknown family > Unknown genus	3	0.00016984800917931449
OTU_2733	Acidobacteria	Acidobacteria	Subgroup 4	RB41	Unknown genus	Acidobacteria > Acidobacteria > Subgroup 4 > RB41 > Unknown genus	4	4.321803463612831e-4
OTU_1844	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophaceae	Unknown genus	Proteobacteria > Deltaproteobacteria > Syntrophobacterales > Syntrophaceae > Unknown genus	4	8.373346959534592e-6
OTU_609	Aminicenantes	Unknown class	Unknown order	Unknown family	Unknown genus	Aminicenantes > Unknown class > Unknown order > Unknown family > Unknown genus	1	3.244742271791712e-4
OTU_2563	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AKYH478	Unknown genus	Proteobacteria > Alphaproteobacteria > Rhodospirillales > AKYH478 > Unknown genus	4	4.131120782111948e-5
OTU_6273	Planctomycetes	Phycisphaerae	MSBL9	Unknown family	Unknown genus	Planctomycetes > Phycisphaerae > MSBL9 > Unknown family > Unknown genus	3	8.084145521137798e-6
OTU_1069	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Unknown family	Unknown genus	Actinobacteria > Acidimicrobiia > Acidimicrobiales > Unknown family > Unknown genus	3	1.9790198000607963e-4
OTU_5789	Chloroflexi	Ktedonobacteria	JG30-KF-AS9	Unknown family	Unknown genus	Chloroflexi > Ktedonobacteria > JG30-KF-AS9 > Unknown family > Unknown genus	3	4.716906588657751e-6
OTU_6231	Bacteroidetes	Bacteroidia	Bacteroidales	Marinilabiaceae	Unknown genus	Bacteroidetes > Bacteroidia > Bacteroidales > Marinilabiaceae > Unknown genus	4	6.7292424101156905e-6
OTU_2753	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Euryarchaeota > Methanobacteria > Methanobacteriales > Methanobacteriaceae > Methanobacterium	5	7.524696471556585e-5
OTU_3210	Chloroflexi	Dehalococcoidia	vadinBA26	Unknown family	Unknown genus	Chloroflexi > Dehalococcoidia > vadinBA26 > Unknown family > Unknown genus	3	3.5488952189294e-5
OTU_2811	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Unknown genus	Chloroflexi > Anaerolineae > Anaerolineales > Anaerolineaceae > Unknown genus	4	1.067296947193123e-5
OTU_5031	Acidobacteria	Acidobacteria	Subgroup 6	Unknown family	Unknown genus	Acidobacteria > Acidobacteria > Subgroup 6 > Unknown family > Unknown genus	3	1.0330843205342477e-4
OTU_3989	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylobacter	Proteobacteria > Gammaproteobacteria > Methylococcales > Methylococcaceae > Methylobacter	5	1.6011218562273212e-5
OTU_4050	Acidobacteria	Acidobacteria	Subgroup 15	Unknown family	Unknown genus	Acidobacteria > Acidobacteria > Subgroup 15 > Unknown family > Unknown genus	3	1.1850487461791077e-4
OTU_52	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Proteobacteria > Alphaproteobacteria > Rhizobiales > Bradyrhizobiaceae > Bradyrhizobium	5	0.0015234330385951657
OTU_9583	Actinobacteria	Thermoleophilia	Gaiellales	Unknown family	Unknown genus	Actinobacteria > Thermoleophilia > Gaiellales > Unknown family > Unknown genus	3	2.2777566202296544e-5
OTU_6499	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Roseomonas	Proteobacteria > Alphaproteobacteria > Rhodospirillales > Acetobacteraceae > Roseomonas	5	1.2569161789018467e-4
OTU_4147	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	Halioglobus	Proteobacteria > Gammaproteobacteria > Cellvibrionales > Halieaceae > Halioglobus	5	4.3367789077033514e-4
OTU_286	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Sulfuricurvum	Proteobacteria > Epsilonproteobacteria > Campylobacterales > Helicobacteraceae > Sulfuricurvum	5	8.191778483507705e-5
OTU_23	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Unknown genus	Proteobacteria > Betaproteobacteria > Burkholderiales > Alcaligenaceae > Unknown genus	4	0.0030354445089865543
OTU_4672	Chlorobi	Ignavibacteria	Ignavibacteriales	BSV26	Unknown genus	Chlorobi > Ignavibacteria > Ignavibacteriales > BSV26 > Unknown genus	4	1.0751396400155313e-5
OTU_2	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter	Actinobacteria > Actinobacteria > Micrococcales > Micrococcaceae > Arthrobacter	5	0.008213118755311085
OTU_2399	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Unknown genus	Verrucomicrobia > Verrucomicrobiae > Verrucomicrobiales > Verrucomicrobiaceae > Unknown genus	4	9.786458744762318e-5
OTU_684	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadales Incertae Sedis	Unknown genus	Proteobacteria > Gammaproteobacteria > Xanthomonadales > Xanthomonadales Incertae Sedis > Unknown genus	4	1.9381818665733716e-4
OTU_9721	Unknown phylum	Unknown class	Unknown order	Unknown family	Unknown genus	Unknown phylum > Unknown class > Unknown order > Unknown family > Unknown genus	0	8.178141033830912e-6
OTU_36	Verrucomicrobia	Spartobacteria	Chthoniobacterales	DA101 soil group	Unknown genus	Verrucomicrobia > Spartobacteria > Chthoniobacterales > DA101 soil group > Unknown genus	4	0.00418673390832859
OTU_2853	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Unknown genus	Chloroflexi > Anaerolineae > Anaerolineales > Anaerolineaceae > Unknown genus	4	1.8636910599256364e-5
OTU_161	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Unknown genus	Bacteroidetes > Sphingobacteriia > Sphingobacteriales > Chitinophagaceae > Unknown genus	4	2.1937109817778217e-4
OTU_2335	Acidobacteria	Acidobacteria	Subgroup 4	11-24	Unknown genus	Acidobacteria > Acidobacteria > Subgroup 4 > 11-24 > Unknown genus	4	1.2287507829654564e-4
OTU_1761	Bacteroidetes	SB-5	Unknown order	Unknown family	Unknown genus	Bacteroidetes > SB-5 > Unknown order > Unknown family > Unknown genus	2	2.1158696784916652e-4
OTU_13614	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas	Proteobacteria > Gammaproteobacteria > Oceanospirillales > Halomonadaceae > Halomonas	5	5.409920138917985e-6
OTU_7321	Chloroflexi	Ardenticatenia	Unknown order	Unknown family	Unknown genus	Chloroflexi > Ardenticatenia > Unknown order > Unknown family > Unknown genus	2	4.155463210439138e-6
OTU_6210	Acidobacteria	Acidobacteria	Subgroup 18	Unknown family	Unknown genus	Acidobacteria > Acidobacteria > Subgroup 18 > Unknown family > Unknown genus	3	4.729528278571726e-5
OTU_2721	Acidobacteria	Acidobacteria	Subgroup 4	Unknown family	Blastocatella	Acidobacteria > Acidobacteria > Subgroup 4 > Unknown family > Blastocatella	3	1.8165797256312208e-4
OTU_192	Chloroflexi	KD4-96	Unknown order	Unknown family	Unknown genus	Chloroflexi > KD4-96 > Unknown order > Unknown family > Unknown genus	2	0.0015682654244150004
OTU_3056	Firmicutes	Clostridia	Clostridiales	Clostridiaceae 1	Clostridium sensu stricto 1	Firmicutes > Clostridia > Clostridiales > Clostridiaceae 1 > Clostridium sensu stricto 1	5	1.1790843986379308e-4
OTU_9188	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	PHOS-HE51	Unknown genus	Bacteroidetes > Sphingobacteriia > Sphingobacteriales > PHOS-HE51 > Unknown genus	4	3.083758787008629e-5
OTU_12498	Cloacimonetes	PBS-18	Unknown order	Unknown family	Unknown genus	Cloacimonetes > PBS-18 > Unknown order > Unknown family > Unknown genus	2	4.231232461826756e-6
OTU_171	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Unknown genus	Chloroflexi > Anaerolineae > Anaerolineales > Anaerolineaceae > Unknown genus	4	2.393331753847308e-4
OTU_471	Proteobacteria	Betaproteobacteria	SC-I-84	Unknown family	Unknown genus	Proteobacteria > Betaproteobacteria > SC-I-84 > Unknown family > Unknown genus	3	4.433840497685133e-4
OTU_4607	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Fluviicola	Bacteroidetes > Flavobacteriia > Flavobacteriales > Cryomorphaceae > Fluviicola	5	2.388486270581056e-6
OTU_1230	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Euryarchaeota > Methanobacteria > Methanobacteriales > Methanobacteriaceae > Methanobacterium	5	9.057173372594223e-6
OTU_5549	Chlorobi	Ignavibacteria	Ignavibacteriales	BSV40	Unknown genus	Chlorobi > Ignavibacteria > Ignavibacteriales > BSV40 > Unknown genus	4	7.46438175235858e-6
OTU_2714	Chloroflexi	Caldilineae	Caldilineales	Caldilineaceae	Unknown genus	Chloroflexi > Caldilineae > Caldilineales > Caldilineaceae > Unknown genus	4	3.4478020813361774e-5
OTU_3620	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Unknown family	Unknown genus	Actinobacteria > Acidimicrobiia > Acidimicrobiales > Unknown family > Unknown genus	3	9.255336566702565e-5
OTU_3	Firmicutes	Bacilli	Bacillales	Planococcaceae	Paenisporosarcina	Firmicutes > Bacilli > Bacillales > Planococcaceae > Paenisporosarcina	5	0.003382186259426206
OTU_12367	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Unknown genus	Actinobacteria > Actinobacteria > Micrococcales > Microbacteriaceae > Unknown genus	4	1.9817620475061265e-4
OTU_7074	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Unknown genus	Chloroflexi > Anaerolineae > Anaerolineales > Anaerolineaceae > Unknown genus	4	5.665201045064432e-6
OTU_605	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Sva0081 sediment group	Proteobacteria > Deltaproteobacteria > Desulfobacterales > Desulfobacteraceae > Sva0081 sediment group	5	1.9197507686860888e-4
OTU_2808	Proteobacteria	Betaproteobacteria	SC-I-84	Unknown family	Unknown genus	Proteobacteria > Betaproteobacteria > SC-I-84 > Unknown family > Unknown genus	3	4.2031376627219957e-4
OTU_13923	Proteobacteria	Deltaproteobacteria	Myxococcales	KD3-10	Unknown genus	Proteobacteria > Deltaproteobacteria > Myxococcales > KD3-10 > Unknown genus	4	5.331875250086248e-5
OTU_94	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Unknown genus	Proteobacteria > Betaproteobacteria > Burkholderiales > Comamonadaceae > Unknown genus	4	0.0013980338462897968
OTU_1805	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	WCHB1-69	Unknown genus	Bacteroidetes > Sphingobacteriia > Sphingobacteriales > WCHB1-69 > Unknown genus	4	4.473077514534312e-5
OTU_123	Acidobacteria	Acidobacteria	Subgroup 17	Unknown family	Unknown genus	Acidobacteria > Acidobacteria > Subgroup 17 > Unknown family > Unknown genus	3	0.0010032899285663756
OTU_859	Firmicutes	Clostridia	Clostridiales	Clostridiaceae 1	Clostridium sensu stricto 1	Firmicutes > Clostridia > Clostridiales > Clostridiaceae 1 > Clostridium sensu stricto 1	5	8.52596656422334e-5
OTU_2317	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Lysobacter	Proteobacteria > Gammaproteobacteria > Xanthomonadales > Xanthomonadaceae > Lysobacter	5	4.9409137122110745e-5
OTU_6062	Aminicenantes	Unknown class	Unknown order	Unknown family	Unknown genus	Aminicenantes > Unknown class > Unknown order > Unknown family > Unknown genus	1	3.5137648409839428e-6
OTU_1646	Proteobacteria	Gammaproteobacteria	Order Incertae Sedis	Family Incertae Sedis	Marinicella	Proteobacteria > Gammaproteobacteria > Order Incertae Sedis > Family Incertae Sedis > Marinicella	5	3.141775671374603e-4
OTU_387	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Unknown genus	Chloroflexi > Anaerolineae > Anaerolineales > Anaerolineaceae > Unknown genus	4	3.595982957131113e-4
OTU_5862	Verrucomicrobia	OPB35 soil group	Unknown order	Unknown family	Unknown genus	Verrucomicrobia > OPB35 soil group > Unknown order > Unknown family > Unknown genus	2	2.251457723681803e-4
OTU_37	Acidobacteria	Acidobacteria	Subgroup 6	Unknown family	Unknown genus	Acidobacteria > Acidobacteria > Subgroup 6 > Unknown family > Unknown genus	3	0.001810222986385486
OTU_5586	Unknown phylum	Unknown class	Unknown order	Unknown family	Unknown genus	Unknown phylum > Unknown class > Unknown order > Unknown family > Unknown genus	0	2.2992988800354675e-5
OTU_4302	Verrucomicrobia	OPB35 soil group	Unknown order	Unknown family	Unknown genus	Verrucomicrobia > OPB35 soil group > Unknown order > Unknown family > Unknown genus	2	1.9259337556929047e-5
OTU_3060	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	DEV007	Unknown genus	Verrucomicrobia > Verrucomicrobiae > Verrucomicrobiales > DEV007 > Unknown genus	4	1.5777174203850927e-4
OTU_7055	Planctomycetes	Phycisphaerae	WD2101 soil group	Unknown family	Unknown genus	Planctomycetes > Phycisphaerae > WD2101 soil group > Unknown family > Unknown genus	3	6.334978881257542e-5
OTU_14201	Planctomycetes	Phycisphaerae	Unknown order	Unknown family	Unknown genus	Planctomycetes > Phycisphaerae > Unknown order > Unknown family > Unknown genus	2	4.585490013293402e-6
OTU_2859	Planctomycetes	Phycisphaerae	WD2101 soil group	Unknown family	Unknown genus	Planctomycetes > Phycisphaerae > WD2101 soil group > Unknown family > Unknown genus	3	4.520887195364732e-5
OTU_2653	Chloroflexi	KD4-96	Unknown order	Unknown family	Unknown genus	Chloroflexi > KD4-96 > Unknown order > Unknown family > Unknown genus	2	1.2025677717592946e-5
OTU_1494	Nitrospirae	Nitrospira	Nitrospirales	4-29	Unknown genus	Nitrospirae > Nitrospira > Nitrospirales > 4-29 > Unknown genus	4	1.0250806364005007e-4
OTU_993	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Unknown genus	Chloroflexi > Anaerolineae > Anaerolineales > Anaerolineaceae > Unknown genus	4	3.274687902163043e-4
OTU_5177	Proteobacteria	Deltaproteobacteria	Myxococcales	UASB-TL25	Unknown genus	Proteobacteria > Deltaproteobacteria > Myxococcales > UASB-TL25 > Unknown genus	4	1.3096707055277223e-5
OTU_575	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Unknown genus	Chloroflexi > Anaerolineae > Anaerolineales > Anaerolineaceae > Unknown genus	4	6.40553859359198e-5
OTU_4513	Proteobacteria	Gammaproteobacteria	Order Incertae Sedis	Family Incertae Sedis	Marinicella	Proteobacteria > Gammaproteobacteria > Order Incertae Sedis > Family Incertae Sedis > Marinicella	5	8.663572651047969e-5
OTU_12911	Actinobacteria	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	Actinobacteria > Thermoleophilia > Gaiellales > Gaiellaceae > Gaiella	5	6.857926552883417e-5
OTU_3800	Cloacimonetes	PBS-18	Unknown order	Unknown family	Unknown genus	Cloacimonetes > PBS-18 > Unknown order > Unknown family > Unknown genus	2	1.484294109174215e-6
OTU_12389	Actinobacteria	Thermoleophilia	Gaiellales	Unknown family	Unknown genus	Actinobacteria > Thermoleophilia > Gaiellales > Unknown family > Unknown genus	3	8.911013036141585e-5
OTU_2480	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Planosporangium	Actinobacteria > Actinobacteria > Micromonosporales > Micromonosporaceae > Planosporangium	5	5.0790981896720066e-5
OTU_4307	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Unknown genus	Actinobacteria > Coriobacteriia > Coriobacteriales > Coriobacteriaceae > Unknown genus	4	1.848653648091557e-4
OTU_8662	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Leptolinea	Chloroflexi > Anaerolineae > Anaerolineales > Anaerolineaceae > Leptolinea	5	7.393309137220778e-6
OTU_3827	Actinobacteria	MB-A2-108	Unknown order	Unknown family	Unknown genus	Actinobacteria > MB-A2-108 > Unknown order > Unknown family > Unknown genus	2	2.1640160524454436e-5
