LineageRank	LineageKey	Phylum	Class	Order	Family	Genus	FeatureCount	EqualSampleMean	PooledReadFraction
47	Verrucomicrobia > Spartobacteria > Chthoniobacterales > Chthoniobacteraceae > Chthoniobacter	Verrucomicrobia	Spartobacteria	Chthoniobacterales	Chthoniobacteraceae	Chthoniobacter	36	0.0017235548037513198	0.001846055060598764
48	Actinobacteria > Actinobacteria > Micrococcales > Intrasporangiaceae > Oryzihumus	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae	Oryzihumus	5	0.0016600055260637292	0.0016861459433094397
49	Verrucomicrobia > Opitutae > Opitutales > Opitutaceae > Opitutus	Verrucomicrobia	Opitutae	Opitutales	Opitutaceae	Opitutus	29	0.0016415138871215046	0.0017793748109182735
50	Bacteroidetes > Flavobacteriia > Flavobacteriales > Flavobacteriaceae > Lutibacter	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Lutibacter	3	0.001640655918229762	0.001873838497965635
51	Proteobacteria > Gammaproteobacteria > Alteromonadales > Alteromonadaceae > Marinobacter	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Marinobacter	8	0.0015846612536508584	0.001391024097501343
52	Proteobacteria > Gammaproteobacteria > Cellvibrionales > Halieaceae > Haliea	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	Haliea	5	0.001565411839030262	0.0012539591398247792
53	Proteobacteria > Deltaproteobacteria > Myxococcales > Cystobacteraceae > Anaeromyxobacter	Proteobacteria	Deltaproteobacteria	Myxococcales	Cystobacteraceae	Anaeromyxobacter	44	0.001550430985387865	0.0015120364024770478
54	Firmicutes > Bacilli > Bacillales > Thermoactinomycetaceae > Kroppenstedtia	Firmicutes	Bacilli	Bacillales	Thermoactinomycetaceae	Kroppenstedtia	3	0.001536699323069733	0.0013607710212574166
55	Proteobacteria > Deltaproteobacteria > Syntrophobacterales > Syntrophaceae > Syntrophus	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophaceae	Syntrophus	10	0.0015316464069520957	0.0015558724925447776
56	Chloroflexi > Anaerolineae > Anaerolineales > Anaerolineaceae > Leptolinea	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Leptolinea	36	0.0014347177324985183	0.0014354775972883365
57	Planctomycetes > Planctomycetacia > Planctomycetales > Planctomycetaceae > Candidatus Anammoximicrobium	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Candidatus Anammoximicrobium	11	0.0014109735628622013	0.0013891718683435514
58	Proteobacteria > Gammaproteobacteria > Pseudomonadales > Moraxellaceae > Acinetobacter	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	7	0.0013833464336892368	0.001650953589311403
59	Actinobacteria > Actinobacteria > Propionibacteriales > Nocardioidaceae > Nocardioides	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	19	0.001377976812744761	0.0013508924657491957
60	Firmicutes > Clostridia > Clostridiales > Christensenellaceae > Christensenellaceae R-7 group	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenellaceae R-7 group	19	0.0013711452044949464	0.001446590972235085
61	Actinobacteria > Acidimicrobiia > Acidimicrobiales > Iamiaceae > Iamia	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Iamiaceae	Iamia	21	0.0013658708803944732	0.0014058419307636742
62	Proteobacteria > Alphaproteobacteria > Rhizobiales > Rhodobiaceae > Anderseniella	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhodobiaceae	Anderseniella	1	0.001312527085926219	0.0012212364247037976
63	Planctomycetes > Planctomycetacia > Planctomycetales > Planctomycetaceae > Pir4 lineage	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Pir4 lineage	38	0.0013107973776646511	0.001279272938314595
64	Proteobacteria > Gammaproteobacteria > Xanthomonadales > Xanthomonadaceae > Thermomonas	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Thermomonas	2	0.0012854710835004213	0.0013823803614316497
65	Bacteroidetes > Sphingobacteriia > Sphingobacteriales > Chitinophagaceae > Flavisolibacter	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Flavisolibacter	26	0.0012628987516652233	0.0012607506467366809
66	Chlorobi > Ignavibacteria > Ignavibacteriales > Ignavibacteriaceae > Ignavibacterium	Chlorobi	Ignavibacteria	Ignavibacteriales	Ignavibacteriaceae	Ignavibacterium	16	0.0012183156941764737	0.0011699914180049022
67	Firmicutes > Clostridia > Clostridiales > Clostridiaceae 1 > Clostridium sensu stricto 1	Firmicutes	Clostridia	Clostridiales	Clostridiaceae 1	Clostridium sensu stricto 1	13	0.0012078627837860212	0.0011224508696215897
68	Proteobacteria > Alphaproteobacteria > Caulobacterales > Caulobacteraceae > Brevundimonas	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	6	0.0012039214706535252	0.0010847888767464978
69	Proteobacteria > Alphaproteobacteria > Sphingomonadales > Sphingomonadaceae > Novosphingobium	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	12	0.0011746076583295313	0.0010847888767464978
70	Proteobacteria > Betaproteobacteria > Rhodocyclales > Rhodocyclaceae > Azoarcus	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Azoarcus	6	0.0011440450486395095	0.001179869973513123
71	Chloroflexi > Chloroflexia > Chloroflexales > Roseiflexaceae > Roseiflexus	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	Roseiflexus	51	0.0011371414806747094	0.0011854266609864971
72	Proteobacteria > Gammaproteobacteria > Vibrionales > Vibrionaceae > Vibrio	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	1	0.0011285837400919181	0.0018003667413732426
73	Actinobacteria > Nitriliruptoria > Nitriliruptorales > Nitriliruptoraceae > Nitriliruptor	Actinobacteria	Nitriliruptoria	Nitriliruptorales	Nitriliruptoraceae	Nitriliruptor	21	0.0011262170615055076	0.0010020559743651484
74	Verrucomicrobia > Verrucomicrobiae > Verrucomicrobiales > Verrucomicrobiaceae > Luteolibacter	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Luteolibacter	7	0.001098190115343286	0.0011613476819352091
75	Proteobacteria > Alphaproteobacteria > Rhodobacterales > Rhodobacteraceae > Tropicimonas	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Tropicimonas	2	0.0010942595090728461	0.0010341612797668662
76	Firmicutes > Bacilli > Bacillales > Bacillaceae > Oceanobacillus	Firmicutes	Bacilli	Bacillales	Bacillaceae	Oceanobacillus	2	0.0010669723668792204	9.261145788957009e-4
77	Proteobacteria > Alphaproteobacteria > Rhizobiales > Hyphomicrobiaceae > Devosia	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Devosia	10	0.0010058482423629252	0.0010477442935906698
78	Bacteroidetes > Cytophagia > Cytophagales > Cytophagaceae > Adhaeribacter	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Adhaeribacter	9	0.0010022866901532703	9.026530095636766e-4
79	Proteobacteria > Alphaproteobacteria > Rhodobacterales > Rhodobacteraceae > Paracocccus	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracocccus	4	9.823509795540536e-4	9.87855550822081e-4
80	Proteobacteria > Epsilonproteobacteria > Campylobacterales > Helicobacteraceae > Sulfuricurvum	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Sulfuricurvum	5	9.594207708024466e-4	8.365901696024499e-4
81	Proteobacteria > Betaproteobacteria > Burkholderiales > Comamonadaceae > Xenophilus	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Xenophilus	1	9.557023523404332e-4	0.001018726036785271
82	Planctomycetes > Planctomycetacia > Planctomycetales > Planctomycetaceae > Blastopirellula	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Blastopirellula	36	9.453961174706325e-4	8.89069995739873e-4
83	Firmicutes > Erysipelotrichia > Erysipelotrichales > Erysipelotrichaceae > Erysipelothrix	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelothrix	8	9.137730025622939e-4	8.822784888279712e-4
84	Proteobacteria > Gammaproteobacteria > Chromatiales > Ectothiorhodospiraceae > Thiogranum	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Thiogranum	3	8.99311637470255e-4	7.21751961819383e-4
85	Proteobacteria > Deltaproteobacteria > Syntrophobacterales > Syntrophaceae > Smithella	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophaceae	Smithella	7	8.947153528974448e-4	8.569646903381553e-4
86	Actinobacteria > Actinobacteria > Frankiales > Acidothermaceae > Acidothermus	Actinobacteria	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus	16	8.932797054016136e-4	8.532602320225725e-4
87	Firmicutes > Clostridia > Clostridiales > Clostridiaceae 1 > Proteiniclasticum	Firmicutes	Clostridia	Clostridiales	Clostridiaceae 1	Proteiniclasticum	2	8.854856293295609e-4	0.001012551939592633
88	Actinobacteria > Actinobacteria > Corynebacteriales > Mycobacteriaceae > Mycobacterium	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	8	8.324896938763161e-4	8.08189322516315e-4
89	Planctomycetes > Planctomycetacia > Planctomycetales > Planctomycetaceae > Gemmata	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Gemmata	46	8.302410480349507e-4	9.174708428260078e-4
90	Verrucomicrobia > Verrucomicrobiae > Verrucomicrobiales > Verrucomicrobiaceae > Haloferula	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Haloferula	9	8.253280402981512e-4	7.421264825550884e-4
91	Planctomycetes > Planctomycetacia > Planctomycetales > Planctomycetaceae > Rhodopirellula	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Rhodopirellula	22	8.250600453326725e-4	7.662054616063767e-4
92	Proteobacteria > Alphaproteobacteria > Caulobacterales > Caulobacteraceae > Phenylobacterium	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium	12	8.19282498444067e-4	8.674606555656399e-4
93	Proteobacteria > Deltaproteobacteria > Desulfuromonadales > Geobacteraceae > Geoalkalibacter	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geoalkalibacter	3	8.091091492887162e-4	7.754666073953336e-4
94	Bacteroidetes > Flavobacteriia > Flavobacteriales > Flavobacteriaceae > Salinimicrobium	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Salinimicrobium	2	8.043884805890784e-4	0.0012397587162817118
95	Proteobacteria > Deltaproteobacteria > Desulfarculales > Desulfarculaceae > Desulfatiglans	Proteobacteria	Deltaproteobacteria	Desulfarculales	Desulfarculaceae	Desulfatiglans	14	7.815762086046631e-4	7.106385868726346e-4
96	Proteobacteria > Deltaproteobacteria > Desulfobacterales > Desulfobulbaceae > Desulfocapsa	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	Desulfocapsa	8	7.677382038822064e-4	7.273086492927571e-4
97	Proteobacteria > Gammaproteobacteria > Xanthomonadales > Xanthomonadales Incertae Sedis > Acidibacter	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadales Incertae Sedis	Acidibacter	15	7.497255255870699e-4	7.396568436780331e-4
98	Firmicutes > Clostridia > Clostridiales > Clostridiaceae 2 > Anoxynatronum	Firmicutes	Clostridia	Clostridiales	Clostridiaceae 2	Anoxynatronum	4	7.479915747464088e-4	6.167923095445368e-4
99	Proteobacteria > Gammaproteobacteria > Pseudomonadales > Moraxellaceae > Psychrobacter	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter	2	7.32421106748995e-4	0.0011156593627096878
100	Bacteroidetes > Sphingobacteriia > Sphingobacteriales > Chitinophagaceae > Chitinophaga	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Chitinophaga	17	7.281728744960446e-4	7.198997326615915e-4
101	Proteobacteria > Betaproteobacteria > Burkholderiales > Oxalobacteraceae > Noviherbaspirillum	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Noviherbaspirillum	2	7.261508594307769e-4	7.760840171145974e-4
102	Proteobacteria > Deltaproteobacteria > Syntrophobacterales > Syntrophaceae > Desulfobacca	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophaceae	Desulfobacca	9	7.105335664156258e-4	6.482802052269907e-4
103	Proteobacteria > Alphaproteobacteria > Rhizobiales > Rhizobiales Incertae Sedis > Bauldia	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales Incertae Sedis	Bauldia	14	7.026169119391592e-4	7.625010032907938e-4
104	Proteobacteria > Alphaproteobacteria > Rhizobiales > Rhizobiales Incertae Sedis > Rhizomicrobium	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales Incertae Sedis	Rhizomicrobium	24	7.007464946500577e-4	7.260738298542295e-4
105	Bacteroidetes > Flavobacteriia > Flavobacteriales > Flavobacteriaceae > Actibacter	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Actibacter	2	6.993556978535355e-4	6.346971914031871e-4
106	Proteobacteria > Gammaproteobacteria > Cellvibrionales > Halieaceae > Halioglobus	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	Halioglobus	3	6.985422561554196e-4	6.229664067371748e-4
107	Proteobacteria > Betaproteobacteria > Burkholderiales > Comamonadaceae > Comamonas	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas	2	6.945282998006536e-4	8.514080028647811e-4
108	Bacteroidetes > Flavobacteriia > Flavobacteriales > Flavobacteriaceae > Imtechella	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Imtechella	2	6.902878978972358e-4	9.75507356436805e-4
109	Actinobacteria > Actinobacteria > Micrococcales > Cellulomonadaceae > Actinotalea	Actinobacteria	Actinobacteria	Micrococcales	Cellulomonadaceae	Actinotalea	1	6.879485876484517e-4	6.859421981020825e-4
110	Planctomycetes > Planctomycetacia > Planctomycetales > Planctomycetaceae > Roseimaritima	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Roseimaritima	1	6.813834534295261e-4	8.180678780245359e-4
111	Spirochaetae > Spirochaetes > Spirochaetales > Spirochaetaceae > Spirochaeta 2	Spirochaetae	Spirochaetes	Spirochaetales	Spirochaetaceae	Spirochaeta 2	24	6.744020079883742e-4	6.118530317904264e-4
112	Proteobacteria > Deltaproteobacteria > Desulfobacterales > Desulfobulbaceae > SEEP-SRB4	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	SEEP-SRB4	2	6.704389865175012e-4	4.741706643945989e-4
113	Planctomycetes > Phycisphaerae > Phycisphaerales > Phycisphaeraceae > Urania-1B-19 marine sediment group	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	Urania-1B-19 marine sediment group	19	6.67449025223699e-4	5.303549488476048e-4
114	Proteobacteria > Deltaproteobacteria > Myxococcales > Polyangiaceae > Sorangium	Proteobacteria	Deltaproteobacteria	Myxococcales	Polyangiaceae	Sorangium	29	6.652505138747655e-4	6.692721356819599e-4
115	Proteobacteria > Alphaproteobacteria > Rhizobiales > Hyphomicrobiaceae > Pedomicrobium	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Pedomicrobium	14	6.617116983260795e-4	6.643328579278495e-4
116	Proteobacteria > Alphaproteobacteria > Rhodospirillales > Acetobacteraceae > Roseomonas	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Roseomonas	14	6.610085329345405e-4	6.087659831941074e-4
117	Actinobacteria > Actinobacteria > Micrococcales > Intrasporangiaceae > Ornithinibacter	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae	Ornithinibacter	1	6.473689210045251e-4	6.982903924873585e-4
118	Proteobacteria > Betaproteobacteria > Burkholderiales > Comamonadaceae > Hydrogenophaga	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga	3	6.45867299721845e-4	6.390190594380337e-4
119	Bacteroidetes > Flavobacteriia > Flavobacteriales > Flavobacteriaceae > Lutimonas	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Lutimonas	2	6.455173416665066e-4	5.266504905320219e-4
120	Synergistetes > Synergistia > Synergistales > Synergistaceae > Anaerobaculum	Synergistetes	Synergistia	Synergistales	Synergistaceae	Anaerobaculum	3	6.318979903341519e-4	5.414683237943531e-4
121	Proteobacteria > Gammaproteobacteria > Methylococcales > Methylococcaceae > Methylobacter	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylobacter	6	6.295401617167887e-4	6.322275525261319e-4
122	Proteobacteria > Alphaproteobacteria > Rhodobacterales > Rhodobacteraceae > Rhodobacter	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter	5	6.238543858163024e-4	6.476627955077269e-4
