LineageRank	LineageKey	Phylum	Class	Order	Family	Genus	GroupCode	Group	MeanRelativeAbundance	MeanPercent	Prevalence	OverallMean
4	Firmicutes > Bacilli > Bacillales > Bacillaceae > Bacillus	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	CW	Coastal wetland	0.013188628179528754	1.3188628179528754	1	0.010772492499551532
4	Firmicutes > Bacilli > Bacillales > Bacillaceae > Bacillus	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	TW	Tibetan wetland	0.014134734089529817	1.4134734089529817	1	0.010772492499551532
5	Actinobacteria > Actinobacteria > Micrococcales > Micrococcaceae > Arthrobacter	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter	IW	Inland wetland	0.006620590902573142	0.6620590902573142	1	0.00856378592669771
5	Actinobacteria > Actinobacteria > Micrococcales > Micrococcaceae > Arthrobacter	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter	CW	Coastal wetland	0.0024665892427719743	0.24665892427719743	1	0.00856378592669771
5	Actinobacteria > Actinobacteria > Micrococcales > Micrococcaceae > Arthrobacter	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter	TW	Tibetan wetland	0.016604177634748016	1.6604177634748016	1	0.00856378592669771
6	Bacteroidetes > Flavobacteriia > Flavobacteriales > Flavobacteriaceae > Flavobacterium	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	IW	Inland wetland	0.0013343672443495924	0.13343672443495924	1	0.008166456152901479
6	Bacteroidetes > Flavobacteriia > Flavobacteriales > Flavobacteriaceae > Flavobacterium	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	CW	Coastal wetland	0.005957413573596025	0.5957413573596024	1	0.008166456152901479
6	Bacteroidetes > Flavobacteriia > Flavobacteriales > Flavobacteriaceae > Flavobacterium	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	TW	Tibetan wetland	0.01720758764075882	1.7207587640758821	1	0.008166456152901479
7	Chloroflexi > Anaerolineae > Anaerolineales > Anaerolineaceae > Anaerolinea	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Anaerolinea	IW	Inland wetland	0.005225953305675086	0.5225953305675086	1	0.007531610481461075
7	Chloroflexi > Anaerolineae > Anaerolineales > Anaerolineaceae > Anaerolinea	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Anaerolinea	CW	Coastal wetland	0.002973429078250058	0.2973429078250058	1	0.007531610481461075
7	Chloroflexi > Anaerolineae > Anaerolineales > Anaerolineaceae > Anaerolinea	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Anaerolinea	TW	Tibetan wetland	0.01439544906045808	1.439544906045808	1	0.007531610481461075
8	Actinobacteria > Acidimicrobiia > Acidimicrobiales > Acidimicrobiaceae > Illumatobacter	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Illumatobacter	IW	Inland wetland	0.001324497029637627	0.1324497029637627	1	0.006843106998303157
8	Actinobacteria > Acidimicrobiia > Acidimicrobiales > Acidimicrobiaceae > Illumatobacter	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Illumatobacter	CW	Coastal wetland	0.004604799038968716	0.4604799038968716	1	0.006843106998303157
8	Actinobacteria > Acidimicrobiia > Acidimicrobiales > Acidimicrobiaceae > Illumatobacter	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Illumatobacter	TW	Tibetan wetland	0.014600024926303128	1.4600024926303128	1	0.006843106998303157
9	Bacteroidetes > Flavobacteriia > Flavobacteriales > Flavobacteriaceae > Gillisia	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Gillisia	IW	Inland wetland	4.080623512436058e-4	0.04080623512436058	0.9333333333333333	0.00655927691278976
9	Bacteroidetes > Flavobacteriia > Flavobacteriales > Flavobacteriaceae > Gillisia	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Gillisia	CW	Coastal wetland	0.011156657824466001	1.1156657824466	1	0.00655927691278976
9	Bacteroidetes > Flavobacteriia > Flavobacteriales > Flavobacteriaceae > Gillisia	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Gillisia	TW	Tibetan wetland	0.00811311056265967	0.811311056265967	1	0.00655927691278976
10	Proteobacteria > Epsilonproteobacteria > Campylobacterales > Helicobacteraceae > Sulfurovum	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Sulfurovum	IW	Inland wetland	0.00033164247372572927	0.033164247372572925	0.9666666666666667	0.00605919597163607
10	Proteobacteria > Epsilonproteobacteria > Campylobacterales > Helicobacteraceae > Sulfurovum	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Sulfurovum	CW	Coastal wetland	0.015482994576343627	1.5482994576343627	1	0.00605919597163607
10	Proteobacteria > Epsilonproteobacteria > Campylobacterales > Helicobacteraceae > Sulfurovum	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Sulfurovum	TW	Tibetan wetland	0.002362950864838853	0.23629508648388528	1	0.00605919597163607
11	Bacteroidetes > Sphingobacteriia > Sphingobacteriales > Sphingobacteriaceae > Pedobacter	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	IW	Inland wetland	1.8296166761407534e-4	0.018296166761407533	0.8333333333333334	0.0058897203314144855
11	Bacteroidetes > Sphingobacteriia > Sphingobacteriales > Sphingobacteriaceae > Pedobacter	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	CW	Coastal wetland	8.701184576049557e-4	0.08701184576049557	1	0.0058897203314144855
11	Bacteroidetes > Sphingobacteriia > Sphingobacteriales > Sphingobacteriaceae > Pedobacter	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	TW	Tibetan wetland	0.016616080869024424	1.6616080869024423	1	0.0058897203314144855
12	Proteobacteria > Gammaproteobacteria > Order Incertae Sedis > Family Incertae Sedis > Marinicella	Proteobacteria	Gammaproteobacteria	Order Incertae Sedis	Family Incertae Sedis	Marinicella	IW	Inland wetland	6.301554099728396e-4	0.06301554099728396	1	0.00514540504617099
12	Proteobacteria > Gammaproteobacteria > Order Incertae Sedis > Family Incertae Sedis > Marinicella	Proteobacteria	Gammaproteobacteria	Order Incertae Sedis	Family Incertae Sedis	Marinicella	CW	Coastal wetland	0.013345246671555882	1.3345246671555882	1	0.00514540504617099
12	Proteobacteria > Gammaproteobacteria > Order Incertae Sedis > Family Incertae Sedis > Marinicella	Proteobacteria	Gammaproteobacteria	Order Incertae Sedis	Family Incertae Sedis	Marinicella	TW	Tibetan wetland	0.0014608130569842487	0.14608130569842487	1	0.00514540504617099
