FeatureID	Kingdom	Phylum	Class	Order	Family	Genus	NegativePrevalence	BiologicalPrevalence	TotalReads	FrequencyP	PrevalenceP	CombinedP	GlobalContaminant	BatchContaminant
Seq33	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	0	0.2430426716141	54962	0.963628219131516	0.997847241307076	0.999251285623336	FALSE	FALSE
Seq34	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Veillonella	0.0333333333333333	0.471243042671614	41126	0.999995644120719	0.99999669053863	0.999999999970621	FALSE	FALSE
Seq35	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	0	0.306122448979592	45657	0.99998357632759	0.999650208025086	0.999999932936967	FALSE	FALSE
Seq36	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	0	0.857142857142857	44165	1	1	1	FALSE	FALSE
Seq37	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	0	0.230055658627087	39149	0.437414249633421	0.99696032058949	0.797999544839836	FALSE	FALSE
Seq38	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Planobacterium	0.0333333333333333	0.85899814471243	36729	1	1	1	FALSE	FALSE
Seq39	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	0	0.5139146567718	33211	0.999999999668911	0.999999939997357	0.999999999999998	FALSE	FALSE
Seq40	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	unknown	0	0.473098330241187	34363	0.999885295744876	0.99999947703559	0.999999993361096	FALSE	FALSE
Seq41	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	0	0.445269016697588	26257	0.999999958602984	0.999998049498843	0.999999999998016	FALSE	FALSE
Seq42	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Mannheimia	0	0.276437847866419	31913	0.901575357832045	0.999151104466631	0.994909443237658	FALSE	FALSE
Seq43	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	0	0.703153988868275	33660	0.999999814838993	0.999999999999995	0.999999999999983	FALSE	FALSE
Seq44	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	0	0.332096474953618	30767	0.656966283797006	0.999847238533842	0.932930483270151	FALSE	FALSE
Seq45	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Veillonella	0	0.252319109461967	31198	0.853520839735285	0.998326755396156	0.988478617929486	FALSE	FALSE
Seq46	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	0	0.0871985157699443	30117	0.983077688180871	0.964949265034011	0.998656847009107	FALSE	FALSE
Seq47	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia	0	0.133580705009276	28544	0.99996490385905	0.992302783484538	0.999970030417353	FALSE	FALSE
Seq48	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	0	0.244897959183673	26176	0.945061984927913	0.997952267988728	0.998351153942267	FALSE	FALSE
Seq49	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Rothia	0	0.142857142857143	21848	0.530635450339358	0.994369184565341	0.864986730125227	FALSE	FALSE
Seq50	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	0.0333333333333333	0.62152133580705	21915	0.999926191585817	0.999999999690909	0.999999997276069	FALSE	FALSE
Seq51	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	0	0.36178107606679	19946	0.997928104132443	0.999944663062673	0.999997736078403	FALSE	FALSE
Seq52	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Rothia	0.0333333333333333	0.228200371057514	18723	0.999580334361264	0.988962839108145	0.999934171844764	FALSE	FALSE
Seq53	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	0.333333333333333	0.222634508348794	18119	6.74652866437851e-17	0.118570199801731	3.22912018854643e-16	TRUE	TRUE
Seq54	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	0	0.604823747680891	21963	0.999999999129131	0.999999999876295	1	FALSE	FALSE
Seq55	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	0	0.586270871985158	18239	0.999997010729898	0.99999999947165	0.999999999995531	FALSE	FALSE
Seq56	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	0.0333333333333333	0.50278293135436	17958	0.985563989190456	0.999999290186038	0.999895285565388	FALSE	FALSE
Seq57	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Veillonella	0	0.181818181818182	17134	0.970747206253988	0.989791358057136	0.999222925789797	FALSE	FALSE
Seq58	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	0.0333333333333333	0.667903525046382	17076	0.999999120803935	0.999999999995742	0.999999999999614	FALSE	FALSE
Seq59	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Planobacterium	0	0.133580705009276	13977	0.620103302806123	0.992302783484538	0.914132250595047	FALSE	FALSE
Seq60	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	0	0.49721706864564	17096	0.999986298044397	0.999999849039749	0.999999999904048	FALSE	FALSE
Seq61	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Pasteurella	0	0.0871985157699443	15446	0.608685407986306	0.964949265034011	0.899899416655667	FALSE	FALSE
Seq62	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	0	0.202226345083488	16737	0.999999979725364	0.993809083716183	0.999980796482781	FALSE	FALSE
Seq63	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	0	0.673469387755102	15192	0.999999919048909	0.999999999999827	0.999999999999997	FALSE	FALSE
Seq64	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	0	0.319109461966605	11282	0.999992356546992	0.999767320017258	0.999999971120437	FALSE	FALSE
Seq65	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	0	0.847866419294991	14719	0.999999999975726	1	1	FALSE	FALSE
Seq66	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	0	0.269016697588126	14099	0.847265526383952	0.99895005925256	0.987544376245322	FALSE	FALSE
Seq67	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	0.0333333333333333	0.191094619666048	10767	0.96628820762176	0.973404333591771	0.998199147502595	FALSE	FALSE
Seq68	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	0	0.100185528756957	12432	0.997024884635519	0.976896127286551	0.999658761864426	FALSE	FALSE
Seq69	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	0	0.435992578849722	11841	0.999998513047225	0.999997050182985	0.999999999990158	FALSE	FALSE
Seq70	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Rothia	0	0.0705009276437848	7842	0.999642889003605	0.940599376732143	0.998179145401843	FALSE	FALSE
Seq71	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	0	0.148423005565863	11550	0.860977805438329	0.995339533934227	0.989244614244997	FALSE	FALSE
Seq72	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Mannheimia	0	0.155844155844156	11109	0.537716186117359	0.996385113675819	0.870118936720249	FALSE	FALSE
Seq73	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	0	0.0946196660482375	9344	0.999999993355699	0.97235798265076	0.999614389659658	FALSE	FALSE
Seq74	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	0	0.217068645640074	8014	0.999999933952045	0.995744449393233	0.999990931992178	FALSE	FALSE
Seq75	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella	0	0.098330241187384	9327	0.989390558576256	0.975469962304239	0.999384521594192	FALSE	FALSE
Seq76	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	unknown	0	0.116883116883117	9431	0.999999999993712	0.986597187223901	0.999909778323951	FALSE	FALSE
Seq77	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoanaerobaculum	0.0666666666666667	0.50834879406308	7233	0.999999958166405	0.999996959331958	0.999999999995249	FALSE	FALSE
Seq78	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	0	0.211502782931354	8478	0.99941696526347	0.995096432569984	0.999984936720553	FALSE	FALSE
Seq79	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Veillonella	0	0.148423005565863	8465	0.999997242334815	0.995339533934227	0.999989110291963	FALSE	FALSE
Seq80	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	0.6	0.220779220779221	8718	0.96397335153103	3.25845493623839e-06	4.29413221545237e-05	TRUE	TRUE
Seq81	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Actinobacillus	0.1	0.172541743970315	8275	0.99992667639258	0.782938014483622	0.974510267067953	FALSE	FALSE
Seq82	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	0.0333333333333333	0.23191094619666	7605	0.999999968489782	0.989926693560734	0.999949092710699	FALSE	FALSE
Seq83	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	0	0.564007421150278	8179	0.999999999991128	0.999999997381451	1	FALSE	FALSE
Seq84	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	0	0.0890538033395176	9259	0.99999592032682	0.966963675089528	0.999448057508709	FALSE	FALSE
Seq85	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	0	0.300556586270872	7800	0.999998646822736	0.999585019249115	0.999999913321234	FALSE	FALSE
Seq86	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	0	0.161410018552876	6050	0.999824955169261	0.997016501215144	0.999995008193	FALSE	FALSE
Seq87	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	0	0.0686456400742115	5388	0.983318396842614	0.937049538688247	0.996828227225569	FALSE	FALSE
Seq88	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	0	0.163265306122449	7052	0.971469587932514	0.99720219616026	0.999506602498033	FALSE	FALSE
Seq89	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	0	0.426716141001855	6953	0.999987710555024	0.999995590375098	0.999999999860571	FALSE	FALSE
Seq90	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	0	0.100185528756957	3434	0.5058472012775	0.976896127286551	0.842491492770516	FALSE	FALSE
Seq91	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	0	0.0871985157699443	7554	0.497979842238772	0.964949265034011	0.832690458085967	FALSE	FALSE
Seq92	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	0	0.313543599257885	5483	0.999998820106899	0.999722466403114	0.999999961155878	FALSE	FALSE
Seq93	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Paraprevotella	0	0.0816326530612245	6528	0.96982409427252	0.958167835071759	0.997436325866759	FALSE	FALSE
Seq94	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Oribacterium	0	0.413729128014842	5464	0.999999999935138	0.999992400089111	0.99999999997112	FALSE	FALSE
Seq95	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	unknown	0	0.298701298701299	6839	0.999997346345799	0.999560910817386	0.999999902417778	FALSE	FALSE
Seq96	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	0	0.157699443413729	5820	0.99815073606568	0.996608714891748	0.99998627720477	FALSE	FALSE
Seq97	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	0.0333333333333333	0	7212				FALSE	FALSE
Seq98	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	0	0.294990723562152	5053	0.99223610793841	0.999508768840807	0.99996586392825	FALSE	FALSE
Seq99	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	0	0.131725417439703	5270	0.998184242510305	0.991809372169444	0.999949917754519	FALSE	FALSE
Seq100	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	0	0.24860853432282	4754	0.999999936951638	0.998148248187633	0.999998284331716	FALSE	FALSE
Seq101	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	0	0.526901669758813	5526	0.999999992146838	0.999999971842048	0.999999999999999	FALSE	FALSE
Seq102	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	unknown	0	0.0686456400742115	5436	0.995182031163956	0.937049538688247	0.99767124966358	FALSE	FALSE
Seq103	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	0	0.0593692022263451	3857	0.93231269492158	0.915993698493433	0.988780593497407	FALSE	FALSE
Seq104	Bacteria	Proteobacteria	Gammaproteobacteria	Cardiobacteriales	Cardiobacteriaceae	Cardiobacterium	0	0.283858998144712	3514	0.9999909658942	0.999316059261868	0.999999759841734	FALSE	FALSE
Seq105	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	0	0.345083487940631	4975	0.999999970969927	0.999901093494432	0.999999995105719	FALSE	FALSE
Seq106	Bacteria	SR1	unknown	unknown	unknown	unknown	0	0.207792207792208	4861	0.990524492028726	0.994614721456622	0.999889790117229	FALSE	FALSE
Seq107	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	0	0.0797773654916512	3596	0.781329337307775	0.955637663805938	0.96479551000068	FALSE	FALSE
Seq108	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	0	0.0593692022263451	3621	0.992603465886291	0.915993698493433	0.995748680743612	FALSE	FALSE
Seq109	Bacteria	SR1	unknown	unknown	unknown	unknown	0	0.209647495361781	3905	0.998533517211022	0.994860820147983	0.999978184332068	FALSE	FALSE
Seq110	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	0	0.0630797773654917	4200	0.982761546014276	0.925125960278573	0.995744844423669	FALSE	FALSE
Seq111	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unknown	0	0.217068645640074	3874	0.412538312879275	0.995744449393233	0.776252367460002	FALSE	FALSE
Seq112	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	0	0.0352504638218924	3999	0.767338407459176	0.824372281703489	0.922265687030345	FALSE	FALSE
Seq113	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	0	0.144712430426716	3647	0.990526598472342	0.994712526969893	0.999891261890077	FALSE	FALSE
Seq114	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	0	0.166975881261596	2408	0.999966604895237	0.997540651900228	0.999996890735862	FALSE	FALSE
Seq115	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	0.0333333333333333	0.025974025974026	4581	0.431827046760649	0.372650746932653	0.454897595966927	FALSE	FALSE
Seq116	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	unknown	0	0.012987012987013	3821	0.4931514812644	0.658487715846066	0.689978423594726	FALSE	FALSE
Seq117	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	0	0.109461966604824	3447	0.99988380401802	0.982906438667518	0.999851089699055	FALSE	FALSE
Seq118	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	0	0.165120593692022	3298	0.999993654696796	0.997376695360243	0.99999653947973	FALSE	FALSE
Seq119	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	0.0333333333333333	0.12987012987013	2066	0.585619823245167	0.9464203706095	0.881330371044503	FALSE	FALSE
Seq120	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	0	0.11873840445269	3118	0.99999999983185	0.987391820392445	0.999920180733746	FALSE	FALSE
Seq121	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Kingella	0	0.038961038961039	2904	0.457959439511645	0.84302563797363	0.753508414894177	FALSE	FALSE
Seq122	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia	0	0.64378478664193	3074	0.996470108663562	0.999999999996135	0.999993762590112	FALSE	FALSE
Seq123	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema	0	0.0946196660482375	2804	0.663627899373961	0.97235798265076	0.927960123331303	FALSE	FALSE
Seq124	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Actinobacillus	0	0.051948051948052	3335	0.790540098411626	0.894390895607967	0.952152282987077	FALSE	FALSE
Seq125	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium	0	0.116883116883117	2103	0.999999984900164	0.986597187223901	0.999909778123016	FALSE	FALSE
Seq126	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	0	0.0166975881261596	1829	0.573649649861539	0.694005721305964	0.764785685255952	FALSE	FALSE
Seq127	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Veillonella	0	0.051948051948052	3278	0.582212827224073	0.894390895607967	0.860515910507937	FALSE	FALSE
Seq128	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	0	0.172541743970315	2735	0.999999991998124	0.997975256129788	0.999997948805107	FALSE	FALSE
Seq129	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Solobacterium	0	0.38404452690167	2793	0.999999997916681	0.999975523143999	0.999999999700388	FALSE	FALSE
Seq130	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Streptobacillus	0	0.10760667903525	2587	0.971008426500141	0.981840312181084	0.9988957669	FALSE	FALSE
Seq131	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Peptostreptococcus	0	0.302411873840445	2884	0.999999924704223	0.999607900320889	0.999999923089351	FALSE	FALSE
Seq132	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	0	0.100185528756957	3263	0.696400918223424	0.976896127286551	0.942370495569674	FALSE	FALSE
Seq133	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	unknown	0	0.0333951762523191	2642	0.55310224816065	0.81425936126415	0.809622708762168	FALSE	FALSE
Seq134	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	0	0.196660482374768	3228	0.999497955071871	0.99289239680009	0.99997100015652	FALSE	FALSE
Seq135	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	0	0.0779220779220779	2105	0.454234052800365	0.952959856792212	0.795317103340521	FALSE	FALSE
Seq136	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	0	0.126159554730983	1750	0.581861336049027	0.990138707046481	0.893817105301678	FALSE	FALSE
Seq137	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	0	0.0352504638218924	2387	0.999982601353113	0.824372281703489	0.983583046985735	FALSE	FALSE
Seq138	Bacteria	SR1	unknown	unknown	unknown	unknown	0	0.051948051948052	2278	0.581355635278465	0.894390895607967	0.860015072947328	FALSE	FALSE
Seq139	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	0	0.213358070500928	2622	0.99999996892738	0.995321976246981	0.999989040799605	FALSE	FALSE
Seq140	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	0	0.202226345083488	2472	0.999950368503117	0.993809083716183	0.999980489072523	FALSE	FALSE
