FeatureID	Kingdom	Phylum	Class	Order	Family	Genus	Species	DisplayName
HT_071	Bacteria	Proteobacteria			Proteobacteria	Klebisiella pneumoniae et rel.		Klebisiella pneumoniae et rel.
HT_072	Bacteria	Firmicutes			Clostridium cluster XIVa	Lachnobacillus bovis et rel.		Lachnobacillus bovis et rel.
HT_073	Bacteria	Firmicutes			Clostridium cluster XIVa	Lachnospira pectinoschiza et rel.		Lachnospira pectinoschiza et rel.
HT_074	Bacteria	Firmicutes			Clostridium cluster XVII	Lactobacillus catenaformis et rel.		Lactobacillus catenaformis et rel.
HT_075	Bacteria	Firmicutes			Bacilli	Lactobacillus gasseri et rel.		Lactobacillus gasseri et rel.
HT_076	Bacteria	Firmicutes			Bacilli	Lactobacillus plantarum et rel.		Lactobacillus plantarum et rel.
HT_077	Bacteria	Firmicutes			Bacilli	Lactobacillus salivarius et rel.		Lactobacillus salivarius et rel.
HT_078	Bacteria	Firmicutes			Bacilli	Lactococcus		Lactococcus
HT_079	Bacteria	Proteobacteria			Proteobacteria	Leminorella		Leminorella
HT_080	Bacteria	Firmicutes			Clostridium cluster IX	Megamonas hypermegale et rel.		Megamonas hypermegale et rel.
HT_081	Bacteria	Firmicutes			Clostridium cluster IX	Megasphaera elsdenii et rel.		Megasphaera elsdenii et rel.
HT_082	Bacteria	Proteobacteria			Proteobacteria	Methylobacterium		Methylobacterium
HT_083	Bacteria	Actinobacteria			Actinobacteria	Micrococcaceae		Micrococcaceae
HT_084	Bacteria	Firmicutes			Clostridium cluster IX	Mitsuokella multiacida et rel.		Mitsuokella multiacida et rel.
HT_085	Bacteria	Proteobacteria			Proteobacteria	Moraxellaceae		Moraxellaceae
HT_086	Bacteria	Proteobacteria			Proteobacteria	Novosphingobium		Novosphingobium
HT_087	Bacteria	Proteobacteria			Proteobacteria	Oceanospirillum		Oceanospirillum
HT_088	Bacteria	Firmicutes			Clostridium cluster IV	Oscillospira guillermondii et rel.		Oscillospira guillermondii et rel.
HT_089	Bacteria	Firmicutes			Clostridium cluster XIVa	Outgrouping clostridium cluster XIVa		Outgrouping clostridium cluster XIVa
HT_090	Bacteria	Proteobacteria			Proteobacteria	Oxalobacter formigenes et rel.		Oxalobacter formigenes et rel.
HT_091	Bacteria	Firmicutes			Clostridium cluster IV	Papillibacter cinnamivorans et rel.		Papillibacter cinnamivorans et rel.
HT_092	Bacteria	Bacteroidetes			Bacteroidetes	Parabacteroides distasonis et rel.		Parabacteroides distasonis et rel.
HT_093	Bacteria	Firmicutes			Clostridium cluster IX	Peptococcus niger et rel.		Peptococcus niger et rel.
HT_094	Bacteria	Firmicutes			Clostridium cluster XI	Peptostreptococcus anaerobius et rel.		Peptostreptococcus anaerobius et rel.
HT_095	Bacteria	Firmicutes			Clostridium cluster XIII	Peptostreptococcus micros et rel.		Peptostreptococcus micros et rel.
HT_096	Bacteria	Firmicutes			Clostridium cluster IX	Phascolarctobacterium faecium et rel.		Phascolarctobacterium faecium et rel.
HT_097	Bacteria	Bacteroidetes			Bacteroidetes	Prevotella melaninogenica et rel.		Prevotella melaninogenica et rel.
HT_098	Bacteria	Bacteroidetes			Bacteroidetes	Prevotella oralis et rel.		Prevotella oralis et rel.
HT_099	Bacteria	Bacteroidetes			Bacteroidetes	Prevotella ruminicola et rel.		Prevotella ruminicola et rel.
HT_100	Bacteria	Bacteroidetes			Bacteroidetes	Prevotella tannerae et rel.		Prevotella tannerae et rel.
HT_101	Bacteria	Actinobacteria			Actinobacteria	Propionibacterium		Propionibacterium
HT_102	Bacteria	Proteobacteria			Proteobacteria	Proteus et rel.		Proteus et rel.
HT_103	Bacteria	Proteobacteria			Proteobacteria	Pseudomonas		Pseudomonas
HT_104	Bacteria	Firmicutes			Clostridium cluster XIVa	Roseburia intestinalis et rel.		Roseburia intestinalis et rel.
HT_105	Bacteria	Firmicutes			Clostridium cluster IV	Ruminococcus bromii et rel.		Ruminococcus bromii et rel.
HT_106	Bacteria	Firmicutes			Clostridium cluster IV	Ruminococcus callidus et rel.		Ruminococcus callidus et rel.
HT_107	Bacteria	Firmicutes			Clostridium cluster XIVa	Ruminococcus gnavus et rel.		Ruminococcus gnavus et rel.
HT_108	Bacteria	Firmicutes			Clostridium cluster XIVa	Ruminococcus lactaris et rel.		Ruminococcus lactaris et rel.
HT_109	Bacteria	Firmicutes			Clostridium cluster XIVa	Ruminococcus obeum et rel.		Ruminococcus obeum et rel.
HT_110	Bacteria	Proteobacteria			Proteobacteria	Serratia		Serratia
HT_111	Bacteria	Firmicutes			Clostridium cluster IV	Sporobacter termitidis et rel.		Sporobacter termitidis et rel.
HT_112	Bacteria	Firmicutes			Bacilli	Staphylococcus		Staphylococcus
HT_113	Bacteria	Firmicutes			Bacilli	Streptococcus bovis et rel.		Streptococcus bovis et rel.
HT_114	Bacteria	Firmicutes			Bacilli	Streptococcus intermedius et rel.		Streptococcus intermedius et rel.
HT_115	Bacteria	Firmicutes			Bacilli	Streptococcus mitis et rel.		Streptococcus mitis et rel.
HT_116	Bacteria	Firmicutes			Clostridium cluster IV	Subdoligranulum variable at rel.		Subdoligranulum variable at rel.
HT_117	Bacteria	Proteobacteria			Proteobacteria	Sutterella wadsworthia et rel.		Sutterella wadsworthia et rel.
HT_118	Bacteria	Bacteroidetes			Bacteroidetes	Tannerella et rel.		Tannerella et rel.
HT_119	Bacteria	Bacteroidetes			Bacteroidetes	Uncultured Bacteroidetes		Uncultured Bacteroidetes
HT_120	Bacteria	Cyanobacteria			Cyanobacteria	Uncultured Chroococcales		Uncultured Chroococcales
HT_121	Bacteria	Firmicutes			Uncultured Clostridiales	Uncultured Clostridiales I		Uncultured Clostridiales I
HT_122	Bacteria	Firmicutes			Uncultured Clostridiales	Uncultured Clostridiales II		Uncultured Clostridiales II
HT_123	Bacteria	Firmicutes			Uncultured Mollicutes	Uncultured Mollicutes		Uncultured Mollicutes
HT_124	Bacteria	Firmicutes			Clostridium cluster IX	Uncultured Selenomonadaceae		Uncultured Selenomonadaceae
HT_125	Bacteria	Firmicutes			Clostridium cluster IX	Veillonella		Veillonella
HT_126	Bacteria	Proteobacteria			Proteobacteria	Vibrio		Vibrio
HT_127	Bacteria	Firmicutes			Bacilli	Weissella et rel.		Weissella et rel.
HT_128	Bacteria	Firmicutes			Bacilli	Wissella et rel.		Wissella et rel.
HT_129	Bacteria	Proteobacteria			Proteobacteria	Xanthomonadaceae		Xanthomonadaceae
HT_130	Bacteria	Proteobacteria			Proteobacteria	Yersinia et rel.		Yersinia et rel.
