SampleID	Latitude	Longitude	Altitude	Temperature	Precipitation	TOC	NH4	NO3	pH	Conductivity	TN
S65	40.9261	121.8287	0	9.3	619	0.91	6.917016	2.1	8.7	230	0.03
S85	37.7633833333333	119.152416666667	0	12.2	585	1.76	18.371613	3.06	8.25	1659	0.06
S86	37.7659166666667	119.15195	2	12.2	585	3.06	16.834416	1.05	8.6	531	0.09
S87	37.7633833333333	119.152083333333	0	12.2	585	5.04	22.636095	0.81	8.15	1912	0.09
S88	37.7634333333333	119.1519	0	12.2	585	3.37	34.322098	0	8.3	2720	0.12
S89	37.7637666666667	119.151283333333	0	12.2	585	2.75	28.900586	0	8.5	1931	0.08
S112	31.514752	121.963047	0	15.8	1022	1.51	19.90881	6.69	7.98	2710	0.06
S113	31.514752	121.963047	0	15.8	1022	1.28	4.503782	6.69	7.5	2040	0.05
S114	31.514752	121.963047	0	15.8	1022	1.47	5.36329	2.74	7.79	3350	0.06
S161	23.9256666666667	117.416816666667	8	21.3	1251	2.11	11.464364	0.72	6.84	3310	0.08
S162	23.9256833333333	117.416133333333	13	21.3	1251	2.87	19.22974	0.93	6.81	4160	0.1
S164	23.9251	117.414566666667	14	21.3	1251	3.66	17.789388	1.86	7.41	1547	0.12
S165	23.9250666666667	117.414483333333	13	21.3	1251	4.04	48.240308	0	7.23	2150	0.14
S166	23.9249166666667	117.414016666667	8	21.3	1251	3.69	11.902732	0	7.25	2290	0.12
S167	22.4308	113.629883333333	14	22.6	1766	8.91	20.216068	0	7.39	447	0.26
S168	22.4376833333333	113.634366666667	16	22.6	1766	3.62	21.766012	0.43	7.14	342	0.14
S169	22.43745	113.635016666667	24	22.6	1766	3.17	22.063476	0.43	7.17	528	0.12
S170	20.929	110.16635	4	23.7	1269	1.12	9.67958	0.36	7.41	3120	0.03
S171	20.9287666666667	110.16555	3	23.7	1269	1.56	14.658188	0	7.88	3060	0.06
S172	20.9286	110.164	13	23.7	1269	2.96	22.83062	0	7.7	5530	0.11
S173	20.92845	110.163816666667	6	23.7	1269	1.9	8.787188	0.72	7.56	2630	0.07
S174	20.9284333333333	110.1636	6	23.7	1269	2.48	8.755876	0	7.81	5220	0.08
S175	20.9283833333333	110.1632	8	23.7	1269	2.37	5.38	0	7.67	3390	0.06
S176	19.9506166666667	110.57645	12	24.1	1674	13.04	12.3411	0	6.82	3830	0.22
S177	19.9503166666667	110.57605	20	24.1	1674	24.55	51.630348	0	6.61	10800	0.46
S179	19.6250833333333	110.765266666667	8	24.4	1837	5.25	14.736468	0.72	6.08	141.2	0.16
S182	19.6250833333333	110.765266666667	8	24.4	1837	6.83	19.088836	0.72	5.55	225	0.21
S183	19.1928	110.377083333333	16	24.7	1872	3.4	8.787188	0.86	5.83	24	0.12
S185	19.19215	110.376816666667	15	24.7	1872	8.28	9.460396	1.29	6.23	17.4	0.1
S186	19.19215	110.376716666667	13	24.7	1872	3.13	19.292364	0	5.47	29.7	0.11
S187	37.2988333333333	96.8614333333333	2812	4.4	137	8.64	40.318372	0	8.25	1004	0.31
S188	37.2975833333333	96.8612333333333	2813	4.4	137	9.97	33.755	1.43	8.16	1725	0.44
S191	37.2863	96.8604166666667	2821	4.4	137	9.32	42.056188	0.72	7.62	1394	0.41
S194	36.9768333333333	99.89115	3192	0.8	308	4.53	11.840108	0	9.56	4070	0.17
S196	36.9764	99.8898	3196	0.8	308	6.8	9.022028	0	9.92	1657	0.21
S197	37.0311	99.7496166666667	3205	0.7	290	2.31	6.125668	0.36	8.85	80.4	0.06
S198	37.031	99.74955	3201	0.7	290	2.88	6.924124	0.36	8.78	94.4	0.06
S201	36.8927	101.012133333333	2990	2.1	401	7.62	42.075	0.99	8.01	300	0.25
S202	36.8883166666667	101.015716666667	2987	2.1	401	4.99	18.55	0	8.19	130.1	0.17
S203	36.8795666666667	101.020016666667	2987	2.1	401	3.4	11.66	0	8.21	429	0.1
S204	36.8786166666667	101.019816666667	2986	2.1	401	2.63	10.985	0	9.21	299	0.1
S205	36.4259	94.8597666666667	2805	4.9	39	0.93	5.1267295	2.96	8.56	807	0.04
S206	36.4238	94.8621333333333	2802	4.9	39	1.59	9.0560755	1.4	9.18	86.1	0.05
S207	36.4218166666667	94.8628333333333	2808	4.9	39	0.87	31.2838465	1.56	9.06	109.5	0.03
S208	36.4222333333333	94.8664166666667	2796	4.9	39	1.23	45.903325	1.4	9.08	145.6	0.04
S209	36.42095	94.8703666666667	2799	4.9	39	0.73	7.57294	0.41	8.86	140.4	0.02
S210	33.9163	102.8131	3428	1.6	648	16	26.779826	0.53	8.29	159.5	0.45
S213	33.9189833333333	102.812083333333	3432	1.6	648	22.57	10.060844	0	8.37	243	0.81
S214	33.9338	102.867233333333	3440	1.4	651	19.05	3.0079645	6.91	8.02	182.8	0.54
S215	32.3087833333333	91.7323	4724	-3.5	359	10.19	25.29352	11.76	8.25	191.5	0.3
S216	32.3085666666667	91.7323	4724	-3.5	359	9.82	37.6786645	3.21	7.9	321	0.3
S217	32.3092666666667	91.732	4728	-3.5	359	6.59	8.2085695	0	8.15	182.1	0.23
S218	31.60555	99.9951666666667	3352	6.5	635	0.84	12.118654	0.41	8.77	53.1	0.05
S219	31.60605	99.9963166666667	3348	6.5	635	1.86	11.2518865	0.58	8.76	84.6	0.09
S220	31.6026833333333	100.002	3338	6.7	637	6.05	49.254826	0	8.1	199.1	0.23
S221	31.6020833333333	100.003266666667	3337	6.7	637	4.49	41.973979	0.58	8.05	180.2	0.18
S222	31.6019	100.004983333333	3345	6.7	637	2.97	10.962964	0.82	8.41	96.4	0.11
S223	31.6028333333333	100.002816666667	3339	6.7	637	9.32	46.4619085	0	7.81	360	0.32
S224	31.6030333333333	100.0022	3340	6.7	637	9.95	108.063356	0.16	7.67	443	0.39
S225	31.2776	92.10165	4436	-0.5	409	6.62	24.0800455	4.85	7.73	207	0.24
S226	31.2782	92.10085	4445	-0.5	409	8.81	10.8666565	1.32	8.05	201	0.33
S228	31.27925	92.1003333333333	4445	-0.5	409	6.77	31.919476	1.07	8.05	129.4	0.23
S233	30.47755	91.0993333333333	4269	2.4	344	26.86	61.851847	2.55	7.67	387	0.71
S236	29.6673833333333	91.1000666666667	3647	7.1	413	5.31	27.566377	0	7.75	129.6	0.14
S238	29.4041166666667	100.104	4426	0.9	691	13.89	19.592116	1.73	5.17	51.1	0.4
S239	29.4040333333333	100.102033333333	4425	0.9	691	13.44	19.746208	1.48	5.51	19.6	0.52
S240	29.4044333333333	100.103533333333	4423	0.9	691	13.94	26.3529025	2.79	5.7	11.8	0.33
S241	29.404	100.102933333333	4421	0.9	691	23.48	39.916169	0.95	5.08	48.7	0.69
S242	29.4046333333333	100.10375	4424	0.9	691	6.8	8.767153	1.81	5.75	9.9	0.25
S243	29.4047166666667	100.103766666667	4426	0.9	691	13.02	21.864973	2.22	5.7	14	0.47
S244	29.1874166666667	90.58605	4447	2.2	264	6.41	6.3209425	2.3	8.2	1050	0.23
S245	29.1877166666667	90.5840166666667	4443	2.2	264	4.28	3.990301	1.15	8.25	1021	0.11
S246	29.187	90.5707	4449	2.2	264	2.83	12.465361	1.89	8.63	843	0.12
S247	29.1869833333333	90.5710833333333	4450	2.2	264	2.07	10.65478	0	8.17	1122	0.1
S249	27.7006166666667	100.8602	2694	11.4	910	8.87	6.841003	2.88	5.73	137.3	0.34
S250	27.7006333333333	100.860233333333	2690	11.4	910	9.47	10.6355185	0	6.14	77.1	0.35
S252	27.7005	100.86005	2695	11.4	910	7.3	21.518266	0.33	6.12	43	0.32
