Taxon	SampleID	RelativeAbundance	Percent	GroupCode	Group	Type	SampleOrder
Bacteroidetes	S3	0.02694074593163591	2.6940745931635908	IW	Inland wetland	Northeast	3
Acidobacteria	S3	0.24885151444366582	24.88515144436658	IW	Inland wetland	Northeast	3
Actinobacteria	S3	0.08837499026707156	8.837499026707157	IW	Inland wetland	Northeast	3
Firmicutes	S3	0.018297905473798958	1.8297905473798959	IW	Inland wetland	Northeast	3
Verrucomicrobia	S3	0.12302421552596746	12.302421552596746	IW	Inland wetland	Northeast	3
Planctomycetes	S3	0.041423343455578916	4.142334345557892	IW	Inland wetland	Northeast	3
Gemmatimonadetes	S3	0.021412442575722182	2.141244257572218	IW	Inland wetland	Northeast	3
Nitrospirae	S3	0.022035349996106828	2.203534999610683	IW	Inland wetland	Northeast	3
Other known phyla	S3	0.02958810246827066	2.958810246827066	IW	Inland wetland	Northeast	3
Unknown phylum	S3	0.0031145371019232265	0.31145371019232265	IW	Inland wetland	Northeast	3
Proteobacteria	S4	0.25670180722891567	25.670180722891565	IW	Inland wetland	Northeast	4
Chloroflexi	S4	0.14909638554216867	14.909638554216867	IW	Inland wetland	Northeast	4
Bacteroidetes	S4	0.022439759036144577	2.2439759036144578	IW	Inland wetland	Northeast	4
Acidobacteria	S4	0.26385542168674697	26.385542168674696	IW	Inland wetland	Northeast	4
Actinobacteria	S4	0.08832831325301205	8.832831325301205	IW	Inland wetland	Northeast	4
Firmicutes	S4	0.01588855421686747	1.5888554216867472	IW	Inland wetland	Northeast	4
Verrucomicrobia	S4	0.09412650602409639	9.41265060240964	IW	Inland wetland	Northeast	4
Planctomycetes	S4	0.035542168674698796	3.5542168674698797	IW	Inland wetland	Northeast	4
Gemmatimonadetes	S4	0.023343373493975902	2.33433734939759	IW	Inland wetland	Northeast	4
Nitrospirae	S4	0.017846385542168674	1.7846385542168675	IW	Inland wetland	Northeast	4
Other known phyla	S4	0.031099397590361448	3.109939759036145	IW	Inland wetland	Northeast	4
Unknown phylum	S4	0.0017319277108433734	0.17319277108433734	IW	Inland wetland	Northeast	4
Proteobacteria	S5	0.16785714285714284	16.785714285714285	IW	Inland wetland	Northeast	5
Chloroflexi	S5	0.3111678004535147	31.116780045351472	IW	Inland wetland	Northeast	5
Bacteroidetes	S5	0.028514739229024942	2.8514739229024944	IW	Inland wetland	Northeast	5
Acidobacteria	S5	0.24557823129251702	24.5578231292517	IW	Inland wetland	Northeast	5
Actinobacteria	S5	0.07942176870748299	7.942176870748299	IW	Inland wetland	Northeast	5
Firmicutes	S5	0.014229024943310657	1.4229024943310657	IW	Inland wetland	Northeast	5
Verrucomicrobia	S5	0.043310657596371885	4.331065759637188	IW	Inland wetland	Northeast	5
Planctomycetes	S5	0.014569160997732426	1.4569160997732427	IW	Inland wetland	Northeast	5
Gemmatimonadetes	S5	0.03803854875283447	3.803854875283447	IW	Inland wetland	Northeast	5
Nitrospirae	S5	0.014058956916099773	1.4058956916099774	IW	Inland wetland	Northeast	5
Other known phyla	S5	0.04070294784580498	4.070294784580498	IW	Inland wetland	Northeast	5
Unknown phylum	S5	0.002551020408163265	0.25510204081632654	IW	Inland wetland	Northeast	5
Proteobacteria	S6	0.15911209766925638	15.911209766925637	IW	Inland wetland	Northeast	6
Chloroflexi	S6	0.32816870144284127	32.816870144284124	IW	Inland wetland	Northeast	6
Bacteroidetes	S6	0.04044395116537181	4.044395116537181	IW	Inland wetland	Northeast	6
Acidobacteria	S6	0.24337402885682574	24.337402885682575	IW	Inland wetland	Northeast	6
Actinobacteria	S6	0.0565149833518313	5.651498335183129	IW	Inland wetland	Northeast	6
Firmicutes	S6	0.007680355160932298	0.7680355160932297	IW	Inland wetland	Northeast	6
Verrucomicrobia	S6	0.04328523862375139	4.328523862375139	IW	Inland wetland	Northeast	6
Planctomycetes	S6	0.023307436182019976	2.3307436182019976	IW	Inland wetland	Northeast	6
Gemmatimonadetes	S6	0.020288568257491677	2.028856825749168	IW	Inland wetland	Northeast	6
Nitrospirae	S6	0.013362930077691454	1.3362930077691455	IW	Inland wetland	Northeast	6
Other known phyla	S6	0.06241953385127635	6.241953385127634	IW	Inland wetland	Northeast	6
Unknown phylum	S6	0.0020421753607103217	0.20421753607103216	IW	Inland wetland	Northeast	6
Proteobacteria	S7	0.21986183074265975	21.986183074265973	IW	Inland wetland	Northeast	7
Chloroflexi	S7	0.18382268278641337	18.382268278641337	IW	Inland wetland	Northeast	7
Bacteroidetes	S7	0.05002878526194588	5.002878526194588	IW	Inland wetland	Northeast	7
Acidobacteria	S7	0.2551525618883132	25.51525618883132	IW	Inland wetland	Northeast	7
Actinobacteria	S7	0.1075993091537133	10.75993091537133	IW	Inland wetland	Northeast	7
Firmicutes	S7	0.010592976396085205	1.0592976396085205	IW	Inland wetland	Northeast	7
Verrucomicrobia	S7	0.04145077720207254	4.145077720207254	IW	Inland wetland	Northeast	7
Planctomycetes	S7	0.01623488773747841	1.6234887737478412	IW	Inland wetland	Northeast	7
Gemmatimonadetes	S7	0.025734024179620035	2.5734024179620034	IW	Inland wetland	Northeast	7
Nitrospirae	S7	0.025964306275187105	2.5964306275187106	IW	Inland wetland	Northeast	7
Other known phyla	S7	0.0604490500863558	6.04490500863558	IW	Inland wetland	Northeast	7
Unknown phylum	S7	0.0031088082901554403	0.31088082901554404	IW	Inland wetland	Northeast	7
Proteobacteria	S9	0.2787112077485669	27.87112077485669	IW	Inland wetland	Northeast	8
Chloroflexi	S9	0.13552085392370034	13.552085392370033	IW	Inland wetland	Northeast	8
Bacteroidetes	S9	0.09025499110496145	9.025499110496146	IW	Inland wetland	Northeast	8
Acidobacteria	S9	0.1808262502470844	18.08262502470844	IW	Inland wetland	Northeast	8
Actinobacteria	S9	0.12421427159517691	12.421427159517691	IW	Inland wetland	Northeast	8
Firmicutes	S9	0.014152994662976873	1.4152994662976874	IW	Inland wetland	Northeast	8
Verrucomicrobia	S9	0.06270013836726626	6.270013836726626	IW	Inland wetland	Northeast	8
Planctomycetes	S9	0.025459576991500296	2.5459576991500295	IW	Inland wetland	Northeast	8
Gemmatimonadetes	S9	0.02838505633524412	2.838505633524412	IW	Inland wetland	Northeast	8
Nitrospirae	S9	0.013599525597944258	1.3599525597944258	IW	Inland wetland	Northeast	8
Other known phyla	S9	0.0440007906700929	4.40007906700929	IW	Inland wetland	Northeast	8
Unknown phylum	S9	0.002174342755485274	0.21743427554852737	IW	Inland wetland	Northeast	8
Proteobacteria	S10	0.14050262636429403	14.050262636429403	IW	Inland wetland	Northeast	9
Chloroflexi	S10	0.2716006668134495	27.16006668134495	IW	Inland wetland	Northeast	9
Bacteroidetes	S10	0.10750794199981129	10.75079419998113	IW	Inland wetland	Northeast	9
Acidobacteria	S10	0.20013839524423616	20.013839524423616	IW	Inland wetland	Northeast	9
Actinobacteria	S10	0.06133425596829491	6.133425596829491	IW	Inland wetland	Northeast	9
Firmicutes	S10	0.009090051269147296	0.9090051269147297	IW	Inland wetland	Northeast	9
Verrucomicrobia	S10	0.09288208096121787	9.288208096121787	IW	Inland wetland	Northeast	9
Planctomycetes	S10	0.014405686786399523	1.4405686786399523	IW	Inland wetland	Northeast	9
Gemmatimonadetes	S10	0.016167080803950556	1.6167080803950555	IW	Inland wetland	Northeast	9
Nitrospirae	S10	0.007580284968389268	0.7580284968389268	IW	Inland wetland	Northeast	9
Other known phyla	S10	0.07369546755575124	7.369546755575124	IW	Inland wetland	Northeast	9
Unknown phylum	S10	0.005095461265058346	0.5095461265058345	IW	Inland wetland	Northeast	9
Proteobacteria	S11	0.23758059564015965	23.758059564015966	IW	Inland wetland	Northeast	10
Chloroflexi	S11	0.15363831747006448	15.363831747006449	IW	Inland wetland	Northeast	10
Bacteroidetes	S11	0.18335891925084433	18.335891925084432	IW	Inland wetland	Northeast	10
Acidobacteria	S11	0.19533312864599325	19.533312864599324	IW	Inland wetland	Northeast	10
Actinobacteria	S11	0.08989867976665643	8.989867976665643	IW	Inland wetland	Northeast	10
Firmicutes	S11	0.012833896223518576	1.2833896223518577	IW	Inland wetland	Northeast	10
Verrucomicrobia	S11	0.03770340804421247	3.770340804421247	IW	Inland wetland	Northeast	10
Planctomycetes	S11	0.0092109303039607	0.9210930303960699	IW	Inland wetland	Northeast	10
Gemmatimonadetes	S11	0.02394841879029782	2.394841879029782	IW	Inland wetland	Northeast	10
Nitrospirae	S11	0.010439054344488793	1.0439054344488794	IW	Inland wetland	Northeast	10
Other known phyla	S11	0.043782622044826525	4.3782622044826525	IW	Inland wetland	Northeast	10
Unknown phylum	S11	0.0022720294749769727	0.22720294749769726	IW	Inland wetland	Northeast	10
Proteobacteria	S12	0.21305751942044165	21.305751942044164	IW	Inland wetland	Northeast	11
Chloroflexi	S12	0.19813214628611328	19.813214628611327	IW	Inland wetland	Northeast	11
Bacteroidetes	S12	0.1544907043728725	15.449070437287249	IW	Inland wetland	Northeast	11
Acidobacteria	S12	0.1980448634022868	19.80448634022868	IW	Inland wetland	Northeast	11
Actinobacteria	S12	0.07776904948939513	7.776904948939513	IW	Inland wetland	Northeast	11
Firmicutes	S12	0.01501265601815484	1.501265601815484	IW	Inland wetland	Northeast	11
Verrucomicrobia	S12	0.043292310377934885	4.329231037793488	IW	Inland wetland	Northeast	11
Planctomycetes	S12	0.01021209740769835	1.021209740769835	IW	Inland wetland	Northeast	11
Gemmatimonadetes	S12	0.017892991184428733	1.7892991184428733	IW	Inland wetland	Northeast	11
Nitrospirae	S12	0.008553722614995199	0.8553722614995198	IW	Inland wetland	Northeast	11
Other known phyla	S12	0.059963341188792874	5.996334118879288	IW	Inland wetland	Northeast	11
Unknown phylum	S12	0.003578598236885747	0.35785982368857466	IW	Inland wetland	Northeast	11
Proteobacteria	S13	0.2097938144329897	20.97938144329897	IW	Inland wetland	Northeast	12
Chloroflexi	S13	0.18298969072164947	18.298969072164947	IW	Inland wetland	Northeast	12
Bacteroidetes	S13	0.11472754050073637	11.472754050073638	IW	Inland wetland	Northeast	12
Acidobacteria	S13	0.23033873343151692	23.033873343151694	IW	Inland wetland	Northeast	12
Actinobacteria	S13	0.07731958762886598	7.731958762886598	IW	Inland wetland	Northeast	12
Firmicutes	S13	0.014138438880706922	1.4138438880706923	IW	Inland wetland	Northeast	12
Verrucomicrobia	S13	0.05861561119293078	5.861561119293078	IW	Inland wetland	Northeast	12
Planctomycetes	S13	0.01207658321060383	1.207658321060383	IW	Inland wetland	Northeast	12
Gemmatimonadetes	S13	0.027540500736377024	2.7540500736377025	IW	Inland wetland	Northeast	12
Nitrospirae	S13	0.008836524300441826	0.8836524300441826	IW	Inland wetland	Northeast	12
Other known phyla	S13	0.060456553755522814	6.045655375552282	IW	Inland wetland	Northeast	12
Unknown phylum	S13	0.003166421207658321	0.3166421207658321	IW	Inland wetland	Northeast	12
Proteobacteria	S15	0.2738209355828221	27.38209355828221	IW	Inland wetland	Northwest	25
Chloroflexi	S15	0.1055885736196319	10.55885736196319	IW	Inland wetland	Northwest	25
Bacteroidetes	S15	0.09375	9.375	IW	Inland wetland	Northwest	25
Acidobacteria	S15	0.11991947852760736	11.991947852760736	IW	Inland wetland	Northwest	25
Actinobacteria	S15	0.09307898773006135	9.307898773006135	IW	Inland wetland	Northwest	25
Firmicutes	S15	0.0853144171779141	8.53144171779141	IW	Inland wetland	Northwest	25
Verrucomicrobia	S15	0.055166794478527605	5.51667944785276	IW	Inland wetland	Northwest	25
Planctomycetes	S15	0.06858703987730061	6.858703987730061	IW	Inland wetland	Northwest	25
Gemmatimonadetes	S15	0.060391104294478526	6.039110429447852	IW	Inland wetland	Northwest	25
Nitrospirae	S15	0.004457438650306749	0.44574386503067487	IW	Inland wetland	Northwest	25
Other known phyla	S15	0.03743289877300615	3.743289877300615	IW	Inland wetland	Northwest	25
Unknown phylum	S15	0.002492331288343558	0.24923312883435583	IW	Inland wetland	Northwest	25
Proteobacteria	S16	0.21317775293460034	21.317775293460034	IW	Inland wetland	Northwest	26
Chloroflexi	S16	0.1524594745667971	15.245947456679708	IW	Inland wetland	Northwest	26
Bacteroidetes	S16	0.07937395192845165	7.937395192845164	IW	Inland wetland	Northwest	26
Acidobacteria	S16	0.14707937395192844	14.707937395192843	IW	Inland wetland	Northwest	26
Actinobacteria	S16	0.09488541084404695	9.488541084404694	IW	Inland wetland	Northwest	26
Firmicutes	S16	0.08063163778647289	8.06316377864729	IW	Inland wetland	Northwest	26
Verrucomicrobia	S16	0.0451369480156512	4.51369480156512	IW	Inland wetland	Northwest	26
Planctomycetes	S16	0.065539407490218	6.5539407490218	IW	Inland wetland	Northwest	26
Gemmatimonadetes	S16	0.049189491335941866	4.918949133594187	IW	Inland wetland	Northwest	26
Nitrospirae	S16	0.008873672442705422	0.8873672442705421	IW	Inland wetland	Northwest	26
Other known phyla	S16	0.05897149245388486	5.897149245388486	IW	Inland wetland	Northwest	26
Unknown phylum	S16	0.004681386249301285	0.46813862493012853	IW	Inland wetland	Northwest	26
Proteobacteria	S17	0.22190324295587455	22.190324295587455	IW	Inland wetland	Northwest	27
Chloroflexi	S17	0.12270069112174375	12.270069112174376	IW	Inland wetland	Northwest	27
Bacteroidetes	S17	0.14768740031897926	14.768740031897925	IW	Inland wetland	Northwest	27
Acidobacteria	S17	0.06992734361155414	6.9927343611554145	IW	Inland wetland	Northwest	27
Actinobacteria	S17	0.0963317384370016	9.63317384370016	IW	Inland wetland	Northwest	27
Firmicutes	S17	0.08396243133085238	8.396243133085237	IW	Inland wetland	Northwest	27
Verrucomicrobia	S17	0.03349282296650718	3.349282296650718	IW	Inland wetland	Northwest	27
Planctomycetes	S17	0.06198830409356725	6.1988304093567255	IW	Inland wetland	Northwest	27
Gemmatimonadetes	S17	0.1011873117136275	10.11873117136275	IW	Inland wetland	Northwest	27
Nitrospirae	S17	0.0037923090554669503	0.37923090554669503	IW	Inland wetland	Northwest	27
Other known phyla	S17	0.053765727449937975	5.376572744993798	IW	Inland wetland	Northwest	27
Unknown phylum	S17	0.0032606769448874713	0.3260676944887471	IW	Inland wetland	Northwest	27
Proteobacteria	S18	0.2504920379316515	25.049203793165148	IW	Inland wetland	Northwest	28
Chloroflexi	S18	0.2098049740561818	20.980497405618177	IW	Inland wetland	Northwest	28
Bacteroidetes	S18	0.05059939166219359	5.059939166219359	IW	Inland wetland	Northwest	28
Acidobacteria	S18	0.12860976918947933	12.860976918947934	IW	Inland wetland	Northwest	28
Actinobacteria	S18	0.16027911969940956	16.027911969940956	IW	Inland wetland	Northwest	28
Firmicutes	S18	0.04326355340848095	4.326355340848095	IW	Inland wetland	Northwest	28
Verrucomicrobia	S18	0.021256038647342997	2.1256038647342996	IW	Inland wetland	Northwest	28
Planctomycetes	S18	0.044444444444444446	4.444444444444445	IW	Inland wetland	Northwest	28
Gemmatimonadetes	S18	0.03635713007693684	3.635713007693684	IW	Inland wetland	Northwest	28
Nitrospirae	S18	0.003721595992127393	0.37215959921273933	IW	Inland wetland	Northwest	28
Other known phyla	S18	0.04297727679370192	4.297727679370192	IW	Inland wetland	Northwest	28
Unknown phylum	S18	0.00819466809804974	0.8194668098049741	IW	Inland wetland	Northwest	28
Proteobacteria	S19	0.2564993564993565	25.64993564993565	IW	Inland wetland	Northwest	29
Chloroflexi	S19	0.16332046332046332	16.332046332046332	IW	Inland wetland	Northwest	29
Bacteroidetes	S19	0.06885456885456885	6.885456885456885	IW	Inland wetland	Northwest	29
Acidobacteria	S19	0.13474903474903474	13.474903474903474	IW	Inland wetland	Northwest	29
Actinobacteria	S19	0.1120978120978121	11.209781209781209	IW	Inland wetland	Northwest	29
Firmicutes	S19	0.08146718146718147	8.146718146718147	IW	Inland wetland	Northwest	29
Verrucomicrobia	S19	0.03474903474903475	3.474903474903475	IW	Inland wetland	Northwest	29
Planctomycetes	S19	0.07226512226512226	7.2265122265122255	IW	Inland wetland	Northwest	29
Gemmatimonadetes	S19	0.022072072072072072	2.2072072072072073	IW	Inland wetland	Northwest	29
Nitrospirae	S19	0.00444015444015444	0.44401544401544396	IW	Inland wetland	Northwest	29
Other known phyla	S19	0.04330759330759331	4.330759330759331	IW	Inland wetland	Northwest	29
Unknown phylum	S19	0.006177606177606178	0.6177606177606177	IW	Inland wetland	Northwest	29
Proteobacteria	S20	0.24595224228305185	24.595224228305185	IW	Inland wetland	Northwest	30
Chloroflexi	S20	0.18048922539312756	18.048922539312755	IW	Inland wetland	Northwest	30
Bacteroidetes	S20	0.07157833430401864	7.157833430401864	IW	Inland wetland	Northwest	30
Acidobacteria	S20	0.1128130460104834	11.28130460104834	IW	Inland wetland	Northwest	30
Actinobacteria	S20	0.10856144437973209	10.856144437973208	IW	Inland wetland	Northwest	30
Firmicutes	S20	0.12917880023296446	12.917880023296446	IW	Inland wetland	Northwest	30
Verrucomicrobia	S20	0.017705299941758883	1.7705299941758883	IW	Inland wetland	Northwest	30
Planctomycetes	S20	0.03558532323820617	3.558532323820617	IW	Inland wetland	Northwest	30
Gemmatimonadetes	S20	0.042690739662201514	4.269073966220152	IW	Inland wetland	Northwest	30
Nitrospirae	S20	0.009202096680256261	0.9202096680256261	IW	Inland wetland	Northwest	30
Other known phyla	S20	0.041467676179382636	4.146767617938264	IW	Inland wetland	Northwest	30
Unknown phylum	S20	0.00477577169481654	0.477577169481654	IW	Inland wetland	Northwest	30
Proteobacteria	S22	0.20816833962611658	20.816833962611657	IW	Inland wetland	Northeast	13
Chloroflexi	S22	0.18841513951560918	18.841513951560916	IW	Inland wetland	Northeast	13
Bacteroidetes	S22	0.016207753936826594	1.6207753936826594	IW	Inland wetland	Northeast	13
Acidobacteria	S22	0.23330877613039874	23.330877613039874	IW	Inland wetland	Northeast	13
Actinobacteria	S22	0.07431623538079013	7.4316235380790125	IW	Inland wetland	Northeast	13
Firmicutes	S22	0.017450962335389997	1.7450962335389997	IW	Inland wetland	Northeast	13
Verrucomicrobia	S22	0.13564784970991803	13.564784970991802	IW	Inland wetland	Northeast	13
Planctomycetes	S22	0.044847591859287224	4.484759185928723	IW	Inland wetland	Northeast	13
Gemmatimonadetes	S22	0.019430886821990977	1.9430886821990976	IW	Inland wetland	Northeast	13
Nitrospirae	S22	0.023160512017681188	2.316051201768119	IW	Inland wetland	Northeast	13
Other known phyla	S22	0.03651349111336219	3.651349111336219	IW	Inland wetland	Northeast	13
Unknown phylum	S22	0.0025324615526291557	0.25324615526291555	IW	Inland wetland	Northeast	13
Proteobacteria	S23	0.24658780709736125	24.658780709736124	IW	Inland wetland	Northeast	14
Chloroflexi	S23	0.1586290567182287	15.862905671822869	IW	Inland wetland	Northeast	14
Bacteroidetes	S23	0.020806794055201697	2.08067940552017	IW	Inland wetland	Northeast	14
Acidobacteria	S23	0.23554746739460114	23.554746739460114	IW	Inland wetland	Northeast	14
Actinobacteria	S23	0.10185016681831968	10.185016681831968	IW	Inland wetland	Northeast	14
Firmicutes	S23	0.017227782832878374	1.7227782832878376	IW	Inland wetland	Northeast	14
Verrucomicrobia	S23	0.10767364270548983	10.767364270548983	IW	Inland wetland	Northeast	14
Planctomycetes	S23	0.04143160448892933	4.1431604488929334	IW	Inland wetland	Northeast	14
Gemmatimonadetes	S23	0.020503488019411587	2.050348801941159	IW	Inland wetland	Northeast	14
Nitrospirae	S23	0.01959356991204125	1.9593569912041249	IW	Inland wetland	Northeast	14
Other known phyla	S23	0.026144980285107675	2.6144980285107677	IW	Inland wetland	Northeast	14
Unknown phylum	S23	0.004003639672429482	0.40036396724294815	IW	Inland wetland	Northeast	14
Proteobacteria	S24	0.18084328540092615	18.084328540092613	IW	Inland wetland	Northeast	15
Chloroflexi	S24	0.15216508245998864	15.216508245998863	IW	Inland wetland	Northeast	15
Bacteroidetes	S24	0.021935169388252497	2.19351693882525	IW	Inland wetland	Northeast	15
Acidobacteria	S24	0.2486798277682996	24.86798277682996	IW	Inland wetland	Northeast	15
Actinobacteria	S24	0.07262978308554716	7.2629783085547155	IW	Inland wetland	Northeast	15
Firmicutes	S24	0.016410756357137055	1.6410756357137055	IW	Inland wetland	Northeast	15
Verrucomicrobia	S24	0.17044439028353237	17.044439028353235	IW	Inland wetland	Northeast	15
Planctomycetes	S24	0.04224551141441222	4.224551141441222	IW	Inland wetland	Northeast	15
Gemmatimonadetes	S24	0.022016410756357137	2.2016410756357137	IW	Inland wetland	Northeast	15
Nitrospirae	S24	0.031684133560809166	3.1684133560809165	IW	Inland wetland	Northeast	15
Other known phyla	S24	0.038427167113494184	3.8427167113494183	IW	Inland wetland	Northeast	15
Unknown phylum	S24	0.0025184824112438053	0.25184824112438053	IW	Inland wetland	Northeast	15
Proteobacteria	S25	0.15716808476480976	15.716808476480976	IW	Inland wetland	Northeast	16
Chloroflexi	S25	0.31361374217370364	31.361374217370365	IW	Inland wetland	Northeast	16
Bacteroidetes	S25	0.008348049446139027	0.8348049446139026	IW	Inland wetland	Northeast	16
Acidobacteria	S25	0.2211965537539466	22.119655375394657	IW	Inland wetland	Northeast	16
Actinobacteria	S25	0.05236260501953229	5.236260501953229	IW	Inland wetland	Northeast	16
Firmicutes	S25	0.009177503077005406	0.9177503077005406	IW	Inland wetland	Northeast	16
Verrucomicrobia	S25	0.10397602611441109	10.397602611441108	IW	Inland wetland	Northeast	16
Planctomycetes	S25	0.025953871675496336	2.5953871675496334	IW	Inland wetland	Northeast	16
Gemmatimonadetes	S25	0.009712634451757907	0.9712634451757907	IW	Inland wetland	Northeast	16
Nitrospirae	S25	0.04069674104992776	4.069674104992775	IW	Inland wetland	Northeast	16
Other known phyla	S25	0.05030234922673517	5.030234922673517	IW	Inland wetland	Northeast	16
Unknown phylum	S25	0.007491839246535024	0.7491839246535025	IW	Inland wetland	Northeast	16
Proteobacteria	S26	0.27039653600729263	27.039653600729263	IW	Inland wetland	Northeast	17
Chloroflexi	S26	0.22043072014585233	22.04307201458523	IW	Inland wetland	Northeast	17
Bacteroidetes	S26	0.05258659981768459	5.258659981768459	IW	Inland wetland	Northeast	17
Acidobacteria	S26	0.1778999544211486	17.789995442114858	IW	Inland wetland	Northeast	17
Actinobacteria	S26	0.09181289881494986	9.181289881494987	IW	Inland wetland	Northeast	17
Firmicutes	S26	0.010169781221513218	1.0169781221513219	IW	Inland wetland	Northeast	17
Verrucomicrobia	S26	0.013531221513217867	1.3531221513217866	IW	Inland wetland	Northeast	17
Planctomycetes	S26	0.04085004557885141	4.085004557885141	IW	Inland wetland	Northeast	17
Gemmatimonadetes	S26	0.054979489516864176	5.497948951686418	IW	Inland wetland	Northeast	17
Nitrospirae	S26	0.022675478577939837	2.267547857793984	IW	Inland wetland	Northeast	17
Other known phyla	S26	0.03965360072926162	3.965360072926162	IW	Inland wetland	Northeast	17
Unknown phylum	S26	0.005013673655423883	0.5013673655423884	IW	Inland wetland	Northeast	17
Proteobacteria	S27	0.27893407122232916	27.893407122232915	IW	Inland wetland	Northeast	18
Chloroflexi	S27	0.25060153994225215	25.060153994225214	IW	Inland wetland	Northeast	18
Bacteroidetes	S27	0.03290423484119345	3.290423484119345	IW	Inland wetland	Northeast	18
Acidobacteria	S27	0.14045957651588065	14.045957651588065	IW	Inland wetland	Northeast	18
Actinobacteria	S27	0.14118142444658324	14.118142444658325	IW	Inland wetland	Northeast	18
Firmicutes	S27	0.02183589990375361	2.183589990375361	IW	Inland wetland	Northeast	18
Verrucomicrobia	S27	0.015820500481231955	1.5820500481231954	IW	Inland wetland	Northeast	18
Planctomycetes	S27	0.01918912415784408	1.918912415784408	IW	Inland wetland	Northeast	18
Gemmatimonadetes	S27	0.06454523580365737	6.454523580365737	IW	Inland wetland	Northeast	18
Nitrospirae	S27	0.00788017324350337	0.7880173243503369	IW	Inland wetland	Northeast	18
Other known phyla	S27	0.024362367661212702	2.43623676612127	IW	Inland wetland	Northeast	18
Unknown phylum	S27	0.002285851780558229	0.2285851780558229	IW	Inland wetland	Northeast	18
Proteobacteria	S28	0.34959192356786445	34.959192356786446	IW	Inland wetland	Northeast	19
Chloroflexi	S28	0.08374269910648667	8.374269910648668	IW	Inland wetland	Northeast	19
Bacteroidetes	S28	0.0426642942791939	4.26642942791939	IW	Inland wetland	Northeast	19
Acidobacteria	S28	0.11870962750937995	11.870962750937995	IW	Inland wetland	Northeast	19
Actinobacteria	S28	0.12466638301164275	12.466638301164275	IW	Inland wetland	Northeast	19
Firmicutes	S28	0.033187637798321276	3.3187637798321274	IW	Inland wetland	Northeast	19
Verrucomicrobia	S28	0.020152400108304644	2.0152400108304644	IW	Inland wetland	Northeast	19
Planctomycetes	S28	0.044907747650175994	4.4907747650175995	IW	Inland wetland	Northeast	19
Gemmatimonadetes	S28	0.1451282249642208	14.512822496422078	IW	Inland wetland	Northeast	19
Nitrospirae	S28	0.01202955169612811	1.202955169612811	IW	Inland wetland	Northeast	19
Other known phyla	S28	0.022705295323560127	2.270529532356013	IW	Inland wetland	Northeast	19
Unknown phylum	S28	0.002514214984721309	0.2514214984721309	IW	Inland wetland	Northeast	19
Proteobacteria	S30	0.2851680091123586	28.516800911235862	IW	Inland wetland	Northeast	20
Chloroflexi	S30	0.15019119681067447	15.019119681067448	IW	Inland wetland	Northeast	20
Bacteroidetes	S30	0.03571719144089171	3.5717191440891707	IW	Inland wetland	Northeast	20
Acidobacteria	S30	0.23431779350744447	23.431779350744446	IW	Inland wetland	Northeast	20
