	S1	S2	S3	S4	S5	S6	S7	S9	S10	S11	S12	S13	S15	S16	S17	S18	S19	S20	S22	S23	S24	S25	S26	S27	S28	S30	S34	S35	S36	S37	S61	S62	S63	S65	S85	S86	S87	S88	S89	S112	S113	S114	S161	S162	S164	S165	S166	S167	S168	S169	S170	S171	S172	S173	S174	S175	S176	S177	S179	S182	S187	S188	S191	S194	S196	S197	S198	S201	S202	S203	S204	S205	S206	S207	S208	S209	S210	S213	S214	S215	S216	S217	S218	S219	S220	S221	S222	S223	S224	S225
Acidibacter	0.000665570433012293	0.000709908832760424	0.00101222455812505	0.00180722891566265	0.000793650793650794	0.000355160932297447	0.00132412204951065	0.000593002569677802	0.00132104551316327	0.00110531163647528	0.000698263070611853	0.000810014727540501	0.000383435582822086	0.000558971492453885	0.000531632110579479	0.00157452138128467	0.000643500643500643	0.00087361677344205	0.00119716364306106	0.00272975432211101	0.00373710293281339	0.000615401080965377	0.00139585232452142	0.00264677574590953	0.000502842996944262	0.00170856724432512	0.00426562746853441	0.00319290465631929	0.000537056928034372	0.00392646796359093	0.000612328207919445	0.000318877551020408	0	0.000407000407000407	0.00037821482602118	0.00033143311679703	0.000381970970206264	0.000650406504065041	0.000193376843123036	0.000373034905409006	0.000221673316866173	0.000424448217317487	0.0001356300013563	0.000287328799923379	0.00018737118231216	0.000220718069452619	0.000200333889816361	0.00175131348511384	0.000868390582786569	0.000410415431620229	7.54204691153179e-05	0.000396222677144555	0.000393959290873276	0.000176025347650062	8.13802083333333e-05	0.00016392099008278	0.00040983606557377	8.97666068222621e-05	0.00125422093584178	0.000460864889776481	0.000192990582059595	0	8.62515094014145e-05	0.000207196629601492	0.00060146758089739	0.000803535556448373	0.00105844995883806	0.000848016583435409	0.000474248316418477	0.000413198748598076	8.38926174496644e-05	0.000160115283003763	0.000187406296851574	6.0875388080599e-05	8.91027354539784e-05	0.000230929104764837	0.000773814129846011	0.00077720207253886	0.00018067935437244	0.000541682465738584	0.000294724432655467	0.00028339650713805	0.000604521823237819	0.000838984828357687	0.00113239596112107	0.000450479438831328	0.000508359692724808	0.000252742253449932	0.00114830338175346	0.000117750956726523
Acidiferrobacter	7.83024038837992e-05	7.47272455537289e-05	0	0.000150602409638554	0.000113378684807256	8.87902330743618e-05	0.000287852619458837	0.000197667523225934	0.000220174252193879	0.000307031010132023	8.72828838264816e-05	0.000220913107511046	0.000862730061349693	0.00251537171604248	0.000425305688463583	0.0054034711039542	0.00154440154440154	0.00052417006406523	0.000230223777511741	0.00024264482863209	8.12413681046389e-05	0.000160539412425751	0.000113947128532361	0.000240615976900866	0.000154720922136696	0.000406801724839313	0	8.86917960088692e-05	0.000460334509743747	0	6.8036467546605e-05	0.000191326530612245	6.40656031776539e-05	0.000290714576428862	6.30358043368633e-05	0.000132573246718812	0.000381970970206264	0.000260162601626016	9.6688421561518e-05	0.000479616306954436	0.000316676166951675	0.000195899177223456	6.781500067815e-05	0.000143664399961689	0	0	0.00013355592654424	0.00015921031682853	9.6487842531841e-05	0.00018240685849788	7.54204691153179e-05	6.60371128574259e-05	0	0	0	0.00016392099008278	0	0.000269299820466786	9.64785335262904e-05	0	0.00111934537594565	0.000198111338572278	0.000345006037605658	0	0	0.000133922592741395	5.88027754910032e-05	6.28160432174377e-05	0.000237124158209238	5.9028392656868e-05	0.000167785234899329	0.000240172924505644	0.000281109445277361	0.000426127716564193	0.00151474650271763	0	3.86907064923006e-05	0	0.00102384967477716	5.41682465738584e-05	7.36811081638668e-05	0.000637642141060611	0.00032241163906017	0	0	0	0	0	5.7415169087673e-05	0.00226670591698558
Acidiphilium	0	0	0	0	0	0	0	0	3.14534645991256e-05	0	0	0	0	6.98714365567356e-05	0	3.57845768473788e-05	0.000193050193050193	0	4.60447555023483e-05	0	0	0	0	0	3.8680230534174e-05	0	0	0	0	0	0	6.37755102040816e-05	0.000128131206355308	5.81429152857724e-05	6.30358043368633e-05	0	0	0	0	0	3.16676166951675e-05	0	0	0	0	0	0	0	0	0	7.54204691153179e-05	0	0	0	8.13802083333333e-05	0	0	0	9.64785335262904e-05	0	3.85981164119191e-05	6.60371128574259e-05	0	0	0	0	0	6.28160432174377e-05	0	0	0	8.00576415018814e-05	0	0	0	0	3.86907064923006e-05	0	6.02264514574801e-05	0.000216672986295434	0	0	0	0	0	0	5.64844103027564e-05	5.05484506899864e-05	0	5.88754783632617e-05
Acidisphaera	0	0	0	0	0	0	0.000402993667242372	0	0	0	8.72828838264816e-05	0	0	0	0	0	0	0	0	0.000121322414316045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.35726898175397e-05	0	0	0	0	0	0	0	8.80126738250308e-05	0	8.19604950413901e-05	0	0	0	0	0	0	0	0	0	0	5.88027754910032e-05	0	0	0	0	0	0	0	0	7.69763682549457e-05	0	0	0	0	7.36811081638668e-05	0	0	0	0	0	0	0	5.7415169087673e-05	0
Aciditerrimonas	3.91512019418996e-05	0	0	0	0	0	0	0	0	0	0	7.36377025036819e-05	0	0	0	0	0	0	4.60447555023483e-05	0	0	0	0	0	0	0	5.26620675127706e-05	8.86917960088692e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.99154023631406e-05	0	0	0	0	0	0
Acidobacterium	0	3.73636227768644e-05	0.000311453710192323	0.000150602409638554	0	0	0.000115141047783535	7.90670092903736e-05	3.14534645991256e-05	0	0	0	0	0	0	0	0	0	0	0.00024264482863209	0.000324965472418556	0	0	0	0	0	0	0	0	0	0	0	0	0	6.30358043368633e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.14080216087189e-05	0	0	0	0	0	6.0875388080599e-05	0	0	0	6.47668393782383e-05	0	0	0	0	0	0	0	0	0	0	0	0
Acidocella	3.91512019418996e-05	7.47272455537289e-05	0	0	0.000226757369614512	0.000221975582685905	0.000172711571675302	3.95335046451868e-05	0.000251627716793005	0	0.000261848651479445	0.000515463917525773	4.79294478527607e-05	6.98714365567356e-05	0	0	6.43500643500643e-05	0	0	0	0	2.67565687376251e-05	0	6.01539942252166e-05	3.8680230534174e-05	8.13603449678627e-05	0	0	0	0	0.00013607293509321	0.000191326530612245	0.000192196809532962	0.00023257166114309	0	0.000132573246718812	0	6.50406504065041e-05	0	0.000159872102318145	0	9.79495886117278e-05	6.781500067815e-05	0	9.36855911560802e-05	0	0	0	0	0	7.54204691153179e-05	0.000132074225714852	6.56598818122127e-05	0	8.13802083333333e-05	0	0	8.97666068222621e-05	9.64785335262904e-05	0	0	6.60371128574259e-05	0	0	0.000120293516179478	6.69612963706977e-05	0.000117605550982006	3.14080216087189e-05	0.000237124158209238	0	8.38926174496644e-05	0	0	0	0	7.69763682549457e-05	0.000502979184399907	6.47668393782383e-05	0.000361358708744881	0.000216672986295434	7.36811081638668e-05	0	0	6.99154023631406e-05	9.43663300934227e-05	0.000193062616641998	0	0	0.000172245507263019	0.000117750956726523
Acidothermus	0.00207501370292068	0.00134509041996712	0.00319240052947131	0.00376506024096386	0.00147392290249433	0.000355160932297447	0.00823258491652274	0.000672069578968176	0.00116377819016765	0.00300890389929383	0.000610980186785371	0.00103092783505155	0.000191717791411043	0.000279485746226942	0.000177210703526493	0.000178922884236894	0.000257400257400257	0.00017472335468841	0.00663044479233815	0.00994843797391568	0.0147046876269396	0.00206025579279713	0.000313354603463993	0.00018046198267565	0.000116040691602522	0.000406801724839313	0.000789931012691558	0.000709534368070953	0.000613779346324996	0.000475935510738295	0.00040821880527963	0.000318877551020408	0.000192196809532962	0.00023257166114309	0.000252143217347453	0.000662866233594061	0.000458365164247517	0.000455284552845528	0.000580130529369108	0.000426325606181721	0.000158338083475838	0.000228549040094032	6.781500067815e-05	0.000287328799923379	0	0	0.000333889816360601	0.000238815475242796	9.6487842531841e-05	0.000319212002371289	0.000301681876461272	0.000330185564287129	0.000131319763624425	0.000528076042950185	0.000325520833333333	8.19604950413901e-05	0.000204918032786885	8.97666068222621e-05	0.00125422093584178	0.00107535140947845	0.000308784931295353	0.000198111338572278	0.000172503018802829	0.000207196629601492	0.000180440274269217	0.000133922592741395	5.88027754910032e-05	0.000188448129652313	9.48496632836953e-05	0.000236113570627472	0.000251677852348993	8.00576415018814e-05	9.37031484257871e-05	0.000182626164241797	0.000267308206361935	0.000307905473019783	3.86907064923006e-05	0.000194300518134715	0.00018067935437244	0.000108336493147717	0	7.08491267845124e-05	0.000201507274412606	0.000279661609452562	0.000283098990280268	0	0.000225937641211026	0.000151645352069959	0.000287075845438365	0.000235501913453047
Acidovorax	0.00254482812622348	0.00179345389328949	0.000389317137740403	0.000753012048192771	0.000340136054421769	0.000532741398446171	0.000575705238917674	0.00229294326942083	0.000345988110590382	0.000736874424316856	0.00113467748974426	0.000368188512518409	0.000958588957055215	0.000349357182783678	0.00155945419103314	0.00229021291823224	0.00167310167310167	0.00227140361094933	0.000920895110046966	0.000909918107370337	0.000649930944837111	0.00120404559319313	0.00364630811303555	0.00222569778633301	0.000618883688546784	0.0013017655194858	0.00157986202538312	0.00106430155210643	0.000613779346324996	0.00154679040989946	0.00095251054565247	0.00127551020408163	0.00108911525402012	0.000581429152857724	0.00018910741301059	0.0011268725971099	0.000993124522536287	0.000520325203252032	0.000290065264684554	0.00159872102318145	0.000665019950598518	0.000685647120282095	0.0005425200054252	0.000478881333205632	0.000562113546936481	0.000882872277810477	0.000801335559265442	0.00127368253462824	0.000675414897722887	0.000957636007113867	0.000980466098499133	0.00079244535428911	0.00111621799080762	0.00140820278120049	0.000732421875	0.00049176297024834	0.000614754098360656	0.000448833034111311	0.00115774240231548	0.00122897303940395	0.00297205496371777	0.00237733606286733	0.00439882697947214	0.000345327716002486	0.000541320822807651	0.00870496852819071	0.0103492884864166	0.00813467759665819	0.00853646969553258	0.0144619562009326	0.00285234899328859	0.00288207509406773	0.00327961019490255	0.00353077250867474	0.0020493629154415	0.00361788930798245	0.00971136732956744	0.00654145077720207	0.00554083353408817	0.00362927252044851	0.00596816976127321	0.00644727053739063	0.0058840124128481	0.00391526253233587	0.00462395017457771	0.00881652615998455	0.0121441482150926	0.00844159126522772	0.00281334328529598	0.00500441566087724
Acinetobacter	3.91512019418996e-05	0.000112090868330593	7.78634275480807e-05	0.000225903614457831	0.000283446712018141	4.43951165371809e-05	0.000115141047783535	0	6.29069291982512e-05	0	0.000174565767652963	0.000220913107511046	0.000575153374233129	0.00440190050307434	0.00219741272372851	0.000500984075863303	0.000836550836550837	0.00011648223645894	0	0.000727934485896269	0.000162482736209278	0.0001070262749505	0.00173769371011851	0.000240615976900866	0.00259157544578966	0.000325441379871451	0.000105324135025541	0.000620842572062084	0.000153444836581249	0.000356951633053721	0.000748401143012655	0.000191326530612245	0.000832852841309501	0.000784929356357928	0	0.000198859870078218	0.000152788388082506	6.50406504065041e-05	0.000145032632342277	0.000213162803090861	0.00183672176831972	0.0324539636933525	0.00074596500745965	0.000718321999808447	0.000562113546936481	0.00103001765744556	0.000467445742904841	0.00103486705938545	0.00144731763797761	0.000547220575493639	0.000301681876461272	0.0243676946443901	0.000262639527248851	0.000440063369125154	0.000325520833333333	0.00065568396033112	0.000683060109289617	0.000359066427289048	0.00106126386878919	0.000844918964590214	0.000656167979002625	0.000726408241431685	0.000258754528204244	0.000345327716002486	0.000360880548538434	0.000535690370965582	0.000764436081383041	0.00122491284274004	0.000379398653134781	0.000354170355941208	0.000419463087248322	0.000400288207509407	0.00327961019490255	0.000913130821208985	0.00160384923817161	0.000846740050804403	0.000502979184399907	0.00077720207253886	0.000602264514574801	0.000487514219164726	0.000515767757147067	0.00046051932409933	0.0131785757465845	0.000769069425994547	0.000566197980560536	0.000450479438831328	0.000621328513330321	0.000606581408279836	0.000918642705402767	0.000382690609361201
Actibacter	0.000117453605825699	0	0	0	5.66893424036281e-05	0	5.75705238917674e-05	7.90670092903736e-05	3.14534645991256e-05	6.14062020264047e-05	0	0	0	0	3.54421407052986e-05	3.57845768473788e-05	6.43500643500643e-05	0	0	0	8.12413681046389e-05	2.67565687376251e-05	5.69735642661805e-05	0	3.8680230534174e-05	0.000244081034903588	5.26620675127706e-05	0	7.67224182906245e-05	0	6.8036467546605e-05	6.37755102040816e-05	0.00032032801588827	0.000697714983429269	0	6.62866233594061e-05	7.63941940412529e-05	0	9.6688421561518e-05	0.00010658140154543	6.3335233390335e-05	6.52997257411519e-05	0.0002712600027126	0.000239440666602816	9.36855911560802e-05	0.000220718069452619	0.00013355592654424	7.96051584142652e-05	0.000192975685063682	9.12034292489398e-05	0.00181009125876763	0.00191507627286535	0.00249507550886408	0.00422460834360148	0.00447591145833333	0.00155724940578641	0.00040983606557377	0.000448833034111311	9.64785335262904e-05	7.68108149627468e-05	0.000115794349235757	0.000264148451429703	0.000603760565809902	0	0	0.000133922592741395	0	0.00188448129652313	0.00256094090865977	0.0306947641815713	0.00352348993288591	8.00576415018814e-05	0.000187406296851574	0	8.91027354539784e-05	0	7.73814129846011e-05	0	6.02264514574801e-05	5.41682465738584e-05	7.36811081638668e-05	3.54245633922562e-05	8.06029097650425e-05	0.000139830804726281	0.000283098990280268	6.43542055473325e-05	5.64844103027564e-05	0.000101096901379973	5.7415169087673e-05	0.000147188695908154
Actinomadura	3.91512019418996e-05	0	7.78634275480807e-05	0	0	0	0	3.95335046451868e-05	0	0	0	0	0	0	3.54421407052986e-05	0	6.43500643500643e-05	5.824111822947e-05	0	0	0	0	2.84867821330902e-05	0	0	0	0.000315972405076623	0.000177383592017738	0	0	0	0	0	2.90714576428862e-05	6.30358043368633e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.74248316418477e-05	0	8.38926174496644e-05	8.00576415018814e-05	0	0	0	0	0	0	0	0	0	0	4.03014548825213e-05	0	0	0	0	0	0	0
Actinomycetospora	0	0	0	0	0	0	0	0	0	6.14062020264047e-05	0	7.36377025036819e-05	0.000143788343558282	0	0.00024809498493709	0.000214707461084273	0.000257400257400257	0.00029120559114735	0	0	0	0	2.84867821330902e-05	0	0.000116040691602522	0	0	0.000266075388026608	0	0.000118983877684574	0	0	0	0	0	0	0	0	0	5.32907007727152e-05	3.16676166951675e-05	3.26498628705759e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	8.19604950413901e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinophytocola	0	0	0	0	5.66893424036281e-05	0	0	0	0	0	0	7.36377025036819e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000368634472589394	0.000443458980044346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinoplanes	0.000195756009709498	0.000261545359438051	0.000700770847932726	0.000376506024096386	0.000340136054421769	4.43951165371809e-05	0.000172711571675302	0.000355801541806681	3.14534645991256e-05	0.000122812404052809	0.000436414419132408	7.36377025036819e-05	0.000287576687116564	0.000419228619340414	0.000389863547758285	0.000823045267489712	0.000579150579150579	0.00151426907396622	0.000138134266507045	0.000545950864422202	0.000243724104313917	0.000133782843688125	0.000911577028258888	0.000782001924927815	0.000154720922136696	0.000244081034903588	0.00163252409289589	0.00301552106430155	0.000230167254871874	0.00249866143137605	0.000476255272826235	0	6.40656031776539e-05	0.000116285830571545	6.30358043368633e-05	0.000265146493437624	0.000229182582123759	0.000195121951219512	0.000338409475465313	5.32907007727152e-05	0.00012667046678067	0.00016324931435288	0	0	0	0	0	7.96051584142652e-05	0.000289463527595523	9.12034292489398e-05	7.54204691153179e-05	6.60371128574259e-05	0	8.80126738250308e-05	0	8.19604950413901e-05	0	8.97666068222621e-05	0	0.000460864889776481	0	0	0	6.90655432004973e-05	0	6.69612963706977e-05	5.88027754910032e-05	0.000125632086434875	0	5.9028392656868e-05	0	0	0	6.0875388080599e-05	8.91027354539784e-05	0	0	0.000323834196891192	0	0.000595850712312442	0.000294724432655467	0.000885614084806405	0.000120904364647564	6.99154023631406e-05	0	0	0.000225937641211026	5.05484506899864e-05	0	2.94377391816309e-05
Actinopolyspora	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001356300013563	9.57762666411263e-05	0.00018737118231216	0.000220718069452619	6.67779632721202e-05	0	9.6487842531841e-05	0.00018240685849788	0.000377102345576589	0	0	8.80126738250308e-05	0.000244140625	8.19604950413901e-05	0	0	9.64785335262904e-05	0	0.000192990582059595	0	0	0.000207196629601492	0	0.000200883889112093	0.000294013877455016	3.14080216087189e-05	0.000142274494925543	5.9028392656868e-05	0.000167785234899329	0	9.37031484257871e-05	0.000121750776161198	0	7.69763682549457e-05	3.86907064923006e-05	0.000194300518134715	6.02264514574801e-05	0	0	3.54245633922562e-05	8.06029097650425e-05	0	9.43663300934227e-05	6.43542055473325e-05	0	5.05484506899864e-05	0	5.88754783632617e-05
