SampleID	Group	GroupLabel	LibrarySize	Singletons	Doubletons	GoodsCoverage	iNEXTCoverage
S61	CW	Coastal wetland	14698	1582	414	0.892366308341271	0.8924
S62	CW	Coastal wetland	15680	1657	498	0.8943239795918367	0.8943
S63	CW	Coastal wetland	15609	1571	537	0.8993529374079057	0.8994
S65	CW	Coastal wetland	34398	2087	757	0.9393278678992965	0.9393
S85	CW	Coastal wetland	15864	1672	419	0.8946041351487645	0.8946
S86	CW	Coastal wetland	15086	1827	550	0.8788943391223651	0.8789
S87	CW	Coastal wetland	13090	1538	398	0.8825057295645531	0.8825
S88	CW	Coastal wetland	15375	1644	475	0.8930731707317073	0.8931
S89	CW	Coastal wetland	20685	1704	463	0.9176214648295866	0.9176
S112	CW	Coastal wetland	18765	1825	626	0.9027444710897948	0.9027
S113	CW	Coastal wetland	31578	1906	579	0.9396415225790107	0.9396
S114	CW	Coastal wetland	30628	1810	568	0.9409037482042575	0.9409
S161	CW	Coastal wetland	14746	1321	441	0.9104163841041638	0.9104
S162	CW	Coastal wetland	20882	1431	508	0.9314720812182741	0.9315
S164	CW	Coastal wetland	10674	1043	340	0.9022859284242084	0.9023
S165	CW	Coastal wetland	13592	1372	426	0.8990582695703355	0.8991
S166	CW	Coastal wetland	14975	1294	453	0.9135893155258765	0.9136
S167	CW	Coastal wetland	12562	1437	497	0.8856073873587008	0.8856
S168	CW	Coastal wetland	10364	1405	472	0.8644345812427634	0.8644
S169	CW	Coastal wetland	21929	1570	609	0.9284053080395823	0.9284
S170	CW	Coastal wetland	13259	1203	328	0.9092691756542726	0.9093
S171	CW	Coastal wetland	15143	1303	402	0.9139536419467741	0.914
S172	CW	Coastal wetland	15230	1300	418	0.9146421536441234	0.9146
S173	CW	Coastal wetland	11362	1206	388	0.8938567153670128	0.8939
S174	CW	Coastal wetland	12288	1156	342	0.9059244791666666	0.9059
S175	CW	Coastal wetland	12201	1117	315	0.9084501270387673	0.9085
S176	CW	Coastal wetland	14640	1245	367	0.9149590163934427	0.915
S177	CW	Coastal wetland	11140	1049	318	0.9058348294434471	0.9058
S179	CW	Coastal wetland	10365	1425	528	0.8625180897250362	0.8625
S182	CW	Coastal wetland	13019	1360	483	0.8955372916506644	0.8955
S187	TW	Tibetan Plateau	25908	1536	523	0.9407132931912923	0.9407
S188	TW	Tibetan Plateau	15143	1220	343	0.9194347223139404	0.9194
S191	TW	Tibetan Plateau	11594	1097	333	0.9053820941866483	0.9054
S194	TW	Tibetan Plateau	14479	1058	275	0.9269286552938739	0.9269
S196	TW	Tibetan Plateau	16626	1256	383	0.9244556718392879	0.9245
S197	TW	Tibetan Plateau	14934	1670	660	0.8881746350609347	0.8882
S198	TW	Tibetan Plateau	17006	1677	700	0.9013877455015877	0.9014
S201	TW	Tibetan Plateau	31839	1835	730	0.9423662803480009	0.9424
S202	TW	Tibetan Plateau	21086	1342	489	0.9363558759366404	0.9364
S203	TW	Tibetan Plateau	16941	1279	353	0.9245026857918659	0.9245
S204	TW	Tibetan Plateau	11920	1247	427	0.8953859060402685	0.8954
S205	TW	Tibetan Plateau	12491	1279	434	0.8976062765190937	0.8976
S206	TW	Tibetan Plateau	10672	1159	356	0.8913980509745127	0.8914
S207	TW	Tibetan Plateau	16427	1284	449	0.9218360017045109	0.9218
S208	TW	Tibetan Plateau	11223	1249	371	0.888710683417981	0.8887
S209	TW	Tibetan Plateau	12991	1281	431	0.9013932722654145	0.9014
S210	TW	Tibetan Plateau	25846	1625	660	0.9371276019500117	0.9371
S213	TW	Tibetan Plateau	15440	1575	608	0.8979922279792746	0.898
S214	TW	Tibetan Plateau	16604	1539	529	0.9073114912069381	0.9073
S215	TW	Tibetan Plateau	18461	1330	509	0.9279562320567684	0.928
S216	TW	Tibetan Plateau	13572	1098	327	0.9190981432360743	0.9191
S217	TW	Tibetan Plateau	28229	1474	573	0.9477841935598144	0.9478
S218	TW	Tibetan Plateau	24813	1746	693	0.9296336597751179	0.9296
S219	TW	Tibetan Plateau	14303	1457	547	0.8981332587569042	0.8981
S220	TW	Tibetan Plateau	10597	1343	489	0.8732660186845334	0.8733
S221	TW	Tibetan Plateau	15539	1489	585	0.9041765879400219	0.9042
S222	TW	Tibetan Plateau	17704	1506	485	0.9149344780840488	0.9149
S223	TW	Tibetan Plateau	19783	1351	491	0.9317090431178284	0.9317
S224	TW	Tibetan Plateau	17417	1609	642	0.9076189929379342	0.9076
S225	TW	Tibetan Plateau	33970	1589	661	0.9532234324403885	0.9532
