FeatureID	PositiveSamples	RawPresence	DetectedSamples	Prevalence	EqualSampleMean	PooledReadFraction	MaximumSampleAbundance	TotalReads	PrimaryCore	IWPrevalence	CWPrevalence	TWPrevalence	IWCore	CWCore	TWCore	BestRank	BestTaxon	DisplayLabel	Lineage	FeatureState
OTU_3650	16	0.17777777777777778	8	0.08888888888888889	3.0520244823277054e-5	3.642717343656424e-5	6.947660954145438e-4	59	FALSE	0.03333333333333333	0.03333333333333333	0.2	FALSE	FALSE	FALSE	Class	Bacteroidetes BD2-2	C · Bacteroidetes BD2-2	Bacteria > Bacteroidetes > Bacteroidetes BD2-2 > Unknown order > Unknown family > Unknown genus > Unknown species	Persistently rare
OTU_305	79	0.8777777777777778	60	0.6666666666666666	8.826073252818981e-4	8.896874054591368e-4	0.005328230791875184	1441	FALSE	0.5	0.5333333333333333	0.9666666666666667	FALSE	FALSE	TRUE	Genus	Syntrophus	G · Syntrophus	Bacteria > Proteobacteria > Deltaproteobacteria > Syntrophobacterales > Syntrophaceae > Syntrophus > Unknown species	Intermediate
OTU_11016	13	0.14444444444444443	1	0.011111111111111112	1.0268947426092976e-5	9.261145788957009e-6	1.639209900827801e-4	15	FALSE	0	0.03333333333333333	0	FALSE	FALSE	FALSE	Order	Subgroup 18	O · Subgroup 18	Bacteria > Acidobacteria > Acidobacteria > Subgroup 18 > Unknown family > Unknown genus > Unknown species	Persistently rare
OTU_13742	67	0.7444444444444445	41	0.45555555555555555	1.9185592796923688e-4	1.938666518488334e-4	0.0014248704663212435	314	FALSE	0.4	0.3333333333333333	0.6333333333333333	FALSE	FALSE	FALSE	Family	Comamonadaceae	F · Comamonadaceae	Bacteria > Proteobacteria > Betaproteobacteria > Burkholderiales > Comamonadaceae > Unknown genus > Unknown species	Intermediate
OTU_4502	26	0.28888888888888886	9	0.1	5.6457607115016475e-5	4.383609006772984e-5	0.0021507028189569092	71	FALSE	0.03333333333333333	0.1	0.16666666666666666	FALSE	FALSE	FALSE	Genus	Pirellula	G · Pirellula	Bacteria > Planctomycetes > Planctomycetacia > Planctomycetales > Planctomycetaceae > Pirellula > Unknown species	Intermediate
OTU_5248	17	0.18888888888888888	3	0.03333333333333333	1.4770980811947003e-5	1.4200423543067415e-5	2.106482700510822e-4	23	FALSE	0.03333333333333333	0.03333333333333333	0.03333333333333333	FALSE	FALSE	FALSE	Genus	Arenimonas	G · Arenimonas	Bacteria > Proteobacteria > Gammaproteobacteria > Xanthomonadales > Xanthomonadaceae > Arenimonas > Unknown species	Persistently rare
OTU_408	87	0.9666666666666667	74	0.8222222222222222	6.308024717115559e-4	6.118530317904264e-4	0.003779870587481581	991	TRUE	0.6333333333333333	0.8666666666666667	0.9666666666666667	FALSE	TRUE	TRUE	Genus	Geoalkalibacter	G · Geoalkalibacter	Bacteria > Proteobacteria > Deltaproteobacteria > Desulfuromonadales > Geobacteraceae > Geoalkalibacter > Unknown species	Primary core
OTU_4558	4	0.044444444444444446	0	0	2.8093266142334424e-6	2.4696388770552028e-6	8.869179600886918e-5	4	FALSE	0	0	0	FALSE	FALSE	FALSE	Kingdom	Unknown kingdom	K · Unknown kingdom	Unknown kingdom > Unknown phylum > Unknown class > Unknown order > Unknown family > Unknown genus > Unknown species	Persistently rare
OTU_4474	38	0.4222222222222222	12	0.13333333333333333	3.9426071706830705e-5	4.1983860909938446e-5	2.618486514794449e-4	68	FALSE	0.23333333333333334	0	0.16666666666666666	FALSE	FALSE	FALSE	Phylum	Latescibacteria	P · Latescibacteria	Bacteria > Latescibacteria > Unknown class > Unknown order > Unknown family > Unknown genus > Unknown species	Persistently rare
OTU_4716	12	0.13333333333333333	5	0.05555555555555555	1.9929424167574574e-5	1.9757111016441622e-5	6.026516673362796e-4	32	FALSE	0	0	0.16666666666666666	FALSE	FALSE	FALSE	Family	Rhodobacteraceae	F · Rhodobacteraceae	Bacteria > Proteobacteria > Alphaproteobacteria > Rhodobacterales > Rhodobacteraceae > Unknown genus > Unknown species	Persistently rare
OTU_5004	31	0.34444444444444444	9	0.1	3.377964165628442e-5	3.272271512098144e-5	3.748125937031484e-4	53	FALSE	0.2	0	0.1	FALSE	FALSE	FALSE	Phylum	Chloroflexi	P · Chloroflexi	Bacteria > Chloroflexi > Unknown class > Unknown order > Unknown family > Unknown genus > Unknown species	Persistently rare
OTU_6426	87	0.9666666666666667	78	0.8666666666666667	9.30892619525654e-4	7.822581143072354e-4	0.007912003087610961	1267	TRUE	0.7333333333333333	1	0.8666666666666667	FALSE	TRUE	TRUE	Family	Xanthomonadales Incertae Sedis	F · Xanthomonadales Incertae Sedis	Bacteria > Proteobacteria > Gammaproteobacteria > Xanthomonadales > Xanthomonadales Incertae Sedis > Unknown genus > Unknown species	Primary core
OTU_3449	30	0.3333333333333333	5	0.05555555555555555	2.7021119994179917e-5	2.840084708613483e-5	2.409058058299205e-4	46	FALSE	0.13333333333333333	0	0.03333333333333333	FALSE	FALSE	FALSE	Class	Pla3 lineage	C · Pla3 lineage	Bacteria > Planctomycetes > Pla3 lineage > Unknown order > Unknown family > Unknown genus > Unknown species	Persistently rare
OTU_10128	28	0.3111111111111111	7	0.07777777777777778	3.0968868690886686e-5	3.0253076243926232e-5	2.894356005788712e-4	49	FALSE	0	0.16666666666666666	0.06666666666666667	FALSE	FALSE	FALSE	Order	Subgroup 7	O · Subgroup 7	Bacteria > Acidobacteria > Holophagae > Subgroup 7 > Unknown family > Unknown genus > Unknown species	Persistently rare
OTU_75	86	0.9555555555555556	77	0.8555555555555555	7.79076814303051e-4	6.816203300672359e-4	0.016823091907207367	1104	TRUE	0.9	0.7333333333333333	0.9333333333333333	TRUE	FALSE	TRUE	Family	Rhodocyclaceae	F · Rhodocyclaceae	Bacteria > Proteobacteria > Betaproteobacteria > Rhodocyclales > Rhodocyclaceae > Unknown genus > Unknown species	Primary core
OTU_2069	76	0.8444444444444444	52	0.5777777777777777	2.3566146508429786e-4	2.0868448511116461e-4	0.0018579024921519635	338	FALSE	0.5	0.5333333333333333	0.7	FALSE	FALSE	FALSE	Order	SC-I-84	O · SC-I-84	Bacteria > Proteobacteria > Betaproteobacteria > SC-I-84 > Unknown family > Unknown genus > Unknown species	Intermediate
OTU_356	87	0.9666666666666667	76	0.8444444444444444	5.04578066674105e-4	5.402335043558255e-4	0.007398273736128237	875	TRUE	0.7666666666666667	0.8333333333333334	0.9333333333333333	FALSE	TRUE	TRUE	Family	Halieaceae	F · Halieaceae	Bacteria > Proteobacteria > Gammaproteobacteria > Cellvibrionales > Halieaceae > Unknown genus > Unknown species	Primary core
OTU_825	55	0.6111111111111112	25	0.2777777777777778	1.254755934760103e-4	1.3768236739582755e-4	0.0010735373054213634	223	FALSE	0.3	0	0.5333333333333333	FALSE	FALSE	FALSE	Genus	Anaerolinea	G · Anaerolinea	Bacteria > Chloroflexi > Anaerolineae > Anaerolineales > Anaerolineaceae > Anaerolinea > Unknown species	Intermediate
OTU_4105	20	0.2222222222222222	5	0.05555555555555555	1.8859274384417266e-5	2.0991930454969223e-5	2.302237775117414e-4	34	FALSE	0.13333333333333333	0.03333333333333333	0	FALSE	FALSE	FALSE	Order	Chthonomonadales	O · Chthonomonadales	Bacteria > Armatimonadetes > Chthonomonadetes > Chthonomonadales > Unknown family > Unknown genus > Unknown species	Persistently rare
OTU_2526	18	0.2	3	0.03333333333333333	1.626299243727153e-5	1.5435242981595016e-5	2.008838891120932e-4	25	FALSE	0	0.06666666666666667	0.03333333333333333	FALSE	FALSE	FALSE	Family	PHOS-HE51	F · PHOS-HE51	Bacteria > Bacteroidetes > Sphingobacteriia > Sphingobacteriales > PHOS-HE51 > Unknown genus > Unknown species	Persistently rare
OTU_482	46	0.5111111111111111	31	0.34444444444444444	2.0755421945892508e-4	2.2720677668907865e-4	0.002337484383186233	368	FALSE	0.26666666666666666	0.03333333333333333	0.7333333333333333	FALSE	FALSE	FALSE	Genus	Haloferula	G · Haloferula	Bacteria > Verrucomicrobia > Verrucomicrobiae > Verrucomicrobiales > Verrucomicrobiaceae > Haloferula > Unknown species	Intermediate
OTU_13756	2	0.022222222222222223	1	0.011111111111111112	2.583435441209653e-6	1.852229157791402e-6	1.9297568506368199e-4	3	FALSE	0	0.03333333333333333	0	FALSE	FALSE	FALSE	Genus	Methylomonas	G · Methylomonas	Bacteria > Proteobacteria > Gammaproteobacteria > Methylococcales > Methylococcaceae > Methylomonas > Unknown species	Sampling-limited
OTU_7092	6	0.06666666666666667	1	0.011111111111111112	6.251437871059494e-6	4.9392777541104055e-6	2.894356005788712e-4	8	FALSE	0	0.03333333333333333	0	FALSE	FALSE	FALSE	Genus	Thermoanaerobaculum	G · Thermoanaerobaculum	Bacteria > Acidobacteria > Holophagae > Holophagae Incertae Sedis > Unknown family > Thermoanaerobaculum > Unknown species	Persistently rare
OTU_4276	4	0.044444444444444446	0	0	2.0818523397188637e-6	2.4696388770552028e-6	9.436633009342267e-5	4	FALSE	0	0	0	FALSE	FALSE	FALSE	Order	MSBL9	O · MSBL9	Bacteria > Planctomycetes > Phycisphaerae > MSBL9 > Unknown family > Unknown genus > Unknown species	Persistently rare
OTU_1	89	0.9888888888888889	88	0.9777777777777777	0.010140087637493926	0.010361987318404367	0.20496562261268145	16783	TRUE	1	0.9666666666666667	0.9666666666666667	TRUE	TRUE	TRUE	Genus	Clostridium sensu stricto 13	G · Clostridium sensu stricto 13	Bacteria > Firmicutes > Clostridia > Clostridiales > Clostridiaceae 1 > Clostridium sensu stricto 13 > Unknown species	Primary core
OTU_2268	52	0.5777777777777777	24	0.26666666666666666	1.2054581952993125e-4	1.1360338834453932e-4	0.0016898379291804286	184	FALSE	0.16666666666666666	0.3	0.3333333333333333	FALSE	FALSE	FALSE	Family	Coriobacteriaceae	F · Coriobacteriaceae	Bacteria > Actinobacteria > Coriobacteriia > Coriobacteriales > Coriobacteriaceae > Unknown genus > Unknown species	Intermediate
OTU_6141	15	0.16666666666666666	1	0.011111111111111112	1.2989260983259383e-5	1.3583013823803615e-5	1.8681811388432222e-4	22	FALSE	0.03333333333333333	0	0	FALSE	FALSE	FALSE	Genus	Gemmata	G · Gemmata	Bacteria > Planctomycetes > Planctomycetacia > Planctomycetales > Planctomycetaceae > Gemmata > Unknown species	Persistently rare
OTU_3095	21	0.23333333333333334	6	0.06666666666666667	3.407860789251131e-5	2.778343736687103e-5	0.001447178002894356	45	FALSE	0.03333333333333333	0.13333333333333333	0.03333333333333333	FALSE	FALSE	FALSE	Class	OPB35 soil group	C · OPB35 soil group	Bacteria > Verrucomicrobia > OPB35 soil group > Unknown order > Unknown family > Unknown genus > Unknown species	Intermediate
OTU_296	71	0.7888888888888889	45	0.5	2.7571166458353587e-4	2.685732278797533e-4	0.006669748398600013	435	FALSE	0.5333333333333333	0.5666666666666667	0.4	FALSE	FALSE	FALSE	Family	Anaerolineaceae	F · Anaerolineaceae	Bacteria > Chloroflexi > Anaerolineae > Anaerolineales > Anaerolineaceae > Unknown genus > Unknown species	Intermediate
OTU_2883	20	0.2222222222222222	4	0.044444444444444446	3.5867146683577605e-5	4.136645119067464e-5	0.0012768480094851567	67	FALSE	0.03333333333333333	0.03333333333333333	0.06666666666666667	FALSE	FALSE	FALSE	Family	Anaerolineaceae	F · Anaerolineaceae	Bacteria > Chloroflexi > Anaerolineae > Anaerolineales > Anaerolineaceae > Unknown genus > Unknown species	Intermediate
OTU_3998	45	0.5	15	0.16666666666666666	4.9913388939514135e-5	4.692313866404885e-5	4.8243921265920495e-4	76	FALSE	0.13333333333333333	0.16666666666666666	0.2	FALSE	FALSE	FALSE	Family	ABS-19	F · ABS-19	Bacteria > Acidobacteria > Holophagae > Subgroup 10 > ABS-19 > Unknown genus > Unknown species	Persistently rare
OTU_1515	67	0.7444444444444445	41	0.45555555555555555	1.607241897149915e-4	1.6546580476269857e-4	0.0016062823487417454	268	FALSE	0.7333333333333333	0.4	0.23333333333333334	FALSE	FALSE	FALSE	Family	Comamonadaceae	F · Comamonadaceae	Bacteria > Proteobacteria > Betaproteobacteria > Burkholderiales > Comamonadaceae > Unknown genus > Unknown species	Intermediate
OTU_6339	4	0.044444444444444446	0	0	2.722140627479001e-6	3.087048596319003e-6	7.71962328238382e-5	5	FALSE	0	0	0	FALSE	FALSE	FALSE	Family	Nitrospinaceae	F · Nitrospinaceae	Bacteria > Proteobacteria > Deltaproteobacteria > Desulfobacterales > Nitrospinaceae > Unknown genus > Unknown species	Persistently rare
OTU_13667	4	0.044444444444444446	1	0.011111111111111112	3.294895714932448e-6	3.087048596319003e-6	1.3008130081300812e-4	5	FALSE	0	0.03333333333333333	0	FALSE	FALSE	FALSE	Family	CCA47	F · CCA47	Archaea > Euryarchaeota > Thermoplasmata > Thermoplasmatales > CCA47 > Unknown genus > Unknown species	Persistently rare
OTU_1952	53	0.5888888888888889	29	0.32222222222222224	1.4816518962244146e-4	1.4632610346552075e-4	0.001415356619319618	237	FALSE	0.1	0.16666666666666666	0.7	FALSE	FALSE	FALSE	Genus	Christensenellaceae R-7 group	G · Christensenellaceae R-7 group	Bacteria > Firmicutes > Clostridia > Clostridiales > Christensenellaceae > Christensenellaceae R-7 group > Unknown species	Intermediate
OTU_3897	35	0.3888888888888889	10	0.1111111111111111	4.762595395191399e-5	4.692313866404885e-5	8.820416323650477e-4	76	FALSE	0.03333333333333333	0.13333333333333333	0.16666666666666666	FALSE	FALSE	FALSE	Class	S085	C · S085	Bacteria > Chloroflexi > S085 > Unknown order > Unknown family > Unknown genus > Unknown species	Persistently rare
OTU_7112	8	0.08888888888888889	1	0.011111111111111112	5.806158326222788e-6	6.174097192638006e-6	1.3680514387340965e-4	10	FALSE	0	0.03333333333333333	0	FALSE	FALSE	FALSE	Kingdom	Unknown kingdom	K · Unknown kingdom	Unknown kingdom > Unknown phylum > Unknown class > Unknown order > Unknown family > Unknown genus > Unknown species	Persistently rare
OTU_791	58	0.6444444444444445	22	0.24444444444444444	7.438887957337482e-5	7.655880518871129e-5	5.902839265686796e-4	124	FALSE	0.1	0.23333333333333334	0.4	FALSE	FALSE	FALSE	Family	Gemmatimonadaceae	F · Gemmatimonadaceae	Bacteria > Gemmatimonadetes > Gemmatimonadetes > Gemmatimonadales > Gemmatimonadaceae > Unknown genus > Unknown species	Persistently rare
OTU_5644	15	0.16666666666666666	3	0.03333333333333333	1.6585269576593478e-5	1.5435242981595016e-5	3.9771974015643646e-4	25	FALSE	0.03333333333333333	0.03333333333333333	0.03333333333333333	FALSE	FALSE	FALSE	Class	Bacteroidetes BD2-2	C · Bacteroidetes BD2-2	Bacteria > Bacteroidetes > Bacteroidetes BD2-2 > Unknown order > Unknown family > Unknown genus > Unknown species	Persistently rare
OTU_1628	39	0.43333333333333335	17	0.18888888888888888	9.39701301531709e-5	8.149808294282169e-5	0.0012075211316198034	132	FALSE	0	0.36666666666666664	0.2	FALSE	FALSE	FALSE	Genus	Thermoanaerobaculum	G · Thermoanaerobaculum	Bacteria > Acidobacteria > Holophagae > Holophagae Incertae Sedis > Unknown family > Thermoanaerobaculum > Unknown species	Intermediate
OTU_4304	63	0.7	38	0.4222222222222222	1.5379848069727766e-4	1.5311761037742257e-4	0.0010643015521064302	248	FALSE	0.5333333333333333	0.16666666666666666	0.5666666666666667	FALSE	FALSE	FALSE	Order	Subgroup 6	O · Subgroup 6	Bacteria > Acidobacteria > Acidobacteria > Subgroup 6 > Unknown family > Unknown genus > Unknown species	Intermediate
OTU_41	88	0.9777777777777777	78	0.8666666666666667	0.0012158504703719054	0.0013243438478208523	0.04235037465616997	2145	TRUE	0.7	0.9	1	FALSE	TRUE	TRUE	Order	PeM15	O · PeM15	Bacteria > Actinobacteria > Actinobacteria > PeM15 > Unknown family > Unknown genus > Unknown species	Primary core
OTU_59	89	0.9888888888888889	76	0.8444444444444444	0.004065472880655992	0.003953274432446116	0.06117976502100201	6403	TRUE	0.6333333333333333	0.9	1	FALSE	TRUE	TRUE	Family	Draconibacteriaceae	F · Draconibacteriaceae	Bacteria > Bacteroidetes > Bacteroidia > Bacteroidia Incertae Sedis > Draconibacteriaceae > Unknown genus > Unknown species	Primary core
OTU_792	75	0.8333333333333334	47	0.5222222222222223	0.00016984800917931449	1.6793544363975378e-4	0.0012665515256188831	272	FALSE	0.5	0.4666666666666667	0.6	FALSE	FALSE	FALSE	Order	Rhizobiales	O · Rhizobiales	Bacteria > Proteobacteria > Alphaproteobacteria > Rhizobiales > Unknown family > Unknown genus > Unknown species	Intermediate
OTU_2733	75	0.8333333333333334	50	0.5555555555555556	4.321803463612831e-4	4.766403032716541e-4	0.004370951603559956	772	FALSE	0.8333333333333334	0.4	0.43333333333333335	TRUE	FALSE	FALSE	Family	RB41	F · RB41	Bacteria > Acidobacteria > Acidobacteria > Subgroup 4 > RB41 > Unknown genus > Unknown species	Intermediate
OTU_1844	10	0.1111111111111111	1	0.011111111111111112	8.373346959534592e-6	8.026326350429408e-6	1.0658140154543032e-4	13	FALSE	0	0.03333333333333333	0	FALSE	FALSE	FALSE	Family	Syntrophaceae	F · Syntrophaceae	Bacteria > Proteobacteria > Deltaproteobacteria > Syntrophobacterales > Syntrophaceae > Unknown genus > Unknown species	Persistently rare
OTU_609	51	0.5666666666666667	28	0.3111111111111111	3.244742271791712e-4	3.154963665438021e-4	0.008188601994320808	511	FALSE	0.06666666666666667	0.26666666666666666	0.6	FALSE	FALSE	FALSE	Phylum	Aminicenantes	P · Aminicenantes	Bacteria > Aminicenantes > Unknown class > Unknown order > Unknown family > Unknown genus > Unknown species	Intermediate
OTU_2563	25	0.2777777777777778	11	0.12222222222222222	4.131120782111948e-5	4.692313866404885e-5	3.578457684737878e-4	76	FALSE	0.2	0.1	0.06666666666666667	FALSE	FALSE	FALSE	Family	AKYH478	F · AKYH478	Bacteria > Proteobacteria > Alphaproteobacteria > Rhodospirillales > AKYH478 > Unknown genus > Unknown species	Persistently rare
OTU_6273	11	0.12222222222222222	2	0.022222222222222223	8.084145521137798e-6	8.026326350429408e-6	1.1483033817534593e-4	13	FALSE	0	0	0.06666666666666667	FALSE	FALSE	FALSE	Order	MSBL9	O · MSBL9	Bacteria > Planctomycetes > Phycisphaerae > MSBL9 > Unknown family > Unknown genus > Unknown species	Persistently rare
OTU_1069	66	0.7333333333333333	44	0.4888888888888889	1.9790198000607963e-4	1.913970129717782e-4	0.0020738920039941626	310	FALSE	0.6333333333333333	0.43333333333333335	0.4	FALSE	FALSE	FALSE	Order	Acidimicrobiales	O · Acidimicrobiales	Bacteria > Actinobacteria > Acidimicrobiia > Acidimicrobiales > Unknown family > Unknown genus > Unknown species	Intermediate
OTU_5789	8	0.08888888888888889	0	0	4.716906588657751e-6	4.9392777541104055e-6	8.910273545397844e-5	8	FALSE	0	0	0	FALSE	FALSE	FALSE	Order	JG30-KF-AS9	O · JG30-KF-AS9	Bacteria > Chloroflexi > Ktedonobacteria > JG30-KF-AS9 > Unknown family > Unknown genus > Unknown species	Persistently rare
OTU_6231	5	0.05555555555555555	1	0.011111111111111112	6.7292424101156905e-6	4.9392777541104055e-6	3.18420633657061e-4	8	FALSE	0	0.03333333333333333	0	FALSE	FALSE	FALSE	Family	Marinilabiaceae	F · Marinilabiaceae	Bacteria > Bacteroidetes > Bacteroidia > Bacteroidales > Marinilabiaceae > Unknown genus > Unknown species	Persistently rare
OTU_2753	29	0.32222222222222224	13	0.14444444444444443	7.524696471556585e-5	7.347175659239228e-5	0.0021817764253315728	119	FALSE	0.16666666666666666	0.06666666666666667	0.2	FALSE	FALSE	FALSE	Genus	Methanobacterium	G · Methanobacterium	Archaea > Euryarchaeota > Methanobacteria > Methanobacteriales > Methanobacteriaceae > Methanobacterium > Unknown species	Intermediate
OTU_3210	24	0.26666666666666666	12	0.13333333333333333	3.5488952189294e-5	3.9514222032883244e-5	4.121283485428319e-4	64	FALSE	0.06666666666666667	0.03333333333333333	0.3	FALSE	FALSE	FALSE	Order	vadinBA26	O · vadinBA26	Bacteria > Chloroflexi > Dehalococcoidia > vadinBA26 > Unknown family > Unknown genus > Unknown species	Persistently rare
OTU_2811	12	0.13333333333333333	3	0.03333333333333333	1.067296947193123e-5	9.261145788957009e-6	1.6248273620927777e-4	15	FALSE	0.03333333333333333	0.06666666666666667	0	FALSE	FALSE	FALSE	Family	Anaerolineaceae	F · Anaerolineaceae	Bacteria > Chloroflexi > Anaerolineae > Anaerolineales > Anaerolineaceae > Unknown genus > Unknown species	Persistently rare
OTU_5031	36	0.4	20	0.2222222222222222	1.0330843205342477e-4	9.87855550822081e-5	0.0014157925220413155	160	FALSE	0.03333333333333333	0.06666666666666667	0.5666666666666667	FALSE	FALSE	FALSE	Order	Subgroup 6	O · Subgroup 6	Bacteria > Acidobacteria > Acidobacteria > Subgroup 6 > Unknown family > Unknown genus > Unknown species	Intermediate
OTU_3989	14	0.15555555555555556	5	0.05555555555555555	1.6011218562273212e-5	1.6052652700858816e-5	2.315886984715146e-4	26	FALSE	0.03333333333333333	0.03333333333333333	0.1	FALSE	FALSE	FALSE	Genus	Methylobacter	G · Methylobacter	Bacteria > Proteobacteria > Gammaproteobacteria > Methylococcales > Methylococcaceae > Methylobacter > Unknown species	Persistently rare
OTU_4050	28	0.3111111111111111	14	0.15555555555555556	1.1850487461791077e-4	1.3212567992245333e-4	0.0017573696145124717	214	FALSE	0.4666666666666667	0	0	FALSE	FALSE	FALSE	Order	Subgroup 15	O · Subgroup 15	Bacteria > Acidobacteria > Acidobacteria > Subgroup 15 > Unknown family > Unknown genus > Unknown species	Intermediate
OTU_52	89	0.9888888888888889	87	0.9666666666666667	0.0015234330385951657	0.0015657510480529984	0.010373066424021839	2536	TRUE	1	0.9	1	TRUE	TRUE	TRUE	Genus	Bradyrhizobium	G · Bradyrhizobium	Bacteria > Proteobacteria > Alphaproteobacteria > Rhizobiales > Bradyrhizobiaceae > Bradyrhizobium > Unknown species	Primary core
OTU_9583	17	0.18888888888888888	4	0.044444444444444446	2.2777566202296544e-5	1.7287472139386417e-5	5.789270551910459e-4	28	FALSE	0	0.13333333333333333	0	FALSE	FALSE	FALSE	Order	Gaiellales	O · Gaiellales	Bacteria > Actinobacteria > Thermoleophilia > Gaiellales > Unknown family > Unknown genus > Unknown species	Persistently rare
OTU_6499	51	0.5666666666666667	30	0.3333333333333333	1.2569161789018467e-4	1.1113374946748412e-4	0.0020548853241415884	180	FALSE	0.1	0.5666666666666667	0.3333333333333333	FALSE	FALSE	FALSE	Genus	Roseomonas	G · Roseomonas	Bacteria > Proteobacteria > Alphaproteobacteria > Rhodospirillales > Acetobacteraceae > Roseomonas > Unknown species	Intermediate
