SampleID	GroupCode	LibrarySize	DetectionThreshold	DetectionLabel	MinimumReads
S26	IW	35104	1e-4	0.01%	4
S26	IW	35104	5e-4	0.05%	18
S26	IW	35104	0.001	0.1%	36
S27	IW	16624	0	Presence	1
S27	IW	16624	1e-4	0.01%	2
S27	IW	16624	5e-4	0.05%	9
S27	IW	16624	0.001	0.1%	17
S28	IW	25853	0	Presence	1
S28	IW	25853	1e-4	0.01%	3
S28	IW	25853	5e-4	0.05%	13
S28	IW	25853	0.001	0.1%	26
S30	IW	12291	0	Presence	1
S30	IW	12291	1e-4	0.01%	2
S30	IW	12291	5e-4	0.05%	7
S30	IW	12291	0.001	0.1%	13
S34	IW	18989	0	Presence	1
S34	IW	18989	1e-4	0.01%	2
S34	IW	18989	5e-4	0.05%	10
S34	IW	18989	0.001	0.1%	19
S35	IW	11275	0	Presence	1
S35	IW	11275	1e-4	0.01%	2
S35	IW	11275	5e-4	0.05%	6
S35	IW	11275	0.001	0.1%	12
S36	IW	13034	0	Presence	1
S36	IW	13034	1e-4	0.01%	2
S36	IW	13034	5e-4	0.05%	7
S36	IW	13034	0.001	0.1%	14
S37	IW	16809	0	Presence	1
S37	IW	16809	1e-4	0.01%	2
S37	IW	16809	5e-4	0.05%	9
S37	IW	16809	0.001	0.1%	17
S61	CW	14698	0	Presence	1
S61	CW	14698	1e-4	0.01%	2
S61	CW	14698	5e-4	0.05%	8
S61	CW	14698	0.001	0.1%	15
S62	CW	15680	0	Presence	1
S62	CW	15680	1e-4	0.01%	2
S62	CW	15680	5e-4	0.05%	8
S62	CW	15680	0.001	0.1%	16
S63	CW	15609	0	Presence	1
S63	CW	15609	1e-4	0.01%	2
S63	CW	15609	5e-4	0.05%	8
S63	CW	15609	0.001	0.1%	16
S65	CW	34398	0	Presence	1
S65	CW	34398	1e-4	0.01%	4
S65	CW	34398	5e-4	0.05%	18
S65	CW	34398	0.001	0.1%	35
S85	CW	15864	0	Presence	1
S85	CW	15864	1e-4	0.01%	2
S85	CW	15864	5e-4	0.05%	8
S85	CW	15864	0.001	0.1%	16
S86	CW	15086	0	Presence	1
S86	CW	15086	1e-4	0.01%	2
S86	CW	15086	5e-4	0.05%	8
S86	CW	15086	0.001	0.1%	16
S87	CW	13090	0	Presence	1
S87	CW	13090	1e-4	0.01%	2
S87	CW	13090	5e-4	0.05%	7
S87	CW	13090	0.001	0.1%	14
S88	CW	15375	0	Presence	1
S88	CW	15375	1e-4	0.01%	2
S88	CW	15375	5e-4	0.05%	8
S88	CW	15375	0.001	0.1%	16
S89	CW	20685	0	Presence	1
S89	CW	20685	1e-4	0.01%	3
S89	CW	20685	5e-4	0.05%	11
S89	CW	20685	0.001	0.1%	21
S112	CW	18765	0	Presence	1
S112	CW	18765	1e-4	0.01%	2
S112	CW	18765	5e-4	0.05%	10
S112	CW	18765	0.001	0.1%	19
S113	CW	31578	0	Presence	1
S113	CW	31578	1e-4	0.01%	4
S113	CW	31578	5e-4	0.05%	16
S113	CW	31578	0.001	0.1%	32
S114	CW	30628	0	Presence	1
S114	CW	30628	1e-4	0.01%	4
S114	CW	30628	5e-4	0.05%	16
S114	CW	30628	0.001	0.1%	31
S161	CW	14746	0	Presence	1
S161	CW	14746	1e-4	0.01%	2
S161	CW	14746	5e-4	0.05%	8
S161	CW	14746	0.001	0.1%	15
S162	CW	20882	0	Presence	1
S162	CW	20882	1e-4	0.01%	3
S162	CW	20882	5e-4	0.05%	11
S162	CW	20882	0.001	0.1%	21
S164	CW	10674	0	Presence	1
S164	CW	10674	1e-4	0.01%	2
S164	CW	10674	5e-4	0.05%	6
S164	CW	10674	0.001	0.1%	11
S165	CW	13592	0	Presence	1
S165	CW	13592	1e-4	0.01%	2
S165	CW	13592	5e-4	0.05%	7
S165	CW	13592	0.001	0.1%	14
S166	CW	14975	0	Presence	1
S166	CW	14975	1e-4	0.01%	2
S166	CW	14975	5e-4	0.05%	8
S166	CW	14975	0.001	0.1%	15
S167	CW	12562	0	Presence	1
S167	CW	12562	1e-4	0.01%	2
S167	CW	12562	5e-4	0.05%	7
S167	CW	12562	0.001	0.1%	13
S168	CW	10364	0	Presence	1
S168	CW	10364	1e-4	0.01%	2
S168	CW	10364	5e-4	0.05%	6
S168	CW	10364	0.001	0.1%	11
S169	CW	21929	0	Presence	1
S169	CW	21929	1e-4	0.01%	3
S169	CW	21929	5e-4	0.05%	11
S169	CW	21929	0.001	0.1%	22
S170	CW	13259	0	Presence	1
S170	CW	13259	1e-4	0.01%	2
S170	CW	13259	5e-4	0.05%	7
S170	CW	13259	0.001	0.1%	14
S171	CW	15143	0	Presence	1
S171	CW	15143	1e-4	0.01%	2
S171	CW	15143	5e-4	0.05%	8
S171	CW	15143	0.001	0.1%	16
S172	CW	15230	0	Presence	1
S172	CW	15230	1e-4	0.01%	2
S172	CW	15230	5e-4	0.05%	8
S172	CW	15230	0.001	0.1%	16
S173	CW	11362	0	Presence	1
S173	CW	11362	1e-4	0.01%	2
S173	CW	11362	5e-4	0.05%	6
S173	CW	11362	0.001	0.1%	12
S174	CW	12288	0	Presence	1
S174	CW	12288	1e-4	0.01%	2
S174	CW	12288	5e-4	0.05%	7
S174	CW	12288	0.001	0.1%	13
S175	CW	12201	0	Presence	1
S175	CW	12201	1e-4	0.01%	2
S175	CW	12201	5e-4	0.05%	7
S175	CW	12201	0.001	0.1%	13
S176	CW	14640	0	Presence	1
S176	CW	14640	1e-4	0.01%	2
S176	CW	14640	5e-4	0.05%	8
S176	CW	14640	0.001	0.1%	15
S177	CW	11140	0	Presence	1
S177	CW	11140	1e-4	0.01%	2
S177	CW	11140	5e-4	0.05%	6
S177	CW	11140	0.001	0.1%	12
S179	CW	10365	0	Presence	1
S179	CW	10365	1e-4	0.01%	2
S179	CW	10365	5e-4	0.05%	6
S179	CW	10365	0.001	0.1%	11
S182	CW	13019	0	Presence	1
S182	CW	13019	1e-4	0.01%	2
S182	CW	13019	5e-4	0.05%	7
S182	CW	13019	0.001	0.1%	14
S187	TW	25908	0	Presence	1
S187	TW	25908	1e-4	0.01%	3
S187	TW	25908	5e-4	0.05%	13
S187	TW	25908	0.001	0.1%	26
S188	TW	15143	0	Presence	1
S188	TW	15143	1e-4	0.01%	2
S188	TW	15143	5e-4	0.05%	8
S188	TW	15143	0.001	0.1%	16
S191	TW	11594	0	Presence	1
S191	TW	11594	1e-4	0.01%	2
S191	TW	11594	5e-4	0.05%	6
S191	TW	11594	0.001	0.1%	12
S194	TW	14479	0	Presence	1
S194	TW	14479	1e-4	0.01%	2
S194	TW	14479	5e-4	0.05%	8
S194	TW	14479	0.001	0.1%	15
S196	TW	16626	0	Presence	1
S196	TW	16626	1e-4	0.01%	2
S196	TW	16626	5e-4	0.05%	9
S196	TW	16626	0.001	0.1%	17
S197	TW	14934	0	Presence	1
S197	TW	14934	1e-4	0.01%	2
S197	TW	14934	5e-4	0.05%	8
S197	TW	14934	0.001	0.1%	15
S198	TW	17006	0	Presence	1
S198	TW	17006	1e-4	0.01%	2
S198	TW	17006	5e-4	0.05%	9
S198	TW	17006	0.001	0.1%	18
S201	TW	31839	0	Presence	1
S201	TW	31839	1e-4	0.01%	4
S201	TW	31839	5e-4	0.05%	16
S201	TW	31839	0.001	0.1%	32
S202	TW	21086	0	Presence	1
S202	TW	21086	1e-4	0.01%	3
S202	TW	21086	5e-4	0.05%	11
S202	TW	21086	0.001	0.1%	22
S203	TW	16941	0	Presence	1
S203	TW	16941	1e-4	0.01%	2
S203	TW	16941	5e-4	0.05%	9
S203	TW	16941	0.001	0.1%	17
S204	TW	11920	0	Presence	1
S204	TW	11920	1e-4	0.01%	2
S204	TW	11920	5e-4	0.05%	6
S204	TW	11920	0.001	0.1%	12
S205	TW	12491	0	Presence	1
S205	TW	12491	1e-4	0.01%	2
S205	TW	12491	5e-4	0.05%	7
S205	TW	12491	0.001	0.1%	13
S206	TW	10672	0	Presence	1
S206	TW	10672	1e-4	0.01%	2
S206	TW	10672	5e-4	0.05%	6
S206	TW	10672	0.001	0.1%	11
S207	TW	16427	0	Presence	1
S207	TW	16427	1e-4	0.01%	2
S207	TW	16427	5e-4	0.05%	9
S207	TW	16427	0.001	0.1%	17
S208	TW	11223	0	Presence	1
S208	TW	11223	1e-4	0.01%	2
S208	TW	11223	5e-4	0.05%	6
S208	TW	11223	0.001	0.1%	12
S209	TW	12991	0	Presence	1
S209	TW	12991	1e-4	0.01%	2
S209	TW	12991	5e-4	0.05%	7
S209	TW	12991	0.001	0.1%	13
S210	TW	25846	0	Presence	1
S210	TW	25846	1e-4	0.01%	3
S210	TW	25846	5e-4	0.05%	13
S210	TW	25846	0.001	0.1%	26
S213	TW	15440	0	Presence	1
S213	TW	15440	1e-4	0.01%	2
S213	TW	15440	5e-4	0.05%	8
S213	TW	15440	0.001	0.1%	16
S214	TW	16604	0	Presence	1
S214	TW	16604	1e-4	0.01%	2
S214	TW	16604	5e-4	0.05%	9
S214	TW	16604	0.001	0.1%	17
S215	TW	18461	0	Presence	1
S215	TW	18461	1e-4	0.01%	2
S215	TW	18461	5e-4	0.05%	10
S215	TW	18461	0.001	0.1%	19
S216	TW	13572	0	Presence	1
S216	TW	13572	1e-4	0.01%	2
S216	TW	13572	5e-4	0.05%	7
S216	TW	13572	0.001	0.1%	14
S217	TW	28229	0	Presence	1
S217	TW	28229	1e-4	0.01%	3
S217	TW	28229	5e-4	0.05%	15
S217	TW	28229	0.001	0.1%	29
S218	TW	24813	0	Presence	1
S218	TW	24813	1e-4	0.01%	3
S218	TW	24813	5e-4	0.05%	13
S218	TW	24813	0.001	0.1%	25
S219	TW	14303	0	Presence	1
S219	TW	14303	1e-4	0.01%	2
S219	TW	14303	5e-4	0.05%	8
S219	TW	14303	0.001	0.1%	15
S220	TW	10597	0	Presence	1
S220	TW	10597	1e-4	0.01%	2
S220	TW	10597	5e-4	0.05%	6
S220	TW	10597	0.001	0.1%	11
S221	TW	15539	0	Presence	1
S221	TW	15539	1e-4	0.01%	2
S221	TW	15539	5e-4	0.05%	8
S221	TW	15539	0.001	0.1%	16
S222	TW	17704	0	Presence	1
S222	TW	17704	1e-4	0.01%	2
S222	TW	17704	5e-4	0.05%	9
S222	TW	17704	0.001	0.1%	18
S223	TW	19783	0	Presence	1
S223	TW	19783	1e-4	0.01%	2
S223	TW	19783	5e-4	0.05%	10
S223	TW	19783	0.001	0.1%	20
S224	TW	17417	0	Presence	1
S224	TW	17417	1e-4	0.01%	2
S224	TW	17417	5e-4	0.05%	9
S224	TW	17417	0.001	0.1%	18
S225	TW	33970	0	Presence	1
S225	TW	33970	1e-4	0.01%	4
S225	TW	33970	5e-4	0.05%	17
S225	TW	33970	0.001	0.1%	34
