ScopeCode	Scope	Samples	FeatureID	DetectedSamples	Prevalence	EqualSampleMean	BestRank	BestTaxon	Lineage
Global	All samples	90	OTU_592	78	0.8666666666666667	5.397918277793335e-4	Genus	Illumatobacter	Bacteria > Actinobacteria > Acidimicrobiia > Acidimicrobiales > Acidimicrobiaceae > Illumatobacter > Unknown species
Global	All samples	90	OTU_5	90	1	0.004339284931053062	Genus	Thiobacillus	Bacteria > Proteobacteria > Betaproteobacteria > Hydrogenophilales > Hydrogenophilaceae > Thiobacillus > Unknown species
Global	All samples	90	OTU_84	81	0.9	0.00281617384399388	Genus	Illumatobacter	Bacteria > Actinobacteria > Acidimicrobiia > Acidimicrobiales > Acidimicrobiaceae > Illumatobacter > Unknown species
Global	All samples	90	OTU_31	90	1	0.0028172518861042527	Family	Xanthomonadales Incertae Sedis	Bacteria > Proteobacteria > Gammaproteobacteria > Xanthomonadales > Xanthomonadales Incertae Sedis > Unknown genus > Unknown species
Global	All samples	90	OTU_22	79	0.8777777777777778	9.46730595250589e-4	Family	Xanthomonadales Incertae Sedis	Bacteria > Proteobacteria > Gammaproteobacteria > Xanthomonadales > Xanthomonadales Incertae Sedis > Unknown genus > Unknown species
Global	All samples	90	OTU_16	90	1	0.003803875934070899	Class	KD4-96	Bacteria > Chloroflexi > KD4-96 > Unknown order > Unknown family > Unknown genus > Unknown species
Global	All samples	90	OTU_255	84	0.9333333333333333	0.0012203439718729992	Family	Gemmatimonadaceae	Bacteria > Gemmatimonadetes > Gemmatimonadetes > Gemmatimonadales > Gemmatimonadaceae > Unknown genus > Unknown species
Global	All samples	90	OTU_12	90	1	0.006985598764305498	Class	Bacteroidetes vadinHA17	Bacteria > Bacteroidetes > Bacteroidetes vadinHA17 > Unknown order > Unknown family > Unknown genus > Unknown species
Global	All samples	90	OTU_800	80	0.8888888888888888	6.08689176725635e-4	Order	Subgroup 6	Bacteria > Acidobacteria > Acidobacteria > Subgroup 6 > Unknown family > Unknown genus > Unknown species
Global	All samples	90	OTU_8	87	0.9666666666666667	0.004147366594134879	Genus	Planomicrobium	Bacteria > Firmicutes > Bacilli > Bacillales > Planococcaceae > Planomicrobium > Unknown species
Global	All samples	90	OTU_169	87	0.9666666666666667	0.0012822702005442763	Genus	Thiobacillus	Bacteria > Proteobacteria > Betaproteobacteria > Hydrogenophilales > Hydrogenophilaceae > Thiobacillus > Unknown species
Global	All samples	90	OTU_15	74	0.8222222222222222	0.0022634395281584006	Order	Subgroup 23	Bacteria > Acidobacteria > Holophagae > Subgroup 23 > Unknown family > Unknown genus > Unknown species
Global	All samples	90	OTU_318	90	1	0.0021267758029846467	Class	KD4-96	Bacteria > Chloroflexi > KD4-96 > Unknown order > Unknown family > Unknown genus > Unknown species
Global	All samples	90	OTU_195	82	0.9111111111111111	8.71910807351341e-4	Family	Comamonadaceae	Bacteria > Proteobacteria > Betaproteobacteria > Burkholderiales > Comamonadaceae > Unknown genus > Unknown species
Global	All samples	90	OTU_832	74	0.8222222222222222	5.772235439225758e-4	Genus	Gaiella	Bacteria > Actinobacteria > Thermoleophilia > Gaiellales > Gaiellaceae > Gaiella > Unknown species
Global	All samples	90	OTU_25	90	1	0.0033040886842538907	Class	KD4-96	Bacteria > Chloroflexi > KD4-96 > Unknown order > Unknown family > Unknown genus > Unknown species
Global	All samples	90	OTU_434	75	0.8333333333333334	9.565281645004894e-4	Family	Nitrospinaceae	Bacteria > Proteobacteria > Deltaproteobacteria > Desulfobacterales > Nitrospinaceae > Unknown genus > Unknown species
Global	All samples	90	OTU_102	87	0.9666666666666667	0.002491760698708417	Family	Nitrosomonadaceae	Bacteria > Proteobacteria > Betaproteobacteria > Nitrosomonadales > Nitrosomonadaceae > Unknown genus > Unknown species
Global	All samples	90	OTU_5117	74	0.8222222222222222	5.584761697992731e-4	Family	Comamonadaceae	Bacteria > Proteobacteria > Betaproteobacteria > Burkholderiales > Comamonadaceae > Unknown genus > Unknown species
Global	All samples	90	OTU_78	75	0.8333333333333334	8.085726118258217e-4	Family	Verrucomicrobiaceae	Bacteria > Verrucomicrobia > Verrucomicrobiae > Verrucomicrobiales > Verrucomicrobiaceae > Unknown genus > Unknown species
Global	All samples	90	OTU_218	74	0.8222222222222222	5.727372318668279e-4	Genus	Devosia	Bacteria > Proteobacteria > Alphaproteobacteria > Rhizobiales > Hyphomicrobiaceae > Devosia > Unknown species
Global	All samples	90	OTU_79	86	0.9555555555555556	0.0013994836503092762	Class	KD4-96	Bacteria > Chloroflexi > KD4-96 > Unknown order > Unknown family > Unknown genus > Unknown species
Global	All samples	90	OTU_275	86	0.9555555555555556	9.557023523404332e-4	Genus	Xenophilus	Bacteria > Proteobacteria > Betaproteobacteria > Burkholderiales > Comamonadaceae > Xenophilus > Unknown species
Global	All samples	90	OTU_105	84	0.9333333333333333	8.884443097001499e-4	Class	OPB35 soil group	Bacteria > Verrucomicrobia > OPB35 soil group > Unknown order > Unknown family > Unknown genus > Unknown species
Global	All samples	90	OTU_17	87	0.9666666666666667	0.0011942010890158496	Family	Rhodobacteraceae	Bacteria > Proteobacteria > Alphaproteobacteria > Rhodobacterales > Rhodobacteraceae > Unknown genus > Unknown species
Global	All samples	90	OTU_926	76	0.8444444444444444	7.52371291833489e-4	Family	Nitrosomonadaceae	Bacteria > Proteobacteria > Betaproteobacteria > Nitrosomonadales > Nitrosomonadaceae > Unknown genus > Unknown species
Global	All samples	90	OTU_6	79	0.8777777777777778	0.0017913318552329857	Class	Soil Crenarchaeotic Group(SCG)	Archaea > Thaumarchaeota > Soil Crenarchaeotic Group(SCG) > Unknown order > Unknown family > Unknown genus > Unknown species
Global	All samples	90	OTU_220	82	0.9111111111111111	0.003070821653559184	Genus	Marinicella	Bacteria > Proteobacteria > Gammaproteobacteria > Order Incertae Sedis > Family Incertae Sedis > Marinicella > Unknown species
Global	All samples	90	OTU_49	75	0.8333333333333334	0.0011567016937109635	Family	DA101 soil group	Bacteria > Verrucomicrobia > Spartobacteria > Chthoniobacterales > DA101 soil group > Unknown genus > Unknown species
Global	All samples	90	OTU_11	79	0.8777777777777778	0.0032669803238779926	Genus	Sulfurovum	Bacteria > Proteobacteria > Epsilonproteobacteria > Campylobacterales > Helicobacteraceae > Sulfurovum > Unknown species
Global	All samples	90	OTU_372	82	0.9111111111111111	0.0010255132304243918	Order	Gaiellales	Bacteria > Actinobacteria > Thermoleophilia > Gaiellales > Unknown family > Unknown genus > Unknown species
Global	All samples	90	OTU_18	77	0.8555555555555555	8.854819882111064e-4	Family	RB41	Bacteria > Acidobacteria > Acidobacteria > Subgroup 4 > RB41 > Unknown genus > Unknown species
Global	All samples	90	OTU_72	73	0.8111111111111111	0.0010817578579138452	Genus	Blastocatella	Bacteria > Acidobacteria > Acidobacteria > Subgroup 4 > Unknown family > Blastocatella > Unknown species
Global	All samples	90	OTU_409	73	0.8111111111111111	5.602499378112011e-4	Family	Rhodobiaceae	Bacteria > Proteobacteria > Alphaproteobacteria > Rhizobiales > Rhodobiaceae > Unknown genus > Unknown species
Global	All samples	90	OTU_293	77	0.8555555555555555	5.090231643725696e-4	Order	Acidimicrobiales	Bacteria > Actinobacteria > Acidimicrobiia > Acidimicrobiales > Unknown family > Unknown genus > Unknown species
Global	All samples	90	OTU_1759	73	0.8111111111111111	4.2841405277188046e-4	Family	Comamonadaceae	Bacteria > Proteobacteria > Betaproteobacteria > Burkholderiales > Comamonadaceae > Unknown genus > Unknown species
Global	All samples	90	OTU_656	88	0.9777777777777777	0.0012316162062410158	Family	Comamonadaceae	Bacteria > Proteobacteria > Betaproteobacteria > Burkholderiales > Comamonadaceae > Unknown genus > Unknown species
Global	All samples	90	OTU_254	88	0.9777777777777777	0.0015835022439275085	Order	Subgroup 6	Bacteria > Acidobacteria > Acidobacteria > Subgroup 6 > Unknown family > Unknown genus > Unknown species
Global	All samples	90	OTU_40	85	0.9444444444444444	0.0012225116810908496	Genus	Sphingomonas	Bacteria > Proteobacteria > Alphaproteobacteria > Sphingomonadales > Sphingomonadaceae > Sphingomonas > Unknown species
Global	All samples	90	OTU_146	84	0.9333333333333333	6.755129176376049e-4	Order	Gaiellales	Bacteria > Actinobacteria > Thermoleophilia > Gaiellales > Unknown family > Unknown genus > Unknown species
Global	All samples	90	OTU_459	81	0.9	6.549124171691587e-4	Family	Intrasporangiaceae	Bacteria > Actinobacteria > Actinobacteria > Micrococcales > Intrasporangiaceae > Unknown genus > Unknown species
Global	All samples	90	OTU_115	84	0.9333333333333333	0.001043657957653747	Family	Nitrospiraceae	Bacteria > Nitrospirae > Nitrospira > Nitrospirales > Nitrospiraceae > Unknown genus > Unknown species
Global	All samples	90	OTU_578	75	0.8333333333333334	0.0012687171347194682	Class	Bacteroidetes vadinHA17	Bacteria > Bacteroidetes > Bacteroidetes vadinHA17 > Unknown order > Unknown family > Unknown genus > Unknown species
Global	All samples	90	OTU_82	85	0.9444444444444444	0.0033700798688022222	Genus	Sphingomonas	Bacteria > Proteobacteria > Alphaproteobacteria > Sphingomonadales > Sphingomonadaceae > Sphingomonas > Unknown species
Global	All samples	90	OTU_496	84	0.9333333333333333	0.0010672962606485333	Genus	Acidovorax	Bacteria > Proteobacteria > Betaproteobacteria > Burkholderiales > Comamonadaceae > Acidovorax > Unknown species
Global	All samples	90	OTU_781	76	0.8444444444444444	4.918619751645447e-4	Genus	Candidatus Nitrotoga	Bacteria > Proteobacteria > Betaproteobacteria > Nitrosomonadales > Gallionellaceae > Candidatus Nitrotoga > Unknown species
Global	All samples	90	OTU_88	80	0.8888888888888888	0.0015919802576289032	Genus	Lysobacter	Bacteria > Proteobacteria > Gammaproteobacteria > Xanthomonadales > Xanthomonadaceae > Lysobacter > Unknown species
Global	All samples	90	OTU_868	74	0.8222222222222222	4.705322666067157e-4	Genus	Mycobacterium	Bacteria > Actinobacteria > Actinobacteria > Corynebacteriales > Mycobacteriaceae > Mycobacterium > Unknown species
Global	All samples	90	OTU_114	75	0.8333333333333334	9.752173482901831e-4	Genus	Tropicimonas	Bacteria > Proteobacteria > Alphaproteobacteria > Rhodobacterales > Rhodobacteraceae > Tropicimonas > Unknown species
Global	All samples	90	OTU_747	81	0.9	5.295637735080567e-4	Class	KD4-96	Bacteria > Chloroflexi > KD4-96 > Unknown order > Unknown family > Unknown genus > Unknown species
Global	All samples	90	OTU_357	79	0.8777777777777778	0.0022490286229773235	Family	Comamonadaceae	Bacteria > Proteobacteria > Betaproteobacteria > Burkholderiales > Comamonadaceae > Unknown genus > Unknown species
Global	All samples	90	OTU_1747	72	0.8	3.437470307371118e-4	Genus	Variibacter	Bacteria > Proteobacteria > Alphaproteobacteria > Rhizobiales > Xanthobacteraceae > Variibacter > Unknown species
Global	All samples	90	OTU_135	89	0.9888888888888889	0.0015331993563722033	Class	Gitt-GS-136	Bacteria > Chloroflexi > Gitt-GS-136 > Unknown order > Unknown family > Unknown genus > Unknown species
Global	All samples	90	OTU_13	81	0.9	0.003295289131722974	Genus	Candidatus Solibacter	Bacteria > Acidobacteria > Acidobacteria > Subgroup 3 > Unknown family > Candidatus Solibacter > Unknown species
Global	All samples	90	OTU_73	89	0.9888888888888889	0.002447311356679798	Genus	Thiobacillus	Bacteria > Proteobacteria > Betaproteobacteria > Hydrogenophilales > Hydrogenophilaceae > Thiobacillus > Unknown species
Global	All samples	90	OTU_260	81	0.9	5.059470735160249e-4	Family	MNG7	Bacteria > Proteobacteria > Alphaproteobacteria > Rhizobiales > MNG7 > Unknown genus > Unknown species
Global	All samples	90	OTU_197	82	0.9111111111111111	7.789930065166549e-4	Order	Subgroup 7	Bacteria > Acidobacteria > Holophagae > Subgroup 7 > Unknown family > Unknown genus > Unknown species
Global	All samples	90	OTU_1112	83	0.9222222222222223	0.0010901306586861587	Genus	Acidovorax	Bacteria > Proteobacteria > Betaproteobacteria > Burkholderiales > Comamonadaceae > Acidovorax > Unknown species
Global	All samples	90	OTU_292	74	0.8222222222222222	0.001330400219557765	Family	JG34-KF-161	Bacteria > Proteobacteria > Alphaproteobacteria > Sphingomonadales > JG34-KF-161 > Unknown genus > Unknown species
Global	All samples	90	OTU_164	73	0.8111111111111111	7.303172508975298e-4	Genus	Geobacter	Bacteria > Proteobacteria > Deltaproteobacteria > Desulfuromonadales > Geobacteraceae > Geobacter > Unknown species
Global	All samples	90	OTU_51	86	0.9555555555555556	0.002320979594041432	Family	DUNssu044	Bacteria > Proteobacteria > Alphaproteobacteria > Rhizobiales > DUNssu044 > Unknown genus > Unknown species
Global	All samples	90	OTU_33	75	0.8333333333333334	0.0011734623586232434	Family	BVA18	Bacteria > Proteobacteria > Deltaproteobacteria > Desulfuromonadales > BVA18 > Unknown genus > Unknown species
Global	All samples	90	OTU_28	87	0.9666666666666667	0.002422515803875429	Order	43F-1404R	Bacteria > Proteobacteria > Deltaproteobacteria > 43F-1404R > Unknown family > Unknown genus > Unknown species
Global	All samples	90	OTU_80	90	1	0.0033184944971392243	Genus	Sphingomonas	Bacteria > Proteobacteria > Alphaproteobacteria > Sphingomonadales > Sphingomonadaceae > Sphingomonas > Unknown species
Global	All samples	90	OTU_140	76	0.8444444444444444	0.0010571093674304022	Order	Subgroup 7	Bacteria > Acidobacteria > Holophagae > Subgroup 7 > Unknown family > Unknown genus > Unknown species
Global	All samples	90	OTU_150	86	0.9555555555555556	0.0017742491960657985	Order	Subgroup 6	Bacteria > Acidobacteria > Acidobacteria > Subgroup 6 > Unknown family > Unknown genus > Unknown species
Global	All samples	90	OTU_10	82	0.9111111111111111	0.0012331705718779179	Genus	Thermomonas	Bacteria > Proteobacteria > Gammaproteobacteria > Xanthomonadales > Xanthomonadaceae > Thermomonas > Unknown species
Global	All samples	90	OTU_62	87	0.9666666666666667	0.0022477041953909505	Family	Nitrosomonadaceae	Bacteria > Proteobacteria > Betaproteobacteria > Nitrosomonadales > Nitrosomonadaceae > Unknown genus > Unknown species
Global	All samples	90	OTU_20	78	0.8666666666666667	0.0018592562673877722	Class	KD4-96	Bacteria > Chloroflexi > KD4-96 > Unknown order > Unknown family > Unknown genus > Unknown species
Global	All samples	90	OTU_312	76	0.8444444444444444	5.353890184748474e-4	Genus	Variibacter	Bacteria > Proteobacteria > Alphaproteobacteria > Rhizobiales > Xanthobacteraceae > Variibacter > Unknown species
Global	All samples	90	OTU_61	77	0.8555555555555555	0.0014826128178788032	Genus	Lutibacter	Bacteria > Bacteroidetes > Flavobacteriia > Flavobacteriales > Flavobacteriaceae > Lutibacter > Unknown species
Global	All samples	90	OTU_457	75	0.8333333333333334	5.641177316582554e-4	Family	0319-6A21	Bacteria > Nitrospirae > Nitrospira > Nitrospirales > 0319-6A21 > Unknown genus > Unknown species
Global	All samples	90	OTU_119	77	0.8555555555555555	0.0010670502169655702	Genus	Pseudolabrys	Bacteria > Proteobacteria > Alphaproteobacteria > Rhizobiales > Xanthobacteraceae > Pseudolabrys > Unknown species
Global	All samples	90	OTU_208	75	0.8333333333333334	6.473689210045251e-4	Species	Ornithinibacter aureus	Bacteria > Actinobacteria > Actinobacteria > Micrococcales > Intrasporangiaceae > Ornithinibacter > Ornithinibacter aureus
Global	All samples	90	OTU_38	88	0.9777777777777777	0.001994606409876405	Genus	Cryobacterium	Bacteria > Actinobacteria > Actinobacteria > Micrococcales > Microbacteriaceae > Cryobacterium > Unknown species
Global	All samples	90	OTU_207	86	0.9555555555555556	0.001860796201441226	Order	Subgroup 7	Bacteria > Acidobacteria > Holophagae > Subgroup 7 > Unknown family > Unknown genus > Unknown species
Global	All samples	90	OTU_64	83	0.9222222222222223	0.0013806968068532572	Genus	Oryzihumus	Bacteria > Actinobacteria > Actinobacteria > Micrococcales > Intrasporangiaceae > Oryzihumus > Unknown species
Global	All samples	90	OTU_219	73	0.8111111111111111	0.0017671436118481695	Family	Xanthomonadaceae	Bacteria > Proteobacteria > Gammaproteobacteria > Xanthomonadales > Xanthomonadaceae > Unknown genus > Unknown species
Global	All samples	90	OTU_225	82	0.9111111111111111	8.303275724485587e-4	Genus	Variibacter	Bacteria > Proteobacteria > Alphaproteobacteria > Rhizobiales > Xanthobacteraceae > Variibacter > Unknown species
IW	Inland wetland	30	OTU_32	28	0.9333333333333333	0.0011985667539466942	Phylum	Miscellaneous Crenarchaeotic Group	Archaea > Miscellaneous Crenarchaeotic Group > Unknown class > Unknown order > Unknown family > Unknown genus > Unknown species
IW	Inland wetland	30	OTU_75	27	0.9	7.79076814303051e-4	Family	Rhodocyclaceae	Bacteria > Proteobacteria > Betaproteobacteria > Rhodocyclales > Rhodocyclaceae > Unknown genus > Unknown species
IW	Inland wetland	30	OTU_1	30	1	0.010140087637493926	Genus	Clostridium sensu stricto 13	Bacteria > Firmicutes > Clostridia > Clostridiales > Clostridiaceae 1 > Clostridium sensu stricto 13 > Unknown species
IW	Inland wetland	30	OTU_2733	25	0.8333333333333334	4.321803463612831e-4	Family	RB41	Bacteria > Acidobacteria > Acidobacteria > Subgroup 4 > RB41 > Unknown genus > Unknown species
IW	Inland wetland	30	OTU_52	30	1	0.0015234330385951657	Genus	Bradyrhizobium	Bacteria > Proteobacteria > Alphaproteobacteria > Rhizobiales > Bradyrhizobiaceae > Bradyrhizobium > Unknown species
IW	Inland wetland	30	OTU_23	30	1	0.0030354445089865543	Family	Alcaligenaceae	Bacteria > Proteobacteria > Betaproteobacteria > Burkholderiales > Alcaligenaceae > Unknown genus > Unknown species
IW	Inland wetland	30	OTU_2	30	1	0.008213118755311085	Genus	Arthrobacter	Bacteria > Actinobacteria > Actinobacteria > Micrococcales > Micrococcaceae > Arthrobacter > Unknown species
IW	Inland wetland	30	OTU_36	30	1	0.00418673390832859	Family	DA101 soil group	Bacteria > Verrucomicrobia > Spartobacteria > Chthoniobacterales > DA101 soil group > Unknown genus > Unknown species
IW	Inland wetland	30	OTU_192	30	1	0.0015682654244150004	Class	KD4-96	Bacteria > Chloroflexi > KD4-96 > Unknown order > Unknown family > Unknown genus > Unknown species
IW	Inland wetland	30	OTU_3	30	1	0.003382186259426206	Genus	Paenisporosarcina	Bacteria > Firmicutes > Bacilli > Bacillales > Planococcaceae > Paenisporosarcina > Unknown species
IW	Inland wetland	30	OTU_94	30	1	0.0013980338462897968	Family	Comamonadaceae	Bacteria > Proteobacteria > Betaproteobacteria > Burkholderiales > Comamonadaceae > Unknown genus > Unknown species
IW	Inland wetland	30	OTU_123	29	0.9666666666666667	0.0010032899285663756	Order	Subgroup 17	Bacteria > Acidobacteria > Acidobacteria > Subgroup 17 > Unknown family > Unknown genus > Unknown species
IW	Inland wetland	30	OTU_37	28	0.9333333333333333	0.001810222986385486	Order	Subgroup 6	Bacteria > Acidobacteria > Acidobacteria > Subgroup 6 > Unknown family > Unknown genus > Unknown species
IW	Inland wetland	30	OTU_5	30	1	0.004339284931053062	Genus	Thiobacillus	Bacteria > Proteobacteria > Betaproteobacteria > Hydrogenophilales > Hydrogenophilaceae > Thiobacillus > Unknown species
IW	Inland wetland	30	OTU_55	30	1	0.0016518685195773283	Family	RB41	Bacteria > Acidobacteria > Acidobacteria > Subgroup 4 > RB41 > Unknown genus > Unknown species
IW	Inland wetland	30	OTU_157	30	1	4.477695582537979e-4	Family	Geodermatophilaceae	Bacteria > Actinobacteria > Actinobacteria > Frankiales > Geodermatophilaceae > Unknown genus > Unknown species
IW	Inland wetland	30	OTU_31	30	1	0.0028172518861042527	Family	Xanthomonadales Incertae Sedis	Bacteria > Proteobacteria > Gammaproteobacteria > Xanthomonadales > Xanthomonadales Incertae Sedis > Unknown genus > Unknown species
IW	Inland wetland	30	OTU_16	30	1	0.003803875934070899	Class	KD4-96	Bacteria > Chloroflexi > KD4-96 > Unknown order > Unknown family > Unknown genus > Unknown species
IW	Inland wetland	30	OTU_255	29	0.9666666666666667	0.0012203439718729992	Family	Gemmatimonadaceae	Bacteria > Gemmatimonadetes > Gemmatimonadetes > Gemmatimonadales > Gemmatimonadaceae > Unknown genus > Unknown species
IW	Inland wetland	30	OTU_12	30	1	0.006985598764305498	Class	Bacteroidetes vadinHA17	Bacteria > Bacteroidetes > Bacteroidetes vadinHA17 > Unknown order > Unknown family > Unknown genus > Unknown species
IW	Inland wetland	30	OTU_443	24	0.8	4.775822174067391e-4	Genus	Azoarcus	Bacteria > Proteobacteria > Betaproteobacteria > Rhodocyclales > Rhodocyclaceae > Azoarcus > Unknown species
IW	Inland wetland	30	OTU_800	30	1	6.08689176725635e-4	Order	Subgroup 6	Bacteria > Acidobacteria > Acidobacteria > Subgroup 6 > Unknown family > Unknown genus > Unknown species
IW	Inland wetland	30	OTU_124	27	0.9	3.0580948855349186e-4	Family	KD3-10	Bacteria > Proteobacteria > Deltaproteobacteria > Myxococcales > KD3-10 > Unknown genus > Unknown species
IW	Inland wetland	30	OTU_1336	24	0.8	2.8020340869707e-4	Family	RB41	Bacteria > Acidobacteria > Acidobacteria > Subgroup 4 > RB41 > Unknown genus > Unknown species
IW	Inland wetland	30	OTU_8	30	1	0.004147366594134879	Genus	Planomicrobium	Bacteria > Firmicutes > Bacilli > Bacillales > Planococcaceae > Planomicrobium > Unknown species
IW	Inland wetland	30	OTU_169	29	0.9666666666666667	0.0012822702005442763	Genus	Thiobacillus	Bacteria > Proteobacteria > Betaproteobacteria > Hydrogenophilales > Hydrogenophilaceae > Thiobacillus > Unknown species
IW	Inland wetland	30	OTU_297	30	1	5.109652483598118e-4	Order	Subgroup 6	Bacteria > Acidobacteria > Acidobacteria > Subgroup 6 > Unknown family > Unknown genus > Unknown species
IW	Inland wetland	30	OTU_15	26	0.8666666666666667	0.0022634395281584006	Order	Subgroup 23	Bacteria > Acidobacteria > Holophagae > Subgroup 23 > Unknown family > Unknown genus > Unknown species
IW	Inland wetland	30	OTU_19	30	1	0.0029465913150672376	Class	KD4-96	Bacteria > Chloroflexi > KD4-96 > Unknown order > Unknown family > Unknown genus > Unknown species
IW	Inland wetland	30	OTU_318	30	1	0.0021267758029846467	Class	KD4-96	Bacteria > Chloroflexi > KD4-96 > Unknown order > Unknown family > Unknown genus > Unknown species
IW	Inland wetland	30	OTU_195	27	0.9	8.71910807351341e-4	Family	Comamonadaceae	Bacteria > Proteobacteria > Betaproteobacteria > Burkholderiales > Comamonadaceae > Unknown genus > Unknown species
IW	Inland wetland	30	OTU_214	25	0.8333333333333334	9.966245114094274e-4	Family	OM1 clade	Bacteria > Actinobacteria > Acidimicrobiia > Acidimicrobiales > OM1 clade > Unknown genus > Unknown species
IW	Inland wetland	30	OTU_7	30	1	5.767753419594598e-4	Genus	Clostridium sensu stricto 1	Bacteria > Firmicutes > Clostridia > Clostridiales > Clostridiaceae 1 > Clostridium sensu stricto 1 > Unknown species
IW	Inland wetland	30	OTU_97	26	0.8666666666666667	9.804435016751106e-4	Family	Anaerolineaceae	Bacteria > Chloroflexi > Anaerolineae > Anaerolineales > Anaerolineaceae > Unknown genus > Unknown species
IW	Inland wetland	30	OTU_832	25	0.8333333333333334	5.772235439225758e-4	Genus	Gaiella	Bacteria > Actinobacteria > Thermoleophilia > Gaiellales > Gaiellaceae > Gaiella > Unknown species
IW	Inland wetland	30	OTU_25	30	1	0.0033040886842538907	Class	KD4-96	Bacteria > Chloroflexi > KD4-96 > Unknown order > Unknown family > Unknown genus > Unknown species
IW	Inland wetland	30	OTU_5380	29	0.9666666666666667	4.816708676277777e-4	Family	Bradyrhizobiaceae	Bacteria > Proteobacteria > Alphaproteobacteria > Rhizobiales > Bradyrhizobiaceae > Unknown genus > Unknown species
IW	Inland wetland	30	OTU_233	28	0.9333333333333333	8.708275434194594e-4	Genus	Blastocatella	Bacteria > Acidobacteria > Acidobacteria > Subgroup 4 > Unknown family > Blastocatella > Unknown species
IW	Inland wetland	30	OTU_5851	25	0.8333333333333334	3.84518377964656e-4	Class	KD4-96	Bacteria > Chloroflexi > KD4-96 > Unknown order > Unknown family > Unknown genus > Unknown species
