FeatureID	SourceGenus	DisplayGenus	State	ExpectedProportion	ExpectedPercent
Desulfocurvus	Desulfocurvus	Desulfocurvus	DMM-A	1.875468518718508e-4	0.01875468518718508
Desulfovibrio	Desulfovibrio	Desulfovibrio	DMM-A	0.0016723487796441265	0.16723487796441266
Dialister	Dialister	Dialister	DMM-A	0.004160846193389763	0.4160846193389763
Dickeya	Dickeya	Dickeya	DMM-A	6.45027767281559e-6	6.45027767281559e-4
Dorea	Dorea	Dorea	DMM-A	0.01734916017677412	1.7349160176774119
Dysgonomonas	Dysgonomonas	Dysgonomonas	DMM-A	7.094051967549622e-5	0.007094051967549622
Eggerthella	Eggerthella	Eggerthella	DMM-A	0.0021505802071674195	0.21505802071674196
Enterobacter	Enterobacter	Enterobacter	DMM-A	6.4502774206566315e-6	6.450277420656631e-4
Enterococcus	Enterococcus	Enterococcus	DMM-A	2.0636754928631616e-4	0.020636754928631616
Enterorhabdus	Enterorhabdus	Enterorhabdus	DMM-A	7.094287172207728e-5	0.0070942871722077284
Escherichia/Shigella	Escherichia/Shigella	Escherichia/Shigella	DMM-A	2.0239238798485637e-4	0.02023923879848564
Ethanoligenens	Ethanoligenens	Ethanoligenens	DMM-A	8.467592725275793e-6	8.467592725275793e-4
Eubacterium	Eubacterium	Eubacterium	DMM-A	0.005161208683478011	0.5161208683478011
Faecalibacterium	Faecalibacterium	Faecalibacterium	DMM-A	0.13825801018176662	13.825801018176662
Fusobacterium	Fusobacterium	Fusobacterium	DMM-A	7.512921999399087e-6	7.512921999399087e-4
Gemella	Gemella	Gemella	DMM-A	7.090682638794854e-5	0.007090682638794854
Geosporobacter	Geosporobacter	Geosporobacter	DMM-A	6.450873451744681e-6	6.45087345174468e-4
Gordonibacter	Gordonibacter	Gordonibacter	DMM-A	7.885488765561134e-5	0.007885488765561135
Granulicatella	Granulicatella	Granulicatella	DMM-A	2.0646769850795265e-4	0.020646769850795266
Haemophilus	Haemophilus	Haemophilus	DMM-A	4.018631329774139e-4	0.04018631329774139
Hallella	Hallella	Hallella	DMM-A	6.4502774221295905e-6	6.45027742212959e-4
Hespellia	Hespellia	Hespellia	DMM-A	0.0068940007576292735	0.6894000757629274
Holdemania	Holdemania	Holdemania	DMM-A	0.0025001303274456593	0.25001303274456593
Hydrogenoanaerobacterium	Hydrogenoanaerobacterium	Hydrogenoanaerobacterium	DMM-A	7.060543816560684e-5	0.007060543816560684
Klebsiella	Klebsiella	Klebsiella	DMM-A	2.0572331663169674e-4	0.020572331663169675
Lachnobacterium	Lachnobacterium	Lachnobacterium	DMM-A	7.658826030992221e-4	0.0765882603099222
Lactobacillus	Lactobacillus	Lactobacillus	DMM-A	8.119439571770692e-4	0.08119439571770692
Lactococcus	Lactococcus	Lactococcus	DMM-A	5.276986299616248e-4	0.05276986299616248
Lactonifactor	Lactonifactor	Lactonifactor	DMM-A	0.0034344514390668626	0.34344514390668623
Leuconostoc	Leuconostoc	Leuconostoc	DMM-A	1.3383992023342884e-4	0.013383992023342884
Luteococcus	Luteococcus	Luteococcus	DMM-A	6.450277420656884e-6	6.450277420656884e-4
Marvinbryantia	Marvinbryantia	Marvinbryantia	DMM-A	4.314376702952392e-4	0.04314376702952392
Megamonas	Megamonas	Megamonas	DMM-A	1.3827249971826503e-4	0.013827249971826503
Megasphaera	Megasphaera	Megasphaera	DMM-A	0.002035436757728406	0.2035436757728406
Methylobacterium	Methylobacterium	Methylobacterium	DMM-A	7.094072527875685e-5	0.007094072527875685
Microbacterium	Microbacterium	Microbacterium	DMM-A	6.4504061898010835e-6	6.450406189801083e-4
Mitsuokella	Mitsuokella	Mitsuokella	DMM-A	6.453193259587358e-6	6.453193259587358e-4
Mobiluncus	Mobiluncus	Mobiluncus	DMM-A	6.4502774206566315e-6	6.450277420656631e-4
Moryella	Moryella	Moryella	DMM-A	6.45027742067265e-6	6.45027742067265e-4
Odoribacter	Odoribacter	Odoribacter	DMM-A	0.003206850216840702	0.3206850216840702
Olsenella	Olsenella	Olsenella	DMM-A	1.324988902091397e-4	0.013249889020913971
Oribacterium	Oribacterium	Oribacterium	DMM-A	0.0017138548001553015	0.17138548001553014
Oscillibacter	Oscillibacter	Oscillibacter	DMM-A	0.015905491481512032	1.5905491481512033
Oxalobacter	Oxalobacter	Oxalobacter	DMM-A	1.154804777553168e-5	0.001154804777553168
Papillibacter	Papillibacter	Papillibacter	DMM-A	9.61199122324636e-6	9.611991223246359e-4
Parabacteroides	Parabacteroides	Parabacteroides	DMM-A	0.004026292117049135	0.4026292117049135
Paraeggerthella	Paraeggerthella	Paraeggerthella	DMM-A	6.450277420656884e-6	6.450277420656884e-4
Paraprevotella	Paraprevotella	Paraprevotella	DMM-A	0.0010072968106159934	0.10072968106159934
Parasutterella	Parasutterella	Parasutterella	DMM-A	0.0036229552556576584	0.36229552556576583
Pediococcus	Pediococcus	Pediococcus	DMM-A	6.458400407236026e-6	6.458400407236026e-4
Pelomonas	Pelomonas	Pelomonas	DMM-A	6.45027742067265e-6	6.45027742067265e-4
Peptococcus	Peptococcus	Peptococcus	DMM-A	6.145722648287216e-5	0.006145722648287216
Peptostreptococcus	Peptostreptococcus	Peptostreptococcus	DMM-A	1.3588236871190322e-4	0.013588236871190323
Phascolarctobacterium	Phascolarctobacterium	Phascolarctobacterium	DMM-A	0.0028291815984043847	0.28291815984043844
Porphyromonas	Porphyromonas	Porphyromonas	DMM-A	6.450277486041368e-6	6.450277486041369e-4
Prevotella	Prevotella	Prevotella	DMM-A	0.0013779664521560504	0.13779664521560506
Propionibacterium	Propionibacterium	Propionibacterium	DMM-A	1.3056872880224567e-4	0.013056872880224567
Proteus	Proteus	Proteus	DMM-A	6.4502774206566315e-6	6.450277420656631e-4
Pseudobutyrivibrio	Pseudobutyrivibrio	Pseudobutyrivibrio	DMM-A	0.0016567117125352623	0.16567117125352623
Pyramidobacter	Pyramidobacter	Pyramidobacter	DMM-A	6.450278024992379e-6	6.450278024992379e-4
Ralstonia	Ralstonia	Ralstonia	DMM-A	6.497893089947221e-6	6.497893089947221e-4
Rhizobium	Rhizobium	Rhizobium	DMM-A	6.4502774206566315e-6	6.450277420656631e-4
Robinsoniella	Robinsoniella	Robinsoniella	DMM-A	3.2966759738569605e-4	0.032966759738569607
Roseburia	Roseburia	Roseburia	DMM-A	0.04467486595674717	4.467486595674717
Rothia	Rothia	Rothia	DMM-A	1.3541602834428145e-4	0.013541602834428144
Ruminococcus	Ruminococcus	Ruminococcus	DMM-A	0.009542189154219003	0.9542189154219003
Sarcina	Sarcina	Sarcina	DMM-A	1.3543832627903885e-4	0.013543832627903886
Selenomonas	Selenomonas	Selenomonas	DMM-A	6.4531923161794236e-6	6.453192316179424e-4
Slackia	Slackia	Slackia	DMM-A	1.9768037507879505e-4	0.019768037507879505
Sneathia	Sneathia	Sneathia	DMM-A	6.4502774206566315e-6	6.450277420656631e-4
Solirubrobacter	Solirubrobacter	Solirubrobacter	DMM-A	7.094003980548278e-5	0.007094003980548279
Solobacterium	Solobacterium	Solobacterium	DMM-A	2.6711582431673917e-4	0.026711582431673916
Sphingomonas	Sphingomonas	Sphingomonas	DMM-A	7.117869345104603e-5	0.0071178693451046035
Sporacetigenium	Sporacetigenium	Sporacetigenium	DMM-A	0.0021341664536831083	0.21341664536831084
Sporobacter	Sporobacter	Sporobacter	DMM-A	0.0011195809391716257	0.11195809391716256
Streptococcus	Streptococcus	Streptococcus	DMM-A	0.006171774840441945	0.6171774840441945
Subdoligranulum	Subdoligranulum	Subdoligranulum	DMM-A	0.019065594494497642	1.9065594494497642
Succiniclasticum	Succiniclasticum	Succiniclasticum	DMM-A	1.38198818182429e-4	0.0138198818182429
Sutterella	Sutterella	Sutterella	DMM-A	0.0014946351644069065	0.14946351644069064
Syntrophococcus	Syntrophococcus	Syntrophococcus	DMM-A	7.265658549543178e-5	0.007265658549543178
Tepidibacter	Tepidibacter	Tepidibacter	DMM-A	0.0012384348667162659	0.12384348667162659
Turicibacter	Turicibacter	Turicibacter	DMM-A	0.0016827142701042884	0.16827142701042885
Uknown	Uknown	Unclassified	DMM-A	0.22415740997701863	22.415740997701864
Varibaculum	Varibaculum	Varibaculum	DMM-A	7.084764296668298e-5	0.007084764296668298
Veillonella	Veillonella	Veillonella	DMM-A	0.001908108064147842	0.1908108064147842
Victivallis	Victivallis	Victivallis	DMM-A	7.117728028522832e-5	0.007117728028522832
Weissella	Weissella	Weissella	DMM-A	1.3053473252814995e-4	0.013053473252814994
Xylanibacter	Xylanibacter	Xylanibacter	DMM-A	1.3841494314192313e-4	0.013841494314192312
Zymophilus	Zymophilus	Zymophilus	DMM-A	6.460659891973313e-6	6.460659891973313e-4
Acetanaerobacterium	Acetanaerobacterium	Acetanaerobacterium	DMM-B	0.0038635163967981954	0.38635163967981956
Acetivibrio	Acetivibrio	Acetivibrio	DMM-B	0.0016961375148391517	0.16961375148391516
Acetobacterium	Acetobacterium	Acetobacterium	DMM-B	6.92239062346238e-5	0.00692239062346238
Acidaminococcus	Acidaminococcus	Acidaminococcus	DMM-B	5.505403564712219e-4	0.05505403564712219
Actinobaculum	Actinobaculum	Actinobaculum	DMM-B	6.855014437905161e-5	0.006855014437905161
Actinomyces	Actinomyces	Actinomyces	DMM-B	5.0749250516913e-4	0.050749250516912994
Akkermansia	Akkermansia	Akkermansia	DMM-B	0.003923098854326222	0.3923098854326222
Alistipes	Alistipes	Alistipes	DMM-B	0.04017145272690761	4.017145272690761
Allisonella	Allisonella	Allisonella	DMM-B	2.572786422231413e-4	0.025727864222314132
Anaerobacter	Anaerobacter	Anaerobacter	DMM-B	6.85659368635118e-5	0.006856593686351179
Anaerobiospirillum	Anaerobiospirillum	Anaerobiospirillum	DMM-B	6.237028182995785e-6	6.237028182995786e-4
Anaerofilum	Anaerofilum	Anaerofilum	DMM-B	8.829571385416893e-4	0.08829571385416893
Anaerofustis	Anaerofustis	Anaerofustis	DMM-B	1.3087246473021715e-4	0.013087246473021714
Anaerosporobacter	Anaerosporobacter	Anaerosporobacter	DMM-B	1.303819924714021e-4	0.01303819924714021
Anaerostipes	Anaerostipes	Anaerostipes	DMM-B	8.307050956049916e-4	0.08307050956049916
Anaerotruncus	Anaerotruncus	Anaerotruncus	DMM-B	0.00849395511961925	0.849395511961925
Arthrobacter	Arthrobacter	Arthrobacter	DMM-B	6.240544176975599e-6	6.240544176975599e-4
Asaccharobacter	Asaccharobacter	Asaccharobacter	DMM-B	0.0020645139667194168	0.20645139667194168
Asticcacaulis	Asticcacaulis	Asticcacaulis	DMM-B	6.237028182996771e-6	6.237028182996771e-4
Atopobium	Atopobium	Atopobium	DMM-B	6.2370282043943396e-6	6.237028204394339e-4
Bacteroides	Bacteroides	Bacteroides	DMM-B	0.22618596765972507	22.618596765972505
Barnesiella	Barnesiella	Barnesiella	DMM-B	0.006007072165523926	0.6007072165523926
Bifidobacterium	Bifidobacterium	Bifidobacterium	DMM-B	8.017257884166353e-4	0.08017257884166354
Brachyspira	Brachyspira	Brachyspira	DMM-B	6.237028184117564e-6	6.237028184117564e-4
Bradyrhizobium	Bradyrhizobium	Bradyrhizobium	DMM-B	6.237028183027294e-6	6.237028183027294e-4
Bulleidia	Bulleidia	Bulleidia	DMM-B	6.23702818300302e-6	6.237028183003019e-4
Butyricicoccus	Butyricicoccus	Butyricicoccus	DMM-B	0.004719020138705523	0.47190201387055225
Butyricimonas	Butyricimonas	Butyricimonas	DMM-B	0.0030184487839094	0.30184487839094
Butyrivibrio	Butyrivibrio	Butyrivibrio	DMM-B	5.227257960667467e-4	0.052272579606674675
Campylobacter	Campylobacter	Campylobacter	DMM-B	1.9395977436127072e-4	0.019395977436127074
Catenibacterium	Catenibacterium	Catenibacterium	DMM-B	9.262107232246191e-4	0.0926210723224619
Caulobacter	Caulobacter	Caulobacter	DMM-B	6.2371818399879064e-6	6.237181839987907e-4
Citrobacter	Citrobacter	Citrobacter	DMM-B	2.585941030754384e-4	0.025859410307543837
Cloacibacillus	Cloacibacillus	Cloacibacillus	DMM-B	8.733442512478317e-4	0.08733442512478318
Clostridium	Clostridium	Clostridium	DMM-B	0.0041860442192374675	0.41860442192374675
Collinsella	Collinsella	Collinsella	DMM-B	0.006635296685268459	0.6635296685268459
Coprobacillus	Coprobacillus	Coprobacillus	DMM-B	0.009494452601243642	0.9494452601243643
Coprococcus	Coprococcus	Coprococcus	DMM-B	0.019025353797941773	1.9025353797941773
Coraliomargarita	Coraliomargarita	Coraliomargarita	DMM-B	1.3119593619874355e-4	0.013119593619874356
Coriobacterium	Coriobacterium	Coriobacterium	DMM-B	6.667755680258962e-6	6.667755680258962e-4
Corynebacterium	Corynebacterium	Corynebacterium	DMM-B	1.936405240094003e-4	0.01936405240094003
Desulfocurvus	Desulfocurvus	Desulfocurvus	DMM-B	3.9464339141906943e-4	0.039464339141906946
Desulfovibrio	Desulfovibrio	Desulfovibrio	DMM-B	0.0017910004648239595	0.17910004648239594
Dialister	Dialister	Dialister	DMM-B	0.002655496654390845	0.26554966543908454
Dickeya	Dickeya	Dickeya	DMM-B	6.85497881411969e-5	0.00685497881411969
Dorea	Dorea	Dorea	DMM-B	0.014941250999569259	1.4941250999569258
Dysgonomonas	Dysgonomonas	Dysgonomonas	DMM-B	6.237133564414054e-6	6.237133564414054e-4
Eggerthella	Eggerthella	Eggerthella	DMM-B	0.0030399650179230614	0.30399650179230614
Enterobacter	Enterobacter	Enterobacter	DMM-B	1.3129535954671943e-4	0.013129535954671943
Enterococcus	Enterococcus	Enterococcus	DMM-B	2.579252228791537e-4	0.02579252228791537
Enterorhabdus	Enterorhabdus	Enterorhabdus	DMM-B	1.3087037906788106e-4	0.013087037906788106
Escherichia/Shigella	Escherichia/Shigella	Escherichia/Shigella	DMM-B	2.582452312285028e-4	0.02582452312285028
Ethanoligenens	Ethanoligenens	Ethanoligenens	DMM-B	7.025812239811123e-4	0.07025812239811123
Eubacterium	Eubacterium	Eubacterium	DMM-B	0.004033411286785735	0.40334112867857347
Faecalibacterium	Faecalibacterium	Faecalibacterium	DMM-B	0.0876338979106906	8.76338979106906
Fusobacterium	Fusobacterium	Fusobacterium	DMM-B	1.9215783760605421e-4	0.019215783760605423
Gemella	Gemella	Gemella	DMM-B	1.308711081513866e-4	0.01308711081513866
Geosporobacter	Geosporobacter	Geosporobacter	DMM-B	6.84402485863736e-5	0.00684402485863736
Gordonibacter	Gordonibacter	Gordonibacter	DMM-B	0.0011538276704323692	0.11538276704323693
Granulicatella	Granulicatella	Granulicatella	DMM-B	1.2828684907277834e-4	0.012828684907277834
Haemophilus	Haemophilus	Haemophilus	DMM-B	3.7328463194441936e-4	0.037328463194441934
Hallella	Hallella	Hallella	DMM-B	6.924535448529023e-5	0.006924535448529024
Hespellia	Hespellia	Hespellia	DMM-B	0.006479262523917439	0.647926252391744
Holdemania	Holdemania	Holdemania	DMM-B	0.00317650536720335	0.317650536720335
Hydrogenoanaerobacterium	Hydrogenoanaerobacterium	Hydrogenoanaerobacterium	DMM-B	1.9408476074714542e-4	0.01940847607471454
Klebsiella	Klebsiella	Klebsiella	DMM-B	5.83792457075991e-4	0.058379245707599094
Lachnobacterium	Lachnobacterium	Lachnobacterium	DMM-B	0.0016907635580780099	0.16907635580780098
Lactobacillus	Lactobacillus	Lactobacillus	DMM-B	0.0012327436140588388	0.12327436140588388
Lactococcus	Lactococcus	Lactococcus	DMM-B	5.255742623610197e-4	0.052557426236101976
Lactonifactor	Lactonifactor	Lactonifactor	DMM-B	0.0034553609337233675	0.34553609337233676
Leuconostoc	Leuconostoc	Leuconostoc	DMM-B	6.848436348150861e-5	0.006848436348150861
Luteococcus	Luteococcus	Luteococcus	DMM-B	6.237028182995785e-6	6.237028182995786e-4
Marvinbryantia	Marvinbryantia	Marvinbryantia	DMM-B	0.0010751830922868233	0.10751830922868233
Megamonas	Megamonas	Megamonas	DMM-B	7.248531083799023e-6	7.248531083799023e-4
Megasphaera	Megasphaera	Megasphaera	DMM-B	0.0010974912515375817	0.10974912515375818
Methylobacterium	Methylobacterium	Methylobacterium	DMM-B	6.2370282177576345e-6	6.237028217757635e-4
Microbacterium	Microbacterium	Microbacterium	DMM-B	6.3126590734336e-6	0.00063126590734336005
Mitsuokella	Mitsuokella	Mitsuokella	DMM-B	1.9739818092547314e-4	0.019739818092547313
Mobiluncus	Mobiluncus	Mobiluncus	DMM-B	6.855014437373638e-5	0.006855014437373638
Moryella	Moryella	Moryella	DMM-B	6.855014437878372e-5	0.006855014437878372
Odoribacter	Odoribacter	Odoribacter	DMM-B	0.006210511586403253	0.6210511586403253
Olsenella	Olsenella	Olsenella	DMM-B	2.5125172367384716e-4	0.025125172367384718
Oribacterium	Oribacterium	Oribacterium	DMM-B	0.0011037418845556547	0.11037418845556547
Oscillibacter	Oscillibacter	Oscillibacter	DMM-B	0.03956089610783085	3.9560896107830845
Oxalobacter	Oxalobacter	Oxalobacter	DMM-B	7.353247561278885e-4	0.07353247561278885
Papillibacter	Papillibacter	Papillibacter	DMM-B	2.597660561542287e-4	0.025976605615422872
Parabacteroides	Parabacteroides	Parabacteroides	DMM-B	0.006447706248641852	0.6447706248641852
Paraeggerthella	Paraeggerthella	Paraeggerthella	DMM-B	1.3129128062012521e-4	0.013129128062012522
Paraprevotella	Paraprevotella	Paraprevotella	DMM-B	0.0011345894644565237	0.11345894644565237
Parasutterella	Parasutterella	Parasutterella	DMM-B	0.0033565535809728817	0.3356553580972882
Pediococcus	Pediococcus	Pediococcus	DMM-B	6.237028183510026e-6	6.237028183510026e-4
Pelomonas	Pelomonas	Pelomonas	DMM-B	6.855014437878372e-5	0.006855014437878372
Peptococcus	Peptococcus	Peptococcus	DMM-B	2.0334428159728734e-4	0.020334428159728735
Peptostreptococcus	Peptostreptococcus	Peptostreptococcus	DMM-B	6.898742548671209e-5	0.0068987425486712085
Phascolarctobacterium	Phascolarctobacterium	Phascolarctobacterium	DMM-B	0.005712878661809737	0.5712878661809737
Porphyromonas	Porphyromonas	Porphyromonas	DMM-B	1.3087246505621793e-4	0.013087246505621793
Prevotella	Prevotella	Prevotella	DMM-B	0.002205500194804914	0.22055001948049138
Propionibacterium	Propionibacterium	Propionibacterium	DMM-B	7.343779691753144e-5	0.007343779691753144
Proteus	Proteus	Proteus	DMM-B	6.237028182995785e-6	6.237028182995786e-4
Pseudobutyrivibrio	Pseudobutyrivibrio	Pseudobutyrivibrio	DMM-B	0.0014233332551691622	0.14233332551691621
Pyramidobacter	Pyramidobacter	Pyramidobacter	DMM-B	6.85501412797752e-5	0.0068550141279775205
Ralstonia	Ralstonia	Ralstonia	DMM-B	6.877242170091784e-5	0.006877242170091784
Rhizobium	Rhizobium	Rhizobium	DMM-B	6.237028182995552e-6	6.237028182995552e-4
Robinsoniella	Robinsoniella	Robinsoniella	DMM-B	1.9075486201548052e-4	0.01907548620154805
Roseburia	Roseburia	Roseburia	DMM-B	0.023189502891022465	2.3189502891022467
Rothia	Rothia	Rothia	DMM-B	1.931975612652959e-4	0.01931975612652959
Ruminococcus	Ruminococcus	Ruminococcus	DMM-B	0.03572546573616204	3.572546573616204
Sarcina	Sarcina	Sarcina	DMM-B	1.3254890611140197e-4	0.013254890611140196
Selenomonas	Selenomonas	Selenomonas	DMM-B	1.944892476857362e-4	0.01944892476857362
Slackia	Slackia	Slackia	DMM-B	9.57078666646162e-4	0.0957078666646162
Sneathia	Sneathia	Sneathia	DMM-B	6.237028183027294e-6	6.237028183027294e-4
Solirubrobacter	Solirubrobacter	Solirubrobacter	DMM-B	6.237028202317235e-6	6.237028202317235e-4
Solobacterium	Solobacterium	Solobacterium	DMM-B	1.31493764162688e-4	0.013149376416268801
Sphingomonas	Sphingomonas	Sphingomonas	DMM-B	6.2394864163957855e-6	6.239486416395785e-4
Sporacetigenium	Sporacetigenium	Sporacetigenium	DMM-B	0.0034706263854386147	0.3470626385438615
Sporobacter	Sporobacter	Sporobacter	DMM-B	0.001250399908441249	0.1250399908441249
Streptococcus	Streptococcus	Streptococcus	DMM-B	0.005723025816052291	0.5723025816052292
Subdoligranulum	Subdoligranulum	Subdoligranulum	DMM-B	0.03041250447252741	3.041250447252741
Succiniclasticum	Succiniclasticum	Succiniclasticum	DMM-B	4.01835252489997e-4	0.0401835252489997
Sutterella	Sutterella	Sutterella	DMM-B	0.002052134019483975	0.2052134019483975
Syntrophococcus	Syntrophococcus	Syntrophococcus	DMM-B	4.112078713499304e-4	0.041120787134993037
Tepidibacter	Tepidibacter	Tepidibacter	DMM-B	0.0012246624859592087	0.12246624859592087
Turicibacter	Turicibacter	Turicibacter	DMM-B	0.0031195794711223667	0.3119579471122367
Uknown	Uknown	Unclassified	DMM-B	0.33589957410655047	33.589957410655046
Varibaculum	Varibaculum	Varibaculum	DMM-B	6.885907504688526e-5	0.006885907504688526
Veillonella	Veillonella	Veillonella	DMM-B	2.4046035596232102e-4	0.024046035596232102
Victivallis	Victivallis	Victivallis	DMM-B	4.452894851854575e-4	0.04452894851854575
Weissella	Weissella	Weissella	DMM-B	1.3528843153844933e-4	0.013528843153844932
Xylanibacter	Xylanibacter	Xylanibacter	DMM-B	6.855003494259453e-5	0.006855003494259453
Zymophilus	Zymophilus	Zymophilus	DMM-B	6.806006197843097e-5	0.006806006197843097
Acetanaerobacterium	Acetanaerobacterium	Acetanaerobacterium	DMM-C	0.0030899452836085943	0.30899452836085944
Acetivibrio	Acetivibrio	Acetivibrio	DMM-C	0.0017788637774127354	0.17788637774127355
Acetobacterium	Acetobacterium	Acetobacterium	DMM-C	2.732460391993797e-4	0.02732460391993797
Acidaminococcus	Acidaminococcus	Acidaminococcus	DMM-C	0.0028607947744049103	0.286079477440491
Actinobaculum	Actinobaculum	Actinobaculum	DMM-C	2.4615931510386178e-5	0.0024615931510386176
Actinomyces	Actinomyces	Actinomyces	DMM-C	0.0025508985065961264	0.25508985065961265
Akkermansia	Akkermansia	Akkermansia	DMM-C	0.0035182015551360013	0.35182015551360013
Alistipes	Alistipes	Alistipes	DMM-C	0.009931333527423172	0.9931333527423172
Allisonella	Allisonella	Allisonella	DMM-C	0.0017485277191098586	0.17485277191098586
Anaerobacter	Anaerobacter	Anaerobacter	DMM-C	2.708644271133606e-4	0.02708644271133606
Anaerobiospirillum	Anaerobiospirillum	Anaerobiospirillum	DMM-C	2.72108123233323e-4	0.0272108123233323
Anaerofilum	Anaerofilum	Anaerofilum	DMM-C	2.461190316944649e-5	0.002461190316944649
Anaerofustis	Anaerofustis	Anaerofustis	DMM-C	2.461593230257763e-5	0.002461593230257763
Anaerosporobacter	Anaerosporobacter	Anaerosporobacter	DMM-C	5.213771484544496e-4	0.052137714845444966
Anaerostipes	Anaerostipes	Anaerostipes	DMM-C	0.004610147664030599	0.4610147664030599
Anaerotruncus	Anaerotruncus	Anaerotruncus	DMM-C	0.007588710220805771	0.7588710220805771
Arthrobacter	Arthrobacter	Arthrobacter	DMM-C	2.4611848574185114e-5	0.0024611848574185116
Asaccharobacter	Asaccharobacter	Asaccharobacter	DMM-C	0.0026554809554071735	0.26554809554071734
Asticcacaulis	Asticcacaulis	Asticcacaulis	DMM-C	2.708597885048576e-4	0.02708597885048576
Atopobium	Atopobium	Atopobium	DMM-C	2.708607138804946e-4	0.027086071388049457
Bacteroides	Bacteroides	Bacteroides	DMM-C	0.08339062555981423	8.339062555981423
Barnesiella	Barnesiella	Barnesiella	DMM-C	0.0013430019395421215	0.13430019395421217
Bifidobacterium	Bifidobacterium	Bifidobacterium	DMM-C	0.003670921029314231	0.3670921029314231
