FeatureID	Kingdom	Phylum	Class	Order	Family	Genus	Species	TaxonomyStatus
Marvinbryantia						Marvinbryantia		Source genus category; higher and lower ranks are not distributed with the packaged table
Megamonas						Megamonas		Source genus category; higher and lower ranks are not distributed with the packaged table
Megasphaera						Megasphaera		Source genus category; higher and lower ranks are not distributed with the packaged table
Methylobacterium						Methylobacterium		Source genus category; higher and lower ranks are not distributed with the packaged table
Microbacterium						Microbacterium		Source genus category; higher and lower ranks are not distributed with the packaged table
Mitsuokella						Mitsuokella		Source genus category; higher and lower ranks are not distributed with the packaged table
Mobiluncus						Mobiluncus		Source genus category; higher and lower ranks are not distributed with the packaged table
Moryella						Moryella		Source genus category; higher and lower ranks are not distributed with the packaged table
Odoribacter						Odoribacter		Source genus category; higher and lower ranks are not distributed with the packaged table
Olsenella						Olsenella		Source genus category; higher and lower ranks are not distributed with the packaged table
Oribacterium						Oribacterium		Source genus category; higher and lower ranks are not distributed with the packaged table
Oscillibacter						Oscillibacter		Source genus category; higher and lower ranks are not distributed with the packaged table
Oxalobacter						Oxalobacter		Source genus category; higher and lower ranks are not distributed with the packaged table
Papillibacter						Papillibacter		Source genus category; higher and lower ranks are not distributed with the packaged table
Parabacteroides						Parabacteroides		Source genus category; higher and lower ranks are not distributed with the packaged table
Paraeggerthella						Paraeggerthella		Source genus category; higher and lower ranks are not distributed with the packaged table
Paraprevotella						Paraprevotella		Source genus category; higher and lower ranks are not distributed with the packaged table
Parasutterella						Parasutterella		Source genus category; higher and lower ranks are not distributed with the packaged table
Pediococcus						Pediococcus		Source genus category; higher and lower ranks are not distributed with the packaged table
Pelomonas						Pelomonas		Source genus category; higher and lower ranks are not distributed with the packaged table
Peptococcus						Peptococcus		Source genus category; higher and lower ranks are not distributed with the packaged table
Peptostreptococcus						Peptostreptococcus		Source genus category; higher and lower ranks are not distributed with the packaged table
Phascolarctobacterium						Phascolarctobacterium		Source genus category; higher and lower ranks are not distributed with the packaged table
Porphyromonas						Porphyromonas		Source genus category; higher and lower ranks are not distributed with the packaged table
Prevotella						Prevotella		Source genus category; higher and lower ranks are not distributed with the packaged table
Propionibacterium						Propionibacterium		Source genus category; higher and lower ranks are not distributed with the packaged table
Proteus						Proteus		Source genus category; higher and lower ranks are not distributed with the packaged table
Pseudobutyrivibrio						Pseudobutyrivibrio		Source genus category; higher and lower ranks are not distributed with the packaged table
Pyramidobacter						Pyramidobacter		Source genus category; higher and lower ranks are not distributed with the packaged table
Ralstonia						Ralstonia		Source genus category; higher and lower ranks are not distributed with the packaged table
Rhizobium						Rhizobium		Source genus category; higher and lower ranks are not distributed with the packaged table
Robinsoniella						Robinsoniella		Source genus category; higher and lower ranks are not distributed with the packaged table
Roseburia						Roseburia		Source genus category; higher and lower ranks are not distributed with the packaged table
Rothia						Rothia		Source genus category; higher and lower ranks are not distributed with the packaged table
Ruminococcus						Ruminococcus		Source genus category; higher and lower ranks are not distributed with the packaged table
Sarcina						Sarcina		Source genus category; higher and lower ranks are not distributed with the packaged table
Selenomonas						Selenomonas		Source genus category; higher and lower ranks are not distributed with the packaged table
Slackia						Slackia		Source genus category; higher and lower ranks are not distributed with the packaged table
Sneathia						Sneathia		Source genus category; higher and lower ranks are not distributed with the packaged table
Solirubrobacter						Solirubrobacter		Source genus category; higher and lower ranks are not distributed with the packaged table
Solobacterium						Solobacterium		Source genus category; higher and lower ranks are not distributed with the packaged table
Sphingomonas						Sphingomonas		Source genus category; higher and lower ranks are not distributed with the packaged table
Sporacetigenium						Sporacetigenium		Source genus category; higher and lower ranks are not distributed with the packaged table
Sporobacter						Sporobacter		Source genus category; higher and lower ranks are not distributed with the packaged table
Streptococcus						Streptococcus		Source genus category; higher and lower ranks are not distributed with the packaged table
Subdoligranulum						Subdoligranulum		Source genus category; higher and lower ranks are not distributed with the packaged table
Succiniclasticum						Succiniclasticum		Source genus category; higher and lower ranks are not distributed with the packaged table
Sutterella						Sutterella		Source genus category; higher and lower ranks are not distributed with the packaged table
Syntrophococcus						Syntrophococcus		Source genus category; higher and lower ranks are not distributed with the packaged table
Tepidibacter						Tepidibacter		Source genus category; higher and lower ranks are not distributed with the packaged table
Turicibacter						Turicibacter		Source genus category; higher and lower ranks are not distributed with the packaged table
Uknown						Uknown		Source genus category; higher and lower ranks are not distributed with the packaged table
Varibaculum						Varibaculum		Source genus category; higher and lower ranks are not distributed with the packaged table
Veillonella						Veillonella		Source genus category; higher and lower ranks are not distributed with the packaged table
Victivallis						Victivallis		Source genus category; higher and lower ranks are not distributed with the packaged table
Weissella						Weissella		Source genus category; higher and lower ranks are not distributed with the packaged table
Xylanibacter						Xylanibacter		Source genus category; higher and lower ranks are not distributed with the packaged table
Zymophilus						Zymophilus		Source genus category; higher and lower ranks are not distributed with the packaged table
